60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:42:51.0 (164224)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
15:42:51.0 (231855)|EXECUTION_STARTED
15:42:51.0 (247405)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
15:42:51.0 (1010310)|HEAP_ALLOCATE|[95]|Bytes:3
15:42:51.0 (1105442)|HEAP_ALLOCATE|[100]|Bytes:152
15:42:51.0 (1126673)|HEAP_ALLOCATE|[417]|Bytes:408
15:42:51.0 (1144513)|HEAP_ALLOCATE|[430]|Bytes:408
15:42:51.0 (1173984)|HEAP_ALLOCATE|[317]|Bytes:6
15:42:51.0 (1197274)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
15:42:51.0 (1203794)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
15:42:51.0 (1206914)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
15:42:51.0 (1219005)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
15:42:51.0 (1225325)|STATEMENT_EXECUTE|[1]
15:42:51.0 (1232565)|STATEMENT_EXECUTE|[1]
15:42:51.0 (1264985)|HEAP_ALLOCATE|[68]|Bytes:5
15:42:51.0 (1293626)|HEAP_ALLOCATE|[74]|Bytes:5
15:42:51.0 (1304846)|HEAP_ALLOCATE|[82]|Bytes:7
15:42:51.0 (1315947)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
15:42:51.0 (1330237)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
15:42:51.0 (1336457)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:42:51.0 (1346377)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
15:42:51.0 (1353767)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
15:42:51.0 (1357477)|STATEMENT_EXECUTE|[15]
15:42:51.0 (1364717)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
15:42:51.0 (1369478)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
15:42:51.0 (1402498)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:42:51.0 (1409198)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
15:42:51.0 (1477480)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x1313dc04"}|0x525b6e68
15:42:51.0 (1484090)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
15:42:51.0 (1606472)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pGVeeAAG","jobId":"707e200000pHc3cAAC"}|0x6a726c4d
15:42:51.0 (1613702)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
15:42:51.0 (2091332)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie00000955RJIAY","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000955RJIAY","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCYuIAM","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCYuIAM"},"CreatedDate":"2025-05-26T10:39:34.000Z","Coupon_Type__c":"P","Id":"801Ie000001Jx8WIAS","RMD_ECC_Order_ID__c":"Akhil1863"}]|0x646832f9
15:42:51.0 (2116532)|HEAP_ALLOCATE|[17]|Bytes:5
15:42:51.0 (2122463)|STATEMENT_EXECUTE|[16]
15:42:51.0 (2124953)|STATEMENT_EXECUTE|[17]
15:42:51.0 (2128673)|HEAP_ALLOCATE|[17]|Bytes:18
15:42:51.0 (2185015)|HEAP_ALLOCATE|[17]|Bytes:1
15:42:51.0 (2203114)|HEAP_ALLOCATE|[17]|Bytes:19
15:42:51.0 (2230025)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
15:42:51.0 (2240745)|STATEMENT_EXECUTE|[18]
15:42:51.0 (2255056)|HEAP_ALLOCATE|[18]|Bytes:4
