60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:21:47.0 (193852)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:21:47.0 (243623)|EXECUTION_STARTED
16:21:47.0 (251333)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:21:47.0 (1451245)|HEAP_ALLOCATE|[95]|Bytes:3
16:21:47.0 (1538707)|HEAP_ALLOCATE|[100]|Bytes:152
16:21:47.0 (1556927)|HEAP_ALLOCATE|[417]|Bytes:408
16:21:47.0 (1572927)|HEAP_ALLOCATE|[430]|Bytes:408
16:21:47.0 (1600708)|HEAP_ALLOCATE|[317]|Bytes:6
16:21:47.0 (1623168)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:21:47.0 (1628398)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:21:47.0 (1631568)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:21:47.0 (1642278)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:21:47.0 (1648189)|STATEMENT_EXECUTE|[1]
16:21:47.0 (1654059)|STATEMENT_EXECUTE|[1]
16:21:47.0 (1685819)|HEAP_ALLOCATE|[68]|Bytes:5
16:21:47.0 (1713410)|HEAP_ALLOCATE|[74]|Bytes:5
16:21:47.0 (1723270)|HEAP_ALLOCATE|[82]|Bytes:7
16:21:47.0 (1734820)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:21:47.0 (1747370)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:21:47.0 (1753490)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:21:47.0 (1762070)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
