60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:41:48.0 (170481)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
15:41:48.0 (202502)|EXECUTION_STARTED
15:41:48.0 (214334)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
15:41:48.0 (684274)|HEAP_ALLOCATE|[95]|Bytes:3
15:41:48.0 (776920)|HEAP_ALLOCATE|[100]|Bytes:152
15:41:48.0 (795611)|HEAP_ALLOCATE|[417]|Bytes:408
15:41:48.0 (809572)|HEAP_ALLOCATE|[430]|Bytes:408
15:41:48.0 (838624)|HEAP_ALLOCATE|[317]|Bytes:6
15:41:48.0 (861556)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
15:41:48.0 (866636)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
15:41:48.0 (869836)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
15:41:48.0 (879507)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
15:41:48.0 (888677)|STATEMENT_EXECUTE|[1]
15:41:48.0 (895148)|STATEMENT_EXECUTE|[1]
15:41:48.0 (925950)|HEAP_ALLOCATE|[68]|Bytes:5
15:41:48.0 (953602)|HEAP_ALLOCATE|[74]|Bytes:5
15:41:48.0 (963372)|HEAP_ALLOCATE|[82]|Bytes:7
15:41:48.0 (975173)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
15:41:48.0 (987824)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
15:41:48.0 (993614)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:41:48.0 (1002925)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
15:41:48.0 (1045998)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
15:41:48.0 (1051558)|STATEMENT_EXECUTE|[15]
15:41:48.0 (1059618)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
15:41:48.0 (1063719)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
15:41:48.0 (1102371)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:41:48.0 (1108792)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
15:41:48.0 (1172676)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x1795b0b3"}|0x16b7057d
15:41:48.0 (1178156)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
15:41:48.0 (1370348)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pGVeeAAG","jobId":"707e200000pHc3cAAC"}|0x501bfd1f
15:41:48.0 (1378779)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
15:41:48.0 (1891392)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie00000955E4IAI","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000955E4IAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCKnIAM","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCKnIAM"},"CreatedDate":"2025-05-26T10:31:54.000Z","Coupon_Type__c":"P","Id":"801Ie000001Jx6UIAS","RMD_ECC_Order_ID__c":"Akhil1847"}]|0x1bb67d3
15:41:48.0 (1918284)|HEAP_ALLOCATE|[17]|Bytes:5
15:41:48.0 (1923705)|STATEMENT_EXECUTE|[16]
15:41:48.0 (1926145)|STATEMENT_EXECUTE|[17]
15:41:48.0 (1930845)|HEAP_ALLOCATE|[17]|Bytes:18
15:41:48.0 (1988669)|HEAP_ALLOCATE|[17]|Bytes:1
15:41:48.0 (2005850)|HEAP_ALLOCATE|[17]|Bytes:19
15:41:48.0 (2032441)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
15:41:48.0 (2042372)|STATEMENT_EXECUTE|[18]
15:41:48.0 (2057394)|HEAP_ALLOCATE|[18]|Bytes:4
