60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:21:32.0 (209145)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:21:32.0 (258306)|EXECUTION_STARTED
16:21:32.0 (270306)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:21:32.0 (1562669)|HEAP_ALLOCATE|[95]|Bytes:3
16:21:32.0 (1685161)|HEAP_ALLOCATE|[100]|Bytes:152
16:21:32.0 (1705941)|HEAP_ALLOCATE|[417]|Bytes:408
16:21:32.0 (1720591)|HEAP_ALLOCATE|[430]|Bytes:408
16:21:32.0 (1751182)|HEAP_ALLOCATE|[317]|Bytes:6
16:21:32.0 (1777062)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:21:32.0 (1782312)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:21:32.0 (1786673)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:21:32.0 (1798013)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:21:32.0 (1803563)|STATEMENT_EXECUTE|[1]
16:21:32.0 (1809373)|STATEMENT_EXECUTE|[1]
16:21:32.0 (1832303)|HEAP_ALLOCATE|[68]|Bytes:5
16:21:32.0 (1857934)|HEAP_ALLOCATE|[74]|Bytes:5
16:21:32.0 (1897974)|HEAP_ALLOCATE|[82]|Bytes:7
16:21:32.0 (1912875)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:21:32.0 (1924155)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:21:32.0 (1929665)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:21:32.0 (1939165)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:21:32.0 (1945845)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:21:32.0 (1949285)|STATEMENT_EXECUTE|[15]
16:21:32.0 (1956875)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:21:32.0 (1960766)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:21:32.0 (1988826)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:21:32.0 (1995966)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:21:32.0 (2074118)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x7efc9feb"}|0x22233136
16:21:32.0 (2080608)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:21:32.0 (2285881)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pGVeeAAG","jobId":"707e200000pHc3cAAC"}|0x2461645e
16:21:32.0 (2293811)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:21:32.0 (2519935)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0017F00001uWQyvQAG","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001uWQyvQAG","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mSX1AAM","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mSX1AAM"},"CreatedDate":"2025-09-26T06:21:31.000Z","Id":"801e2000007j9HgAAI","RMD_ECC_Order_ID__c":"6691194477"}]|0x39b86bd
16:21:32.0 (2539027)|HEAP_ALLOCATE|[17]|Bytes:5
16:21:32.0 (2544486)|STATEMENT_EXECUTE|[16]
16:21:32.0 (2546917)|STATEMENT_EXECUTE|[17]
16:21:32.0 (2550597)|HEAP_ALLOCATE|[17]|Bytes:18
16:21:32.0 (2615897)|HEAP_ALLOCATE|[17]|Bytes:1
16:21:32.0 (2638897)|HEAP_ALLOCATE|[17]|Bytes:19
16:21:32.0 (2672549)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:21:32.0 (2685768)|STATEMENT_EXECUTE|[18]
16:21:32.0 (2763770)|HEAP_ALLOCATE|[18]|Bytes:4
16:21:32.0 (2830651)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x22233136
16:21:32.0 (2875971)|HEAP_ALLOCATE|[19]|Bytes:5
16:21:32.0 (2958613)|HEAP_ALLOCATE|[19]|Bytes:40
16:21:32.0 (2984293)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:21:32.0 (3277548)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"EXPIRED","Account":{"Id":"0017F00001uWQyvQAG","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001uWQyvQAG","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mSX1AAM","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mSX1AAM"},"CreatedDate":"2025-09-26T06:21:31.000Z","Id":"801e2000007j9HgAAI","RMD_ECC_Order_ID__c":"6691194477"}|0x575b5ae5
16:21:32.0 (3293380)|STATEMENT_EXECUTE|[19]
16:21:32.0 (3296450)|STATEMENT_EXECUTE|[20]
16:21:32.0 (3333410)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:21:32.0 (3360501)|HEAP_ALLOCATE|[19]|Bytes:5
16:21:32.0 (3381881)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:21:32.0 (3388601)|STATEMENT_EXECUTE|[23]
16:21:32.0 (3392361)|HEAP_ALLOCATE|[23]|Bytes:13
16:21:32.0 (3426022)|HEAP_ALLOCATE|[23]|Bytes:1
16:21:32.0 (3443262)|HEAP_ALLOCATE|[23]|Bytes:14
16:21:32.0 (3460743)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:21:32.0 (3471903)|STATEMENT_EXECUTE|[24]
16:21:32.0 (3492512)|HEAP_ALLOCATE|[24]|Bytes:20
16:21:32.0 (3507523)|HEAP_ALLOCATE|[24]|Bytes:33
16:21:32.0 (3519424)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007j9HgAAI}
16:21:32.0 (3543734)|STATEMENT_EXECUTE|[25]
16:21:32.0 (3546854)|STATEMENT_EXECUTE|[26]
16:21:32.0 (3564804)|HEAP_ALLOCATE|[26]|Bytes:122
16:21:32.0 (3572035)|HEAP_ALLOCATE|[26]|Bytes:24
16:21:32.0 (3576715)|HEAP_ALLOCATE|[26]|Bytes:187
16:21:32.0 (3589255)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:21:32.0 (3595375)|STATEMENT_EXECUTE|[1]
16:21:32.0 (3600265)|STATEMENT_EXECUTE|[1]
16:21:32.0 (3607975)|HEAP_ALLOCATE|[26]|Bytes:5
16:21:32.0 (3613455)|STATEMENT_EXECUTE|[998]
16:21:32.0 (3616265)|STATEMENT_EXECUTE|[1015]
16:21:32.0 (3619015)|STATEMENT_EXECUTE|[1036]
16:21:32.0 (3629746)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:21:32.0 (3640366)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:21:32.0 (3648706)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:21:32.0 (3667056)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007j9HgAAI"]|0x4946a978
16:21:32.0 (3677856)|HEAP_ALLOCATE|[59]|Bytes:5
16:21:32.0 (3683996)|STATEMENT_EXECUTE|[57]
16:21:32.0 (3686887)|STATEMENT_EXECUTE|[59]
16:21:32.0 (3691347)|HEAP_ALLOCATE|[59]|Bytes:27
16:21:32.0 (3772858)|HEAP_ALLOCATE|[59]|Bytes:96
16:21:32.0 (3783698)|HEAP_ALLOCATE|[59]|Bytes:69
16:21:32.0 (3871060)|HEAP_ALLOCATE|[59]|Bytes:33
16:21:32.0 (3884660)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:21:32.0 (3890030)|STATEMENT_EXECUTE|[1]
16:21:32.0 (3898220)|SYSTEM_METHOD_EXIT|[1]|Type
16:21:32.0 (3906740)|HEAP_ALLOCATE|[59]|Bytes:8
16:21:32.0 (3925741)|HEAP_ALLOCATE|[59]|Bytes:8
16:21:32.0 (3932171)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:21:32.0 (3965151)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x303ecf7b
16:21:32.0 (3972921)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:21:32.0 (4082843)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x35d9249
16:21:32.0 (6660799)|HEAP_ALLOCATE|[59]|Bytes:8
16:21:32.0 (6707650)|HEAP_ALLOCATE|[59]|Bytes:24
16:21:32.0 (6724550)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:21:32.0 (6752161)|STATEMENT_EXECUTE|[1]
16:21:32.0 (6765581)|SYSTEM_METHOD_EXIT|[1]|JSON
16:21:32.0 (6782131)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:21:32.0 (7354051)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:21:32.0 (7370152)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:21:32.0 (7422833)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x41ce544d
16:21:32.0 (7436642)|HEAP_ALLOCATE|[60]|Bytes:9
16:21:32.0 (7473373)|STATEMENT_EXECUTE|[60]
16:21:32.0 (7477394)|STATEMENT_EXECUTE|[67]
16:21:32.0 (7479933)|STATEMENT_EXECUTE|[67]
16:21:32.0 (7482613)|STATEMENT_EXECUTE|[68]
16:21:32.0 (7529364)|HEAP_ALLOCATE|[68]|Bytes:4
16:21:32.0 (7574325)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:21:32.0 (7591785)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x56040baf
16:21:32.0 (7598085)|STATEMENT_EXECUTE|[70]
16:21:32.0 (7613655)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:21:32.0 (7620917)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:21:32.0 (7627386)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:21:32.0 (7634597)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:21:32.0 (7643206)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:21:32.0 (7650397)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:21:32.0 (7663136)|HEAP_ALLOCATE|[70]|Bytes:150
16:21:32.0 (7669626)|HEAP_ALLOCATE|[70]|Bytes:51
16:21:32.0 (7675137)|HEAP_ALLOCATE|[70]|Bytes:13
16:21:32.0 (7688507)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:21:32.0 (7695207)|HEAP_ALLOCATE|[70]|Bytes:7
16:21:32.0 (7703627)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:21:32.0 (7746778)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
16:21:32.0 (7754018)|STATEMENT_EXECUTE|[6]
16:21:32.0 (7758418)|STATEMENT_EXECUTE|[6]
16:21:32.0 (9201124)|SYSTEM_MODE_ENTER|false
16:21:32.0 (9220364)|HEAP_ALLOCATE|[7]|Bytes:5
16:21:32.0 (9230345)|STATEMENT_EXECUTE|[7]
16:21:32.0 (9236685)|HEAP_ALLOCATE|[7]|Bytes:12
16:21:32.0 (9282806)|HEAP_ALLOCATE|[7]|Bytes:68
16:21:32.0 (9311706)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
16:21:32.0 (9317786)|STATEMENT_EXECUTE|[9]
16:21:32.0 (9324836)|HEAP_ALLOCATE|[9]|Bytes:5
16:21:32.0 (9337936)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
16:21:32.0 (9343357)|STATEMENT_EXECUTE|[12]
16:21:32.0 (9359547)|HEAP_ALLOCATE|[12]|Bytes:53
16:21:32.0 (9370637)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
16:21:32.0 (9375007)|STATEMENT_EXECUTE|[1]
16:21:32.0 (9378457)|STATEMENT_EXECUTE|[1]
16:21:32.0 (9384827)|METHOD_EXIT|[1]|RMDSelectorUser
16:21:32.0 (9393267)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:21:32.0 (9400198)|STATEMENT_EXECUTE|[124]
16:21:32.0 (9402668)|STATEMENT_EXECUTE|[125]
16:21:32.0 (9406008)|HEAP_ALLOCATE|[125]|Bytes:99
16:21:32.0 (9425228)|HEAP_ALLOCATE|[125]|Bytes:4
16:21:32.0 (10023088)|SOQL_EXECUTE_BEGIN|[125]|Aggregations:0|SELECT id FROM User WHERE (name = 'Integration User' AND Profile.Name = 'Integration User') LIMIT 1
16:21:32.0 (20534045)|SOQL_EXECUTE_END|[125]|Rows:1
16:21:32.0 (20580655)|HEAP_ALLOCATE|[125]|Bytes:8
16:21:32.0 (20605216)|HEAP_ALLOCATE|[125]|Bytes:60
16:21:32.0 (20646557)|HEAP_ALLOCATE|[125]|Bytes:8
16:21:32.0 (20677357)|METHOD_EXIT|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:21:32.0 (20885441)|VARIABLE_ASSIGNMENT|[12]|RMDCommonHelper.integrationId|[{"ProfileId":"00e7F000000ZzhEQAS","Id":"0057F000004GzVlQAK"}]|0x7e856543
16:21:32.0 (20921241)|SYSTEM_MODE_EXIT|false
16:21:32.0 (20951233)|METHOD_EXIT|[6]|RMDCommonHelper
16:21:32.0 (20970782)|METHOD_ENTRY|[70]|01p7F00000VLtZg|RMDCommonHelper.getOrgInstance()
16:21:32.0 (20992843)|SYSTEM_MODE_ENTER|false
16:21:32.0 (21012883)|HEAP_ALLOCATE|[446]|Bytes:5
16:21:32.0 (21022074)|STATEMENT_EXECUTE|[445]
16:21:32.0 (21024653)|STATEMENT_EXECUTE|[446]
16:21:32.0 (21055294)|HEAP_ALLOCATE|[446]|Bytes:16
16:21:32.0 (21066134)|METHOD_ENTRY|[1]|01p7F00000VLtaw|RMDSelectorCommon.RMDSelectorCommon()
16:21:32.0 (21070724)|STATEMENT_EXECUTE|[1]
16:21:32.0 (21074884)|STATEMENT_EXECUTE|[1]
16:21:32.0 (21080134)|METHOD_EXIT|[1]|RMDSelectorCommon
16:21:32.0 (21087595)|METHOD_ENTRY|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
16:21:32.0 (21094115)|VARIABLE_SCOPE_BEGIN|[3]|setOfAssignToName|Set<String>|true|false
16:21:32.0 (21106806)|VARIABLE_ASSIGNMENT|[3]|setOfAssignToName|null|
16:21:32.0 (21112486)|STATEMENT_EXECUTE|[3]
16:21:32.0 (21114916)|STATEMENT_EXECUTE|[4]
16:21:32.0 (21140345)|HEAP_ALLOCATE|[4]|Bytes:4
16:21:32.0 (21165877)|VARIABLE_SCOPE_BEGIN|[4]|listORG|List<Organization>|true|false
16:21:32.0 (21178896)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:21:32.0 (21193167)|VARIABLE_ASSIGNMENT|[4]|listORG|[]|0x618c6740
16:21:32.0 (21198336)|STATEMENT_EXECUTE|[5]
16:21:32.0 (21202976)|HEAP_ALLOCATE|[5]|Bytes:42
16:21:32.0 (21220328)|HEAP_ALLOCATE|[5]|Bytes:4
16:21:32.0 (21468341)|SOQL_EXECUTE_BEGIN|[5]|Aggregations:0|SELECT IsSandbox FROM Organization LIMIT 1
16:21:32.0 (24970884)|SOQL_EXECUTE_END|[5]|Rows:1
16:21:32.0 (25006414)|HEAP_ALLOCATE|[5]|Bytes:8
16:21:32.0 (25021714)|HEAP_ALLOCATE|[5]|Bytes:46
16:21:32.0 (25049855)|HEAP_ALLOCATE|[5]|Bytes:8
16:21:32.0 (25139467)|VARIABLE_ASSIGNMENT|[5]|listORG|[{"IsSandbox":false,"Id":"00D7F000005CdiiUAC"}]|0x3a9a1111
16:21:32.0 (25149187)|STATEMENT_EXECUTE|[7]
16:21:32.0 (25160367)|METHOD_EXIT|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
16:21:32.0 (25169847)|VARIABLE_SCOPE_BEGIN|[446]|listOfOrg|List<Organization>|true|false
16:21:32.0 (25219638)|VARIABLE_ASSIGNMENT|[446]|listOfOrg|[{"IsSandbox":false,"Id":"00D7F000005CdiiUAC"}]|0x3a9a1111
16:21:32.0 (25227658)|STATEMENT_EXECUTE|[450]
