60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:21:24.0 (210195)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:21:24.0 (264875)|EXECUTION_STARTED
16:21:24.0 (273796)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:21:24.0 (1703971)|HEAP_ALLOCATE|[95]|Bytes:3
16:21:24.0 (1829564)|HEAP_ALLOCATE|[100]|Bytes:152
16:21:24.0 (1850804)|HEAP_ALLOCATE|[417]|Bytes:408
16:21:24.0 (1866703)|HEAP_ALLOCATE|[430]|Bytes:408
16:21:24.0 (1900504)|HEAP_ALLOCATE|[317]|Bytes:6
16:21:24.0 (1927615)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:21:24.0 (1933525)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:21:24.0 (1936914)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:21:24.0 (1947126)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:21:24.0 (1954406)|STATEMENT_EXECUTE|[1]
16:21:24.0 (1961825)|STATEMENT_EXECUTE|[1]
16:21:24.0 (1995785)|HEAP_ALLOCATE|[68]|Bytes:5
16:21:24.0 (2024447)|HEAP_ALLOCATE|[74]|Bytes:5
16:21:24.0 (2034436)|HEAP_ALLOCATE|[82]|Bytes:7
16:21:24.0 (2046676)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:21:24.0 (2060837)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:21:24.0 (2066498)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:21:24.0 (2077378)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:21:24.0 (2084218)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:21:24.0 (2087667)|STATEMENT_EXECUTE|[15]
16:21:24.0 (2095827)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:21:24.0 (2100008)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:21:24.0 (2139249)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:21:24.0 (2145699)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:21:24.0 (2228190)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x344572fb"}|0x22233136
16:21:24.0 (2234560)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:21:24.0 (2405903)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pGVeeAAG","jobId":"707e200000pHc3cAAC"}|0x2461645e
16:21:24.0 (2412643)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:21:24.0 (2678348)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0012t00000Q129GAAR","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000Q129GAAR","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mSK5AAM","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mSK5AAM"},"CreatedDate":"2025-09-26T05:24:43.000Z","Id":"801e2000007j97xAAA","RMD_ECC_Order_ID__c":"6691193231"}]|0x7392486
16:21:24.0 (2704699)|HEAP_ALLOCATE|[17]|Bytes:5
16:21:24.0 (2711769)|STATEMENT_EXECUTE|[16]
16:21:24.0 (2714139)|STATEMENT_EXECUTE|[17]
16:21:24.0 (2718069)|HEAP_ALLOCATE|[17]|Bytes:18
16:21:24.0 (2778290)|HEAP_ALLOCATE|[17]|Bytes:1
16:21:24.0 (2795500)|HEAP_ALLOCATE|[17]|Bytes:19
16:21:24.0 (2822931)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:21:24.0 (2832331)|STATEMENT_EXECUTE|[18]
16:21:24.0 (2848151)|HEAP_ALLOCATE|[18]|Bytes:4
16:21:24.0 (2900952)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x22233136
16:21:24.0 (2939553)|HEAP_ALLOCATE|[19]|Bytes:5
16:21:24.0 (2980493)|HEAP_ALLOCATE|[19]|Bytes:40
16:21:24.0 (2992294)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
