60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:22:02.0 (158692)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:22:02.0 (193033)|EXECUTION_STARTED
16:22:02.0 (203664)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:22:02.0 (1494697)|HEAP_ALLOCATE|[95]|Bytes:3
16:22:02.0 (1593277)|HEAP_ALLOCATE|[100]|Bytes:152
16:22:02.0 (1613149)|HEAP_ALLOCATE|[417]|Bytes:408
16:22:02.0 (1629009)|HEAP_ALLOCATE|[430]|Bytes:408
16:22:02.0 (1657499)|HEAP_ALLOCATE|[317]|Bytes:6
16:22:02.0 (1682230)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:22:02.0 (1687460)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:22:02.0 (1690610)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:22:02.0 (1701090)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:22:02.0 (1706710)|STATEMENT_EXECUTE|[1]
16:22:02.0 (1713630)|STATEMENT_EXECUTE|[1]
16:22:02.0 (1747821)|HEAP_ALLOCATE|[68]|Bytes:5
16:22:02.0 (1775112)|HEAP_ALLOCATE|[74]|Bytes:5
16:22:02.0 (1785302)|HEAP_ALLOCATE|[82]|Bytes:7
16:22:02.0 (1797292)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:22:02.0 (1813392)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:22:02.0 (1821002)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:22:02.0 (1833023)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:22:02.0 (1842483)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:22:02.0 (1847753)|STATEMENT_EXECUTE|[15]
16:22:02.0 (1856633)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:22:02.0 (1862843)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:22:02.0 (1907894)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:22:02.0 (1917484)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:22:02.0 (2009016)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x6b1bbb2b"}|0x22233136
16:22:02.0 (2017896)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:22:02.0 (2214409)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pGVeeAAG","jobId":"707e200000pHc3cAAC"}|0x2461645e
16:22:02.0 (2224559)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:22:02.0 (2588496)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0017F00001b9GvHQAU","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b9GvHQAU","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mWcDAAU","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mWcDAAU"},"CreatedDate":"2025-09-26T05:39:29.000Z","Coupon_Type__c":"P","Id":"801e2000007jDY9AAM","RMD_ECC_Order_ID__c":"6691193599"}]|0x5ddaf379
16:22:02.0 (2611636)|HEAP_ALLOCATE|[17]|Bytes:5
16:22:02.0 (2618466)|STATEMENT_EXECUTE|[16]
16:22:02.0 (2620956)|STATEMENT_EXECUTE|[17]
16:22:02.0 (2624576)|HEAP_ALLOCATE|[17]|Bytes:18
