59.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:43:00.0 (320768)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
15:43:00.0 (410990)|EXECUTION_STARTED
15:43:00.0 (450651)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000000KTHK|SubscriptionLeadConvert
15:43:00.0 (17045346)|HEAP_ALLOCATE|[95]|Bytes:3
15:43:00.0 (17196849)|HEAP_ALLOCATE|[100]|Bytes:152
15:43:00.0 (17218610)|HEAP_ALLOCATE|[417]|Bytes:408
15:43:00.0 (17242480)|HEAP_ALLOCATE|[430]|Bytes:408
15:43:00.0 (17269531)|HEAP_ALLOCATE|[317]|Bytes:6
15:43:00.0 (17286362)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:3
15:43:00.0 (17313322)|SYSTEM_METHOD_ENTRY|[1]|SchedulableContextImpl.SchedulableContextImpl()
15:43:00.0 (17328603)|STATEMENT_EXECUTE|[1]
15:43:00.0 (17359243)|SYSTEM_METHOD_EXIT|[1]|SchedulableContextImpl
15:43:00.0 (17367793)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:43:00.0 (17371864)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:43:00.0 (17393324)|VARIABLE_SCOPE_BEGIN|[4]|this|System.SchedulableContextImpl|true|false
15:43:00.0 (17527687)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x2a05dd13
15:43:00.0 (17535397)|VARIABLE_SCOPE_BEGIN|[4]|triggerId|Id|false|false
15:43:00.0 (17675661)|VARIABLE_ASSIGNMENT|[4]|triggerId|"08ee200000Nw3ebAAB"
15:43:00.0 (20421206)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
15:43:00.0 (20435366)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
