60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:21:17.0 (193353)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:21:17.0 (236934)|EXECUTION_STARTED
16:21:17.0 (249635)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:21:17.0 (1509467)|HEAP_ALLOCATE|[95]|Bytes:3
16:21:17.0 (1620589)|HEAP_ALLOCATE|[100]|Bytes:152
16:21:17.0 (1646719)|HEAP_ALLOCATE|[417]|Bytes:408
16:21:17.0 (1670459)|HEAP_ALLOCATE|[430]|Bytes:408
16:21:17.0 (1710791)|HEAP_ALLOCATE|[317]|Bytes:6
16:21:17.0 (1743940)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:21:17.0 (1752861)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:21:17.0 (1759291)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:21:17.0 (1774741)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:21:17.0 (1783721)|STATEMENT_EXECUTE|[1]
16:21:17.0 (1792792)|STATEMENT_EXECUTE|[1]
16:21:17.0 (1830812)|HEAP_ALLOCATE|[68]|Bytes:5
16:21:17.0 (1868554)|HEAP_ALLOCATE|[74]|Bytes:5
16:21:17.0 (1882863)|HEAP_ALLOCATE|[82]|Bytes:7
16:21:17.0 (1898404)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:21:17.0 (1918143)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:21:17.0 (1927934)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:21:17.0 (1940704)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:21:17.0 (1950144)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:21:17.0 (1955885)|STATEMENT_EXECUTE|[15]
16:21:17.0 (1965384)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:21:17.0 (1971365)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:21:17.0 (2017446)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:21:17.0 (2027745)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:21:17.0 (2114008)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x1a27d554"}|0x22233136
16:21:17.0 (2123217)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:21:17.0 (2306420)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pGVeeAAG","jobId":"707e200000pHc3cAAC"}|0x2461645e
16:21:17.0 (2316060)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:21:17.0 (2658767)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"0017F00001bjTXiQAM","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjTXiQAM","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mPMDAA2","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mPMDAA2"},"CreatedDate":"2025-09-26T05:16:05.000Z","Coupon_Type__c":"P","Id":"801e2000007j6moAAA","RMD_ECC_Order_ID__c":"6691258529"}]|0x61adb934
16:21:17.0 (2690498)|HEAP_ALLOCATE|[17]|Bytes:5
16:21:17.0 (2699068)|STATEMENT_EXECUTE|[16]
16:21:17.0 (2702648)|STATEMENT_EXECUTE|[17]
16:21:17.0 (2707557)|HEAP_ALLOCATE|[17]|Bytes:18
16:21:17.0 (2783899)|HEAP_ALLOCATE|[17]|Bytes:1
16:21:17.0 (2809039)|HEAP_ALLOCATE|[17]|Bytes:19
16:21:17.0 (2844900)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:21:17.0 (2858461)|STATEMENT_EXECUTE|[18]
16:21:17.0 (2878481)|HEAP_ALLOCATE|[18]|Bytes:4
16:21:17.0 (2944332)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x22233136
16:21:17.0 (2995873)|HEAP_ALLOCATE|[19]|Bytes:5
16:21:17.0 (3050344)|HEAP_ALLOCATE|[19]|Bytes:44
16:21:17.0 (3067434)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:21:17.0 (3269608)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"0017F00001bjTXiQAM","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjTXiQAM","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mPMDAA2","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mPMDAA2"},"CreatedDate":"2025-09-26T05:16:05.000Z","Coupon_Type__c":"P","Id":"801e2000007j6moAAA","RMD_ECC_Order_ID__c":"6691258529"}|0x47804f3a
16:21:17.0 (3282948)|STATEMENT_EXECUTE|[19]
16:21:17.0 (3286238)|STATEMENT_EXECUTE|[20]
16:21:17.0 (3322919)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:21:17.0 (3349309)|HEAP_ALLOCATE|[19]|Bytes:5
16:21:17.0 (3370760)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:21:17.0 (3378920)|STATEMENT_EXECUTE|[23]
16:21:17.0 (3383540)|HEAP_ALLOCATE|[23]|Bytes:13
16:21:17.0 (3419360)|HEAP_ALLOCATE|[23]|Bytes:1
16:21:17.0 (3438821)|HEAP_ALLOCATE|[23]|Bytes:14
16:21:17.0 (3457391)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:21:17.0 (3470781)|STATEMENT_EXECUTE|[24]
