60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:41:55.0 (195353)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
15:41:55.0 (241706)|EXECUTION_STARTED
15:41:55.0 (258377)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
15:41:55.0 (851975)|HEAP_ALLOCATE|[95]|Bytes:3
15:41:55.0 (952983)|HEAP_ALLOCATE|[100]|Bytes:152
15:41:55.0 (971003)|HEAP_ALLOCATE|[417]|Bytes:408
15:41:55.0 (984794)|HEAP_ALLOCATE|[430]|Bytes:408
15:41:55.0 (1019296)|HEAP_ALLOCATE|[317]|Bytes:6
15:41:55.0 (1049978)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
15:41:55.0 (1057509)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
15:41:55.0 (1062590)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
15:41:55.0 (1075249)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
15:41:55.0 (1083031)|STATEMENT_EXECUTE|[1]
15:41:55.0 (1090920)|STATEMENT_EXECUTE|[1]
15:41:55.0 (1128523)|HEAP_ALLOCATE|[68]|Bytes:5
15:41:55.0 (1163215)|HEAP_ALLOCATE|[74]|Bytes:5
15:41:55.0 (1176077)|HEAP_ALLOCATE|[82]|Bytes:7
15:41:55.0 (1190287)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
15:41:55.0 (1206208)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
15:41:55.0 (1212839)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:41:55.0 (1223520)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
15:41:55.0 (1231660)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
15:41:55.0 (1236620)|STATEMENT_EXECUTE|[15]
15:41:55.0 (1244500)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
15:41:55.0 (1249911)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
15:41:55.0 (1290564)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:41:55.0 (1300214)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
15:41:55.0 (1387710)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x11d8b8e7"}|0x16b7057d
15:41:55.0 (1396861)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
15:41:55.0 (1590763)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pGVeeAAG","jobId":"707e200000pHc3cAAC"}|0x501bfd1f
15:41:55.0 (1599024)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
15:41:55.0 (2138408)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie00000955DkIAI","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000955DkIAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCKwIAM","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCKwIAM"},"CreatedDate":"2025-05-26T10:33:11.000Z","Coupon_Type__c":"P","Id":"801Ie000001Jx6VIAS","RMD_ECC_Order_ID__c":"Akhil1850"}]|0x5997b0e1
15:41:55.0 (2169761)|HEAP_ALLOCATE|[17]|Bytes:5
15:41:55.0 (2177491)|STATEMENT_EXECUTE|[16]
15:41:55.0 (2180112)|STATEMENT_EXECUTE|[17]
15:41:55.0 (2183842)|HEAP_ALLOCATE|[17]|Bytes:18
15:41:55.0 (2243046)|HEAP_ALLOCATE|[17]|Bytes:1
15:41:55.0 (2259816)|HEAP_ALLOCATE|[17]|Bytes:19
15:41:55.0 (2287769)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
15:41:55.0 (2298569)|STATEMENT_EXECUTE|[18]
15:41:55.0 (2313339)|HEAP_ALLOCATE|[18]|Bytes:4
15:41:55.0 (2363974)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x16b7057d
15:41:55.0 (2399536)|HEAP_ALLOCATE|[19]|Bytes:5
15:41:55.0 (2437548)|HEAP_ALLOCATE|[19]|Bytes:44
15:41:55.0 (2451069)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
