60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:42:09.0 (169942)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
15:42:09.0 (202464)|EXECUTION_STARTED
15:42:09.0 (214325)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
15:42:09.0 (667495)|HEAP_ALLOCATE|[95]|Bytes:3
15:42:09.0 (794383)|HEAP_ALLOCATE|[100]|Bytes:152
15:42:09.0 (813614)|HEAP_ALLOCATE|[417]|Bytes:408
15:42:09.0 (833425)|HEAP_ALLOCATE|[430]|Bytes:408
15:42:09.0 (881238)|HEAP_ALLOCATE|[317]|Bytes:6
15:42:09.0 (909420)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
15:42:09.0 (915761)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
15:42:09.0 (920641)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
15:42:09.0 (932312)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
15:42:09.0 (940012)|STATEMENT_EXECUTE|[1]
15:42:09.0 (948113)|STATEMENT_EXECUTE|[1]
15:42:09.0 (972524)|HEAP_ALLOCATE|[68]|Bytes:5
15:42:09.0 (1001266)|HEAP_ALLOCATE|[74]|Bytes:5
15:42:09.0 (1013577)|HEAP_ALLOCATE|[82]|Bytes:7
15:42:09.0 (1024858)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
15:42:09.0 (1038148)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
15:42:09.0 (1044249)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:42:09.0 (1054249)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
15:42:09.0 (1061760)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
15:42:09.0 (1065970)|STATEMENT_EXECUTE|[15]
15:42:09.0 (1073351)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
15:42:09.0 (1078171)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
15:42:09.0 (1105883)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:42:09.0 (1113713)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
15:42:09.0 (1224611)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x65263689"}|0x16b7057d
15:42:09.0 (1232351)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
15:42:09.0 (1410664)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pGVeeAAG","jobId":"707e200000pHc3cAAC"}|0x501bfd1f
15:42:09.0 (1418064)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
15:42:09.0 (1943828)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie00000955EOIAY","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000955EOIAY","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCKpIAM","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCKpIAM"},"CreatedDate":"2025-05-26T10:32:09.000Z","Coupon_Type__c":"P","Id":"801Ie000001Jx6kIAC","RMD_ECC_Order_ID__c":"Akhil1848"}]|0x1422670e
15:42:09.0 (1967700)|HEAP_ALLOCATE|[17]|Bytes:5
15:42:09.0 (1974129)|STATEMENT_EXECUTE|[16]
15:42:09.0 (1976889)|STATEMENT_EXECUTE|[17]
15:42:09.0 (1981249)|HEAP_ALLOCATE|[17]|Bytes:18
15:42:09.0 (2033714)|HEAP_ALLOCATE|[17]|Bytes:1
15:42:09.0 (2050715)|HEAP_ALLOCATE|[17]|Bytes:19
15:42:09.0 (2075695)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
15:42:09.0 (2085797)|STATEMENT_EXECUTE|[18]
15:42:09.0 (2097767)|HEAP_ALLOCATE|[18]|Bytes:4
15:42:09.0 (2139431)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x16b7057d
15:42:09.0 (2170763)|HEAP_ALLOCATE|[19]|Bytes:5
15:42:09.0 (2206325)|HEAP_ALLOCATE|[19]|Bytes:44
15:42:09.0 (2217476)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
15:42:09.0 (2332763)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"001Ie00000955EOIAY","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000955EOIAY","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCKpIAM","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCKpIAM"},"CreatedDate":"2025-05-26T10:32:09.000Z","Coupon_Type__c":"P","Id":"801Ie000001Jx6kIAC","RMD_ECC_Order_ID__c":"Akhil1848"}|0x535daf78
15:42:09.0 (2342174)|STATEMENT_EXECUTE|[19]
15:42:09.0 (2344433)|STATEMENT_EXECUTE|[20]
15:42:09.0 (2369474)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:42:09.0 (2385836)|HEAP_ALLOCATE|[19]|Bytes:5
15:42:09.0 (2397887)|VARIABLE_ASSIGNMENT|[19]|obj|null|
15:42:09.0 (2402728)|STATEMENT_EXECUTE|[23]
15:42:09.0 (2406328)|HEAP_ALLOCATE|[23]|Bytes:13
15:42:09.0 (2428078)|HEAP_ALLOCATE|[23]|Bytes:1
15:42:09.0 (2439030)|HEAP_ALLOCATE|[23]|Bytes:14
15:42:09.0 (2449671)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
15:42:09.0 (2457381)|STATEMENT_EXECUTE|[24]
15:42:09.0 (2471852)|HEAP_ALLOCATE|[24]|Bytes:20
15:42:09.0 (2482183)|HEAP_ALLOCATE|[24]|Bytes:33
15:42:09.0 (2490522)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001Jx6kIAC}
15:42:09.0 (2507763)|STATEMENT_EXECUTE|[25]
15:42:09.0 (2509915)|STATEMENT_EXECUTE|[26]
15:42:09.0 (2521105)|HEAP_ALLOCATE|[26]|Bytes:122
15:42:09.0 (2526216)|HEAP_ALLOCATE|[26]|Bytes:24
15:42:09.0 (2530565)|HEAP_ALLOCATE|[26]|Bytes:187
15:42:09.0 (2536866)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
15:42:09.0 (2541637)|STATEMENT_EXECUTE|[1]
15:42:09.0 (2545077)|STATEMENT_EXECUTE|[1]
15:42:09.0 (2550126)|HEAP_ALLOCATE|[26]|Bytes:5
15:42:09.0 (2554397)|STATEMENT_EXECUTE|[998]
15:42:09.0 (2556807)|STATEMENT_EXECUTE|[1015]
15:42:09.0 (2559068)|STATEMENT_EXECUTE|[1036]
15:42:09.0 (2565007)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
15:42:09.0 (2572839)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
15:42:09.0 (2577999)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
15:42:09.0 (2588200)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801Ie000001Jx6kIAC"]|0x6162262b
15:42:09.0 (2597249)|HEAP_ALLOCATE|[59]|Bytes:5
15:42:09.0 (2602169)|STATEMENT_EXECUTE|[57]
