60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:42:30.0 (158163)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
15:42:30.0 (235254)|EXECUTION_STARTED
15:42:30.0 (249874)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
15:42:30.0 (1032840)|HEAP_ALLOCATE|[95]|Bytes:3
15:42:30.0 (1115392)|HEAP_ALLOCATE|[100]|Bytes:152
15:42:30.0 (1132862)|HEAP_ALLOCATE|[417]|Bytes:408
15:42:30.0 (1150613)|HEAP_ALLOCATE|[430]|Bytes:408
15:42:30.0 (1180673)|HEAP_ALLOCATE|[317]|Bytes:6
15:42:30.0 (1202554)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
15:42:30.0 (1207934)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
15:42:30.0 (1211484)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
15:42:30.0 (1223974)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
15:42:30.0 (1229974)|STATEMENT_EXECUTE|[1]
15:42:30.0 (1237114)|STATEMENT_EXECUTE|[1]
15:42:30.0 (1269605)|HEAP_ALLOCATE|[68]|Bytes:5
15:42:30.0 (1294155)|HEAP_ALLOCATE|[74]|Bytes:5
15:42:30.0 (1302686)|HEAP_ALLOCATE|[82]|Bytes:7
15:42:30.0 (1315286)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
15:42:30.0 (1328066)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
15:42:30.0 (1333416)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:42:30.0 (1343496)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
15:42:30.0 (1350987)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
15:42:30.0 (1355227)|STATEMENT_EXECUTE|[15]
15:42:30.0 (1361377)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
15:42:30.0 (1365337)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
15:42:30.0 (1392647)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:42:30.0 (1399167)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
15:42:30.0 (1489509)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x2c1bf930"}|0x525b6e68
15:42:30.0 (1495979)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
15:42:30.0 (1630612)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pGVeeAAG","jobId":"707e200000pHc3cAAC"}|0x6a726c4d
15:42:30.0 (1637102)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
15:42:30.0 (2219814)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie00000955PMIAY","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000955PMIAY","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCaJIAU","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCaJIAU"},"CreatedDate":"2025-05-26T10:38:54.000Z","Coupon_Type__c":"P","Id":"801Ie000001Jx7RIAS","RMD_ECC_Order_ID__c":"Akhil1862"}]|0x2b8d467b
15:42:30.0 (2249904)|HEAP_ALLOCATE|[17]|Bytes:5
