60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:22:11.0 (220376)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:22:11.0 (254637)|EXECUTION_STARTED
16:22:11.0 (264007)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:22:11.0 (799992)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:22:11.0 (848493)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:22:11.0 (854113)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:22:11.0 (868834)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:22:11.0 (874694)|STATEMENT_EXECUTE|[1]
16:22:11.0 (882994)|STATEMENT_EXECUTE|[1]
16:22:11.0 (908475)|HEAP_ALLOCATE|[68]|Bytes:5
16:22:11.0 (948896)|HEAP_ALLOCATE|[74]|Bytes:5
16:22:11.0 (959486)|HEAP_ALLOCATE|[82]|Bytes:7
16:22:11.0 (1135801)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:22:11.0 (1152252)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:22:11.0 (1157862)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:22:11.0 (1162572)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:22:11.0 (1184882)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:22:11.0 (1207713)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:22:11.0 (1284695)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x7579a5d6"}|0x5ba92509
16:22:11.0 (1290955)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:22:11.0 (1432469)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pGVeeAAG","jobId":"707e200000pHc3cAAC"}|0x1abffd5a
16:22:11.0 (1439449)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:22:11.0 (2349035)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"001Ie000002NXTvIAO","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002NXTvIAO","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mcbDAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mcbDAAQ"},"CreatedDate":"2025-09-26T06:56:02.000Z","Id":"801e2000007jDefAAE","RMD_ECC_Order_ID__c":"6691195623"}]|0xcfdbfc9
16:22:11.0 (2376325)|HEAP_ALLOCATE|[17]|Bytes:5
16:22:11.0 (2384476)|STATEMENT_EXECUTE|[16]
16:22:11.0 (2387806)|STATEMENT_EXECUTE|[17]
16:22:11.0 (2393486)|HEAP_ALLOCATE|[17]|Bytes:18
16:22:11.0 (2531760)|HEAP_ALLOCATE|[17]|Bytes:1
16:22:11.0 (2550870)|HEAP_ALLOCATE|[17]|Bytes:19
16:22:11.0 (2589871)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:22:11.0 (2600081)|STATEMENT_EXECUTE|[18]
16:22:11.0 (2611752)|HEAP_ALLOCATE|[18]|Bytes:4
16:22:11.0 (2734005)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x5ba92509
16:22:11.0 (2886299)|HEAP_ALLOCATE|[19]|Bytes:5
