60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:23:10.0 (228757)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:23:10.0 (296039)|EXECUTION_STARTED
16:23:10.0 (308439)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:23:10.0 (866074)|HEAP_ALLOCATE|[95]|Bytes:3
16:23:10.0 (990528)|HEAP_ALLOCATE|[100]|Bytes:152
16:23:10.0 (1012198)|HEAP_ALLOCATE|[417]|Bytes:408
16:23:10.0 (1030699)|HEAP_ALLOCATE|[430]|Bytes:408
16:23:10.0 (1061840)|HEAP_ALLOCATE|[317]|Bytes:6
16:23:10.0 (1091770)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:23:10.0 (1098501)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:23:10.0 (1103771)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:23:10.0 (1116911)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:23:10.0 (1124111)|STATEMENT_EXECUTE|[1]
16:23:10.0 (1130701)|STATEMENT_EXECUTE|[1]
16:23:10.0 (1161672)|HEAP_ALLOCATE|[68]|Bytes:5
16:23:10.0 (1194393)|HEAP_ALLOCATE|[74]|Bytes:5
16:23:10.0 (1203613)|HEAP_ALLOCATE|[82]|Bytes:7
16:23:10.0 (1213634)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:23:10.0 (1227804)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:23:10.0 (1233234)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:23:10.0 (1241475)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:23:10.0 (1248905)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:23:10.0 (1252275)|STATEMENT_EXECUTE|[15]
16:23:10.0 (1259475)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:23:10.0 (1263445)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:23:10.0 (1296936)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:23:10.0 (1302776)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:23:10.0 (1386298)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x251e3253"}|0x5ba92509
16:23:10.0 (1394469)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:23:10.0 (1563453)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pGVeeAAG","jobId":"707e200000pHc3cAAC"}|0x1abffd5a
16:23:10.0 (1570144)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:23:10.0 (1869832)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bjmY6QAI","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjmY6QAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005miv8AAA","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005miv8AAA"},"CreatedDate":"2025-09-26T06:17:42.000Z","Id":"801e2000007jO3nAAE","RMD_ECC_Order_ID__c":"6691194409"}]|0x6b181292
16:23:10.0 (1893552)|HEAP_ALLOCATE|[17]|Bytes:5
16:23:10.0 (1899543)|STATEMENT_EXECUTE|[16]
16:23:10.0 (1902053)|STATEMENT_EXECUTE|[17]
16:23:10.0 (1905633)|HEAP_ALLOCATE|[17]|Bytes:18
16:23:10.0 (1965404)|HEAP_ALLOCATE|[17]|Bytes:1
16:23:10.0 (1982025)|HEAP_ALLOCATE|[17]|Bytes:19
16:23:10.0 (2007195)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:23:10.0 (2016416)|STATEMENT_EXECUTE|[18]
16:23:10.0 (2029796)|HEAP_ALLOCATE|[18]|Bytes:4
16:23:10.0 (2080727)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x5ba92509
16:23:10.0 (2119659)|HEAP_ALLOCATE|[19]|Bytes:5
16:23:10.0 (2166670)|HEAP_ALLOCATE|[19]|Bytes:40
16:23:10.0 (2183360)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
