60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:22:41.0 (266847)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:22:41.0 (320070)|EXECUTION_STARTED
16:22:41.0 (330769)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:22:41.0 (789923)|HEAP_ALLOCATE|[95]|Bytes:3
16:22:41.0 (873855)|HEAP_ALLOCATE|[100]|Bytes:152
16:22:41.0 (891744)|HEAP_ALLOCATE|[417]|Bytes:408
16:22:41.0 (908915)|HEAP_ALLOCATE|[430]|Bytes:408
16:22:41.0 (936257)|HEAP_ALLOCATE|[317]|Bytes:6
16:22:41.0 (981578)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:22:41.0 (987627)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:22:41.0 (990957)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:22:41.0 (1000797)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:22:41.0 (1007078)|STATEMENT_EXECUTE|[1]
16:22:41.0 (1013809)|STATEMENT_EXECUTE|[1]
16:22:41.0 (1047199)|HEAP_ALLOCATE|[68]|Bytes:5
16:22:41.0 (1078429)|HEAP_ALLOCATE|[74]|Bytes:5
16:22:41.0 (1090160)|HEAP_ALLOCATE|[82]|Bytes:7
16:22:41.0 (1101320)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:22:41.0 (1115831)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:22:41.0 (1122222)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:22:41.0 (1132692)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:22:41.0 (1141041)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:22:41.0 (1145241)|STATEMENT_EXECUTE|[15]
16:22:41.0 (1153242)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:22:41.0 (1158013)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:22:41.0 (1195774)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:22:41.0 (1204384)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:22:41.0 (1293755)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0xf20a1d9"}|0x5ba92509
16:22:41.0 (1302606)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:22:41.0 (1505531)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pGVeeAAG","jobId":"707e200000pHc3cAAC"}|0x1abffd5a
16:22:41.0 (1515812)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:22:41.0 (1799710)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0017F00001bjGSkQAM","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjGSkQAM","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mj1ZAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mj1ZAAQ"},"CreatedDate":"2025-09-26T06:07:32.000Z","Id":"801e2000007jIMaAAM","RMD_ECC_Order_ID__c":"6691194133"}]|0x37846894
16:22:41.0 (1827551)|HEAP_ALLOCATE|[17]|Bytes:5
