60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:23:17.0 (145804)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:23:17.0 (180916)|EXECUTION_STARTED
16:23:17.0 (191895)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:23:17.0 (583496)|HEAP_ALLOCATE|[95]|Bytes:3
16:23:17.0 (664138)|HEAP_ALLOCATE|[100]|Bytes:152
16:23:17.0 (682400)|HEAP_ALLOCATE|[417]|Bytes:408
16:23:17.0 (697250)|HEAP_ALLOCATE|[430]|Bytes:408
16:23:17.0 (725451)|HEAP_ALLOCATE|[317]|Bytes:6
16:23:17.0 (751082)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:23:17.0 (756332)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:23:17.0 (759482)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:23:17.0 (768701)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:23:17.0 (774111)|STATEMENT_EXECUTE|[1]
16:23:17.0 (780222)|STATEMENT_EXECUTE|[1]
16:23:17.0 (809163)|HEAP_ALLOCATE|[68]|Bytes:5
16:23:17.0 (833844)|HEAP_ALLOCATE|[74]|Bytes:5
16:23:17.0 (843494)|HEAP_ALLOCATE|[82]|Bytes:7
16:23:17.0 (853184)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:23:17.0 (866314)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:23:17.0 (872565)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:23:17.0 (880224)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:23:17.0 (886504)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:23:17.0 (890115)|STATEMENT_EXECUTE|[15]
16:23:17.0 (897336)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:23:17.0 (901675)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:23:17.0 (939447)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:23:17.0 (945596)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:23:17.0 (1012449)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x3be0b954"}|0x5ba92509
16:23:17.0 (1018529)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:23:17.0 (1177213)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pGVeeAAG","jobId":"707e200000pHc3cAAC"}|0x1abffd5a
16:23:17.0 (1183473)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
