60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:30:48.0 (243596)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
10:30:48.0 (319898)|EXECUTION_STARTED
10:30:48.0 (335248)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
10:30:48.0 (1052956)|HEAP_ALLOCATE|[95]|Bytes:3
10:30:48.0 (1162919)|HEAP_ALLOCATE|[100]|Bytes:152
10:30:48.0 (1185129)|HEAP_ALLOCATE|[417]|Bytes:408
10:30:48.0 (1214910)|HEAP_ALLOCATE|[430]|Bytes:408
10:30:48.0 (1261331)|HEAP_ALLOCATE|[317]|Bytes:6
10:30:48.0 (1290212)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
10:30:48.0 (1295122)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
10:30:48.0 (1298722)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
10:30:48.0 (1309222)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
10:30:48.0 (1322052)|STATEMENT_EXECUTE|[1]
10:30:48.0 (1328043)|STATEMENT_EXECUTE|[1]
10:30:48.0 (1365753)|HEAP_ALLOCATE|[68]|Bytes:5
10:30:48.0 (1392984)|HEAP_ALLOCATE|[74]|Bytes:5
10:30:48.0 (1402214)|HEAP_ALLOCATE|[82]|Bytes:7
10:30:48.0 (1438805)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:30:48.0 (1491686)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
10:30:48.0 (1499057)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:30:48.0 (1516607)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
10:30:48.0 (1524477)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
10:30:48.0 (1528497)|STATEMENT_EXECUTE|[15]
10:30:48.0 (1536748)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
10:30:48.0 (1541158)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:30:48.0 (1605129)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:30:48.0 (1612839)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
10:30:48.0 (1726452)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x496a793f"}|0x2acddf82
10:30:48.0 (1738542)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
10:30:48.0 (1884586)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pO1QZAA0","jobId":"707e200000pO9SeAAK"}|0x32c60f70
10:30:48.0 (1890986)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
10:30:48.0 (2204534)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001birYzQAI","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001birYzQAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000073riMAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e20000073riMAAQ"},"CreatedDate":"2025-10-14T06:40:47.000Z","Id":"801e20000096xZoAAI","RMD_ECC_Order_ID__c":"6691269245"}]|0x6586d60a
10:30:48.0 (2235995)|HEAP_ALLOCATE|[17]|Bytes:5
10:30:48.0 (2243185)|STATEMENT_EXECUTE|[16]
10:30:48.0 (2245735)|STATEMENT_EXECUTE|[17]
10:30:48.0 (2249305)|HEAP_ALLOCATE|[17]|Bytes:18
10:30:48.0 (2342077)|HEAP_ALLOCATE|[17]|Bytes:1
10:30:48.0 (2361008)|HEAP_ALLOCATE|[17]|Bytes:19
10:30:48.0 (2395218)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
10:30:48.0 (2405719)|STATEMENT_EXECUTE|[18]
10:30:48.0 (2430229)|HEAP_ALLOCATE|[18]|Bytes:4
10:30:48.0 (2508261)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x2acddf82
10:30:48.0 (2558712)|HEAP_ALLOCATE|[19]|Bytes:5
10:30:48.0 (2613734)|HEAP_ALLOCATE|[19]|Bytes:40
10:30:48.0 (2628194)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
