60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:30:19.0 (143324)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
10:30:19.0 (205625)|EXECUTION_STARTED
10:30:19.0 (215106)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
10:30:19.0 (590555)|HEAP_ALLOCATE|[95]|Bytes:3
10:30:19.0 (670887)|HEAP_ALLOCATE|[100]|Bytes:152
10:30:19.0 (691277)|HEAP_ALLOCATE|[417]|Bytes:408
10:30:19.0 (705488)|HEAP_ALLOCATE|[430]|Bytes:408
10:30:19.0 (730749)|HEAP_ALLOCATE|[317]|Bytes:6
10:30:19.0 (754750)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
10:30:19.0 (759439)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
10:30:19.0 (762839)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
10:30:19.0 (793271)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
10:30:19.0 (797900)|STATEMENT_EXECUTE|[1]
10:30:19.0 (803600)|STATEMENT_EXECUTE|[1]
10:30:19.0 (832021)|HEAP_ALLOCATE|[68]|Bytes:5
10:30:19.0 (857771)|HEAP_ALLOCATE|[74]|Bytes:5
10:30:19.0 (867381)|HEAP_ALLOCATE|[82]|Bytes:7
10:30:19.0 (879292)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:30:19.0 (894513)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
10:30:19.0 (900633)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:30:19.0 (909623)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
10:30:19.0 (916283)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
10:30:19.0 (919714)|STATEMENT_EXECUTE|[15]
10:30:19.0 (926323)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
10:30:19.0 (930314)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:30:19.0 (964334)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:30:19.0 (970915)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
10:30:19.0 (1034677)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x525d2063"}|0x2acddf82
10:30:19.0 (1040816)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
10:30:19.0 (1170640)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pO1QZAA0","jobId":"707e200000pO9SeAAK"}|0x32c60f70
10:30:19.0 (1176749)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
10:30:19.0 (1416515)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0017F00001bjQeoQAE","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjQeoQAE","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000071eHAAAY","Opportunity":{"StageName":"Closed Lost","Id":"006e20000071eHAAAY"},"CreatedDate":"2025-10-13T12:21:07.000Z","Id":"801e20000094YXlAAM","RMD_ECC_Order_ID__c":"6691263097"}]|0x21e6983b
10:30:19.0 (1438385)|HEAP_ALLOCATE|[17]|Bytes:5
