60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:32:52.0 (195805)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
10:32:52.0 (282097)|EXECUTION_STARTED
10:32:52.0 (294316)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
10:32:52.0 (1098097)|HEAP_ALLOCATE|[95]|Bytes:3
10:32:52.0 (1189299)|HEAP_ALLOCATE|[100]|Bytes:152
10:32:52.0 (1216210)|HEAP_ALLOCATE|[417]|Bytes:408
10:32:52.0 (1236912)|HEAP_ALLOCATE|[430]|Bytes:408
10:32:52.0 (1262181)|HEAP_ALLOCATE|[317]|Bytes:6
10:32:52.0 (1285923)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
10:32:52.0 (1292262)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
10:32:52.0 (1295673)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
10:32:52.0 (1306004)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
10:32:52.0 (1312114)|STATEMENT_EXECUTE|[1]
10:32:52.0 (1317674)|STATEMENT_EXECUTE|[1]
10:32:52.0 (1350635)|HEAP_ALLOCATE|[68]|Bytes:5
10:32:52.0 (1376744)|HEAP_ALLOCATE|[74]|Bytes:5
10:32:52.0 (1385665)|HEAP_ALLOCATE|[82]|Bytes:7
10:32:52.0 (1397516)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:32:52.0 (1410375)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
10:32:52.0 (1415006)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:32:52.0 (1423037)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
10:32:52.0 (1429986)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
10:32:52.0 (1433266)|STATEMENT_EXECUTE|[15]
10:32:52.0 (1440447)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
10:32:52.0 (1444597)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:32:52.0 (1472747)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:32:52.0 (1478528)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
10:32:52.0 (1555480)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x561e00b3"}|0x199da1ee
10:32:52.0 (1560869)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
10:32:52.0 (1717854)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pO1QZAA0","jobId":"707e200000pO9SeAAK"}|0x1984c5c3
10:32:52.0 (1726124)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
10:32:52.0 (2003561)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0017F00001bj5TGQAY","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bj5TGQAY","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000074uu5AAA","Opportunity":{"StageName":"Closed Lost","Id":"006e20000074uu5AAA"},"CreatedDate":"2025-10-14T06:48:25.000Z","Id":"801e200000983A5AAI","RMD_ECC_Order_ID__c":"6691270861"}]|0x3fb4f847
10:32:52.0 (2025012)|HEAP_ALLOCATE|[17]|Bytes:5
10:32:52.0 (2030142)|STATEMENT_EXECUTE|[16]
10:32:52.0 (2032471)|STATEMENT_EXECUTE|[17]
10:32:52.0 (2035881)|HEAP_ALLOCATE|[17]|Bytes:18
10:32:52.0 (2090414)|HEAP_ALLOCATE|[17]|Bytes:1
10:32:52.0 (2107224)|HEAP_ALLOCATE|[17]|Bytes:19
10:32:52.0 (2133225)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
10:32:52.0 (2143364)|STATEMENT_EXECUTE|[18]
10:32:52.0 (2157696)|HEAP_ALLOCATE|[18]|Bytes:4
10:32:52.0 (2202147)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x199da1ee
10:32:52.0 (2239357)|HEAP_ALLOCATE|[19]|Bytes:5
10:32:52.0 (2283619)|HEAP_ALLOCATE|[19]|Bytes:40
10:32:52.0 (2299448)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
10:32:52.0 (2416521)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"EXPIRED","Account":{"Id":"0017F00001bj5TGQAY","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bj5TGQAY","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000074uu5AAA","Opportunity":{"StageName":"Closed Lost","Id":"006e20000074uu5AAA"},"CreatedDate":"2025-10-14T06:48:25.000Z","Id":"801e200000983A5AAI","RMD_ECC_Order_ID__c":"6691270861"}|0x1a6624c4
10:32:52.0 (2426032)|STATEMENT_EXECUTE|[19]
10:32:52.0 (2428353)|STATEMENT_EXECUTE|[20]
10:32:52.0 (2458353)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:32:52.0 (2476243)|HEAP_ALLOCATE|[19]|Bytes:5
10:32:52.0 (2489664)|VARIABLE_ASSIGNMENT|[19]|obj|null|
10:32:52.0 (2494533)|STATEMENT_EXECUTE|[23]
10:32:52.0 (2497523)|HEAP_ALLOCATE|[23]|Bytes:13
10:32:52.0 (2520785)|HEAP_ALLOCATE|[23]|Bytes:1
10:32:52.0 (2532124)|HEAP_ALLOCATE|[23]|Bytes:14
10:32:52.0 (2543466)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
10:32:52.0 (2551135)|STATEMENT_EXECUTE|[24]
10:32:52.0 (2568266)|HEAP_ALLOCATE|[24]|Bytes:20
10:32:52.0 (2620417)|HEAP_ALLOCATE|[24]|Bytes:33
10:32:52.0 (2630908)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e200000983A5AAI}
10:32:52.0 (2649188)|STATEMENT_EXECUTE|[25]
10:32:52.0 (2651537)|STATEMENT_EXECUTE|[26]
10:32:52.0 (2663509)|HEAP_ALLOCATE|[26]|Bytes:122
10:32:52.0 (2668008)|HEAP_ALLOCATE|[26]|Bytes:24
10:32:52.0 (2671218)|HEAP_ALLOCATE|[26]|Bytes:187
10:32:52.0 (2678058)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
10:32:52.0 (2683088)|STATEMENT_EXECUTE|[1]
10:32:52.0 (2686589)|STATEMENT_EXECUTE|[1]
10:32:52.0 (2692199)|HEAP_ALLOCATE|[26]|Bytes:5
10:32:52.0 (2696189)|STATEMENT_EXECUTE|[998]
10:32:52.0 (2698590)|STATEMENT_EXECUTE|[1015]
10:32:52.0 (2700769)|STATEMENT_EXECUTE|[1036]
10:32:52.0 (2706960)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
10:32:52.0 (2715929)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
10:32:52.0 (2721070)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
10:32:52.0 (2731120)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000983A5AAI"]|0x6e8a75e7
10:32:52.0 (2739401)|HEAP_ALLOCATE|[59]|Bytes:5
10:32:52.0 (2744210)|STATEMENT_EXECUTE|[57]
10:32:52.0 (2746460)|STATEMENT_EXECUTE|[59]
10:32:52.0 (2750151)|HEAP_ALLOCATE|[59]|Bytes:27
10:32:52.0 (2785872)|HEAP_ALLOCATE|[59]|Bytes:96
10:32:52.0 (2791851)|HEAP_ALLOCATE|[59]|Bytes:69
10:32:52.0 (2852804)|HEAP_ALLOCATE|[59]|Bytes:33
10:32:52.0 (2862383)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
10:32:52.0 (2866124)|STATEMENT_EXECUTE|[1]
10:32:52.0 (2873114)|SYSTEM_METHOD_EXIT|[1]|Type
10:32:52.0 (2878074)|HEAP_ALLOCATE|[59]|Bytes:8
10:32:52.0 (2893024)|HEAP_ALLOCATE|[59]|Bytes:8
10:32:52.0 (2897584)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
10:32:52.0 (2916845)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x772d346a
10:32:52.0 (2921475)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
10:32:52.0 (2982216)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x7b29daee
10:32:52.0 (5749457)|HEAP_ALLOCATE|[59]|Bytes:8
10:32:52.0 (5784559)|HEAP_ALLOCATE|[59]|Bytes:24
10:32:52.0 (5796040)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
10:32:52.0 (5801830)|STATEMENT_EXECUTE|[1]
