60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:32:16.0 (204186)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
10:32:16.0 (307789)|EXECUTION_STARTED
10:32:16.0 (321559)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
10:32:16.0 (1195182)|HEAP_ALLOCATE|[95]|Bytes:3
10:32:16.0 (1353706)|HEAP_ALLOCATE|[100]|Bytes:152
10:32:16.0 (1388636)|HEAP_ALLOCATE|[417]|Bytes:408
10:32:16.0 (1420978)|HEAP_ALLOCATE|[430]|Bytes:408
10:32:16.0 (1469728)|HEAP_ALLOCATE|[317]|Bytes:6
10:32:16.0 (1508359)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
10:32:16.0 (1518089)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
10:32:16.0 (1523990)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
10:32:16.0 (1539730)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
10:32:16.0 (1549151)|STATEMENT_EXECUTE|[1]
10:32:16.0 (1556911)|STATEMENT_EXECUTE|[1]
10:32:16.0 (1595251)|HEAP_ALLOCATE|[68]|Bytes:5
10:32:16.0 (1626962)|HEAP_ALLOCATE|[74]|Bytes:5
10:32:16.0 (1642442)|HEAP_ALLOCATE|[82]|Bytes:7
10:32:16.0 (1660024)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:32:16.0 (1678603)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
10:32:16.0 (1687515)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:32:16.0 (1702035)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
10:32:16.0 (1714395)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
10:32:16.0 (1720364)|STATEMENT_EXECUTE|[15]
10:32:16.0 (1730365)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
10:32:16.0 (1737116)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:32:16.0 (1788376)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:32:16.0 (1799006)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
10:32:16.0 (1899790)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x5e1f27c3"}|0x199da1ee
10:32:16.0 (1908430)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
10:32:16.0 (2121956)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pO1QZAA0","jobId":"707e200000pO9SeAAK"}|0x1984c5c3
10:32:16.0 (2133126)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
10:32:16.0 (2640769)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bie7gQAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bie7gQAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000074qk1AAA","Opportunity":{"StageName":"Closed Lost","Id":"006e20000074qk1AAA"},"CreatedDate":"2025-10-14T06:46:08.000Z","Id":"801e20000097wwcAAA","RMD_ECC_Order_ID__c":"6691269497"}]|0x47561dcb
10:32:16.0 (2679429)|HEAP_ALLOCATE|[17]|Bytes:5
10:32:16.0 (2687900)|STATEMENT_EXECUTE|[16]
10:32:16.0 (2691460)|STATEMENT_EXECUTE|[17]
10:32:16.0 (2696830)|HEAP_ALLOCATE|[17]|Bytes:18
10:32:16.0 (2771232)|HEAP_ALLOCATE|[17]|Bytes:1
10:32:16.0 (2799503)|HEAP_ALLOCATE|[17]|Bytes:19
10:32:16.0 (2837273)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
10:32:16.0 (2853884)|STATEMENT_EXECUTE|[18]
10:32:16.0 (2874484)|HEAP_ALLOCATE|[18]|Bytes:4
10:32:16.0 (2939116)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x199da1ee
