60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:32:45.0 (283927)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
10:32:45.0 (380420)|EXECUTION_STARTED
10:32:45.0 (391620)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
10:32:45.0 (1196661)|HEAP_ALLOCATE|[95]|Bytes:3
10:32:45.0 (1334655)|HEAP_ALLOCATE|[100]|Bytes:152
10:32:45.0 (1363585)|HEAP_ALLOCATE|[417]|Bytes:408
10:32:45.0 (1387176)|HEAP_ALLOCATE|[430]|Bytes:408
10:32:45.0 (1416187)|HEAP_ALLOCATE|[317]|Bytes:6
10:32:45.0 (1441657)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
10:32:45.0 (1448467)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
10:32:45.0 (1451998)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
10:32:45.0 (1462578)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
10:32:45.0 (1468638)|STATEMENT_EXECUTE|[1]
10:32:45.0 (1474858)|STATEMENT_EXECUTE|[1]
10:32:45.0 (1508069)|HEAP_ALLOCATE|[68]|Bytes:5
10:32:45.0 (1538650)|HEAP_ALLOCATE|[74]|Bytes:5
10:32:45.0 (1548060)|HEAP_ALLOCATE|[82]|Bytes:7
10:32:45.0 (1560210)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:32:45.0 (1573641)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
10:32:45.0 (1578781)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:32:45.0 (1587661)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
10:32:45.0 (1593811)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
10:32:45.0 (1597071)|STATEMENT_EXECUTE|[15]
10:32:45.0 (1603901)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
10:32:45.0 (1608002)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:32:45.0 (1637262)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:32:45.0 (1643823)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
10:32:45.0 (1768436)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x1d1b91d7"}|0x199da1ee
10:32:45.0 (1776086)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
10:32:45.0 (1955471)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pO1QZAA0","jobId":"707e200000pO9SeAAK"}|0x1984c5c3
10:32:45.0 (1962071)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
10:32:45.0 (2273139)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0017F00001bjCkdQAE","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjCkdQAE","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e200000755XoAAI","Opportunity":{"StageName":"Closed Lost","Id":"006e200000755XoAAI"},"CreatedDate":"2025-10-14T06:52:39.000Z","Id":"801e200000982ysAAA","RMD_ECC_Order_ID__c":"6691270979"}]|0x5b769d76
10:32:45.0 (2295919)|HEAP_ALLOCATE|[17]|Bytes:5
10:32:45.0 (2384152)|STATEMENT_EXECUTE|[16]
10:32:45.0 (2387042)|STATEMENT_EXECUTE|[17]
10:32:45.0 (2390822)|HEAP_ALLOCATE|[17]|Bytes:18
10:32:45.0 (2456104)|HEAP_ALLOCATE|[17]|Bytes:1
10:32:45.0 (2474874)|HEAP_ALLOCATE|[17]|Bytes:19
10:32:45.0 (2502695)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
10:32:45.0 (2513025)|STATEMENT_EXECUTE|[18]
10:32:45.0 (2528595)|HEAP_ALLOCATE|[18]|Bytes:4
10:32:45.0 (2586597)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x199da1ee
10:32:45.0 (2625988)|HEAP_ALLOCATE|[19]|Bytes:5
10:32:45.0 (2668519)|HEAP_ALLOCATE|[19]|Bytes:40
10:32:45.0 (2683919)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
10:32:45.0 (2854124)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"EXPIRED","Account":{"Id":"0017F00001bjCkdQAE","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjCkdQAE","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e200000755XoAAI","Opportunity":{"StageName":"Closed Lost","Id":"006e200000755XoAAI"},"CreatedDate":"2025-10-14T06:52:39.000Z","Id":"801e200000982ysAAA","RMD_ECC_Order_ID__c":"6691270979"}|0x4f3a16d7
10:32:45.0 (2865374)|STATEMENT_EXECUTE|[19]
10:32:45.0 (2867844)|STATEMENT_EXECUTE|[20]
10:32:45.0 (2903205)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:32:45.0 (2925786)|HEAP_ALLOCATE|[19]|Bytes:5
10:32:45.0 (2943756)|VARIABLE_ASSIGNMENT|[19]|obj|null|
10:32:45.0 (2951436)|STATEMENT_EXECUTE|[23]
10:32:45.0 (2955356)|HEAP_ALLOCATE|[23]|Bytes:13
10:32:45.0 (2985267)|HEAP_ALLOCATE|[23]|Bytes:1
10:32:45.0 (3001688)|HEAP_ALLOCATE|[23]|Bytes:14
10:32:45.0 (3016908)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
10:32:45.0 (3027948)|STATEMENT_EXECUTE|[24]
10:32:45.0 (3051519)|HEAP_ALLOCATE|[24]|Bytes:20
10:32:45.0 (3067209)|HEAP_ALLOCATE|[24]|Bytes:33
10:32:45.0 (3078970)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e200000982ysAAA}
10:32:45.0 (3101910)|STATEMENT_EXECUTE|[25]
10:32:45.0 (3105360)|STATEMENT_EXECUTE|[26]
10:32:45.0 (3120371)|HEAP_ALLOCATE|[26]|Bytes:122
10:32:45.0 (3126801)|HEAP_ALLOCATE|[26]|Bytes:24
10:32:45.0 (3130331)|HEAP_ALLOCATE|[26]|Bytes:187
10:32:45.0 (3142161)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
10:32:45.0 (3147211)|STATEMENT_EXECUTE|[1]
10:32:45.0 (3151222)|STATEMENT_EXECUTE|[1]
10:32:45.0 (3157082)|HEAP_ALLOCATE|[26]|Bytes:5
10:32:45.0 (3161362)|STATEMENT_EXECUTE|[998]
10:32:45.0 (3163782)|STATEMENT_EXECUTE|[1015]
10:32:45.0 (3166082)|STATEMENT_EXECUTE|[1036]
10:32:45.0 (3174432)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
10:32:45.0 (3182612)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
10:32:45.0 (3188402)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
10:32:45.0 (3202113)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000982ysAAA"]|0x561e00b3
10:32:45.0 (3211483)|HEAP_ALLOCATE|[59]|Bytes:5
10:32:45.0 (3216393)|STATEMENT_EXECUTE|[57]
10:32:45.0 (3218753)|STATEMENT_EXECUTE|[59]
10:32:45.0 (3222733)|HEAP_ALLOCATE|[59]|Bytes:27
10:32:45.0 (3264104)|HEAP_ALLOCATE|[59]|Bytes:96
10:32:45.0 (3270465)|HEAP_ALLOCATE|[59]|Bytes:69
10:32:45.0 (3343806)|HEAP_ALLOCATE|[59]|Bytes:33
10:32:45.0 (3356597)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
10:32:45.0 (3362087)|STATEMENT_EXECUTE|[1]
10:32:45.0 (3370347)|SYSTEM_METHOD_EXIT|[1]|Type
10:32:45.0 (3378637)|HEAP_ALLOCATE|[59]|Bytes:8
10:32:45.0 (3399318)|HEAP_ALLOCATE|[59]|Bytes:8
10:32:45.0 (3406268)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
10:32:45.0 (3435239)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x1b74bbf1
10:32:45.0 (3441999)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
10:32:45.0 (3575132)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x7b29daee
10:32:45.0 (6100828)|HEAP_ALLOCATE|[59]|Bytes:8
10:32:45.0 (6132618)|HEAP_ALLOCATE|[59]|Bytes:24
10:32:45.0 (6143769)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
10:32:45.0 (6149289)|STATEMENT_EXECUTE|[1]
10:32:45.0 (6155539)|SYSTEM_METHOD_EXIT|[1]|JSON
10:32:45.0 (6167249)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
10:32:45.0 (6553729)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
10:32:45.0 (6566700)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
10:32:45.0 (6610161)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x66316765
10:32:45.0 (6618971)|HEAP_ALLOCATE|[60]|Bytes:9
10:32:45.0 (6647292)|STATEMENT_EXECUTE|[60]
10:32:45.0 (6649932)|STATEMENT_EXECUTE|[67]
10:32:45.0 (6652042)|STATEMENT_EXECUTE|[67]
10:32:45.0 (6654142)|STATEMENT_EXECUTE|[68]
10:32:45.0 (6715283)|HEAP_ALLOCATE|[68]|Bytes:4
10:32:45.0 (6758495)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
10:32:45.0 (6773415)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x58a4f361
10:32:45.0 (6778505)|STATEMENT_EXECUTE|[70]
10:32:45.0 (6790765)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
10:32:45.0 (6797636)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
10:32:45.0 (6802546)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
10:32:45.0 (6808416)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
10:32:45.0 (6813486)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
10:32:45.0 (6818546)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
10:32:45.0 (6827826)|HEAP_ALLOCATE|[70]|Bytes:150
10:32:45.0 (6834046)|HEAP_ALLOCATE|[70]|Bytes:51
10:32:45.0 (6838117)|HEAP_ALLOCATE|[70]|Bytes:13
10:32:45.0 (6847657)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
10:32:45.0 (6852597)|HEAP_ALLOCATE|[70]|Bytes:7
10:32:45.0 (6859437)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
10:32:45.0 (6901828)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
10:32:45.0 (6906448)|STATEMENT_EXECUTE|[6]
10:32:45.0 (6910018)|STATEMENT_EXECUTE|[6]
10:32:45.0 (8129740)|SYSTEM_MODE_ENTER|false
10:32:45.0 (8142280)|HEAP_ALLOCATE|[7]|Bytes:5
10:32:45.0 (8147960)|STATEMENT_EXECUTE|[7]
10:32:45.0 (8152620)|HEAP_ALLOCATE|[7]|Bytes:12
10:32:45.0 (8226612)|HEAP_ALLOCATE|[7]|Bytes:68
10:32:45.0 (8248753)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
10:32:45.0 (8253643)|STATEMENT_EXECUTE|[9]
10:32:45.0 (8258763)|HEAP_ALLOCATE|[9]|Bytes:5
10:32:45.0 (8267053)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
10:32:45.0 (8270773)|STATEMENT_EXECUTE|[12]
10:32:45.0 (8282984)|HEAP_ALLOCATE|[12]|Bytes:53
10:32:45.0 (8290574)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
10:32:45.0 (8294874)|STATEMENT_EXECUTE|[1]
10:32:45.0 (8298504)|STATEMENT_EXECUTE|[1]
10:32:45.0 (8303054)|METHOD_EXIT|[1]|RMDSelectorUser
10:32:45.0 (8311455)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
10:32:45.0 (8318215)|STATEMENT_EXECUTE|[124]
10:32:45.0 (8320525)|STATEMENT_EXECUTE|[125]
10:32:45.0 (8324715)|HEAP_ALLOCATE|[125]|Bytes:99
10:32:45.0 (8340935)|HEAP_ALLOCATE|[125]|Bytes:4
10:32:45.0 (8942141)|SOQL_EXECUTE_BEGIN|[125]|Aggregations:0|SELECT id FROM User WHERE (name = 'Integration User' AND Profile.Name = 'Integration User') LIMIT 1
10:32:45.0 (18865298)|SOQL_EXECUTE_END|[125]|Rows:1
10:32:45.0 (18930519)|HEAP_ALLOCATE|[125]|Bytes:8
10:32:45.0 (18980561)|HEAP_ALLOCATE|[125]|Bytes:60
10:32:45.0 (19115494)|HEAP_ALLOCATE|[125]|Bytes:8
10:32:45.0 (19171665)|METHOD_EXIT|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
10:32:45.0 (19392131)|VARIABLE_ASSIGNMENT|[12]|RMDCommonHelper.integrationId|[{"ProfileId":"00e7F000000ZzhEQAS","Id":"0057F000004GzVlQAK"}]|0x99a828a
10:32:45.0 (19416812)|SYSTEM_MODE_EXIT|false
10:32:45.0 (19450643)|METHOD_EXIT|[6]|RMDCommonHelper
10:32:45.0 (19473813)|METHOD_ENTRY|[70]|01p7F00000VLtZg|RMDCommonHelper.getOrgInstance()
10:32:45.0 (19503204)|SYSTEM_MODE_ENTER|false
10:32:45.0 (19532945)|HEAP_ALLOCATE|[446]|Bytes:5
10:32:45.0 (19541265)|STATEMENT_EXECUTE|[445]
10:32:45.0 (19544315)|STATEMENT_EXECUTE|[446]
10:32:45.0 (19593056)|HEAP_ALLOCATE|[446]|Bytes:16
10:32:45.0 (19609217)|METHOD_ENTRY|[1]|01p7F00000VLtaw|RMDSelectorCommon.RMDSelectorCommon()
10:32:45.0 (19614497)|STATEMENT_EXECUTE|[1]
10:32:45.0 (19622177)|STATEMENT_EXECUTE|[1]
10:32:45.0 (19627407)|METHOD_EXIT|[1]|RMDSelectorCommon
10:32:45.0 (19637097)|METHOD_ENTRY|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
10:32:45.0 (19648218)|VARIABLE_SCOPE_BEGIN|[3]|setOfAssignToName|Set<String>|true|false
10:32:45.0 (19663008)|VARIABLE_ASSIGNMENT|[3]|setOfAssignToName|null|
10:32:45.0 (19670058)|STATEMENT_EXECUTE|[3]
10:32:45.0 (19672478)|STATEMENT_EXECUTE|[4]
10:32:45.0 (19700829)|HEAP_ALLOCATE|[4]|Bytes:4
10:32:45.0 (19733990)|VARIABLE_SCOPE_BEGIN|[4]|listORG|List<Organization>|true|false
10:32:45.0 (19744880)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:32:45.0 (19757071)|VARIABLE_ASSIGNMENT|[4]|listORG|[]|0x1617d83c
10:32:45.0 (19762901)|STATEMENT_EXECUTE|[5]
10:32:45.0 (19769951)|HEAP_ALLOCATE|[5]|Bytes:42
10:32:45.0 (19795762)|HEAP_ALLOCATE|[5]|Bytes:4
10:32:45.0 (20276944)|SOQL_EXECUTE_BEGIN|[5]|Aggregations:0|SELECT IsSandbox FROM Organization LIMIT 1
10:32:45.0 (23625191)|SOQL_EXECUTE_END|[5]|Rows:1
10:32:45.0 (23679512)|HEAP_ALLOCATE|[5]|Bytes:8
10:32:45.0 (23705953)|HEAP_ALLOCATE|[5]|Bytes:46
10:32:45.0 (23817416)|HEAP_ALLOCATE|[5]|Bytes:8
10:32:45.0 (23969850)|VARIABLE_ASSIGNMENT|[5]|listORG|[{"IsSandbox":false,"Id":"00D7F000005CdiiUAC"}]|0x4e686371
