60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:30:40.0 (187704)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
10:30:40.0 (263037)|EXECUTION_STARTED
10:30:40.0 (276026)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
10:30:40.0 (675527)|HEAP_ALLOCATE|[95]|Bytes:3
10:30:40.0 (759889)|HEAP_ALLOCATE|[100]|Bytes:152
10:30:40.0 (779718)|HEAP_ALLOCATE|[417]|Bytes:408
10:30:40.0 (793950)|HEAP_ALLOCATE|[430]|Bytes:408
10:30:40.0 (820500)|HEAP_ALLOCATE|[317]|Bytes:6
10:30:40.0 (846291)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
10:30:40.0 (851191)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
10:30:40.0 (854480)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
10:30:40.0 (863931)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
10:30:40.0 (869201)|STATEMENT_EXECUTE|[1]
10:30:40.0 (875572)|STATEMENT_EXECUTE|[1]
10:30:40.0 (904942)|HEAP_ALLOCATE|[68]|Bytes:5
10:30:40.0 (935613)|HEAP_ALLOCATE|[74]|Bytes:5
10:30:40.0 (949243)|HEAP_ALLOCATE|[82]|Bytes:7
10:30:40.0 (964474)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:30:40.0 (985403)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
10:30:40.0 (994164)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:30:40.0 (1008135)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
10:30:40.0 (1019124)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
10:30:40.0 (1024575)|STATEMENT_EXECUTE|[15]
10:30:40.0 (1034565)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
10:30:40.0 (1041016)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:30:40.0 (1087377)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:30:40.0 (1095497)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
10:30:40.0 (1167619)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x7ed0a180"}|0x2acddf82
10:30:40.0 (1173768)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
10:30:40.0 (1345012)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pO1QZAA0","jobId":"707e200000pO9SeAAK"}|0x32c60f70
10:30:40.0 (1353673)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
10:30:40.0 (1751723)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001birwgQAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001birwgQAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000071y2vAAA","Opportunity":{"StageName":"Closed Lost","Id":"006e20000071y2vAAA"},"CreatedDate":"2025-10-13T12:40:23.000Z","Id":"801e20000094wBWAAY","RMD_ECC_Order_ID__c":"6691261277"}]|0x39c3a41d
10:30:40.0 (1780114)|HEAP_ALLOCATE|[17]|Bytes:5
10:30:40.0 (1786394)|STATEMENT_EXECUTE|[16]
10:30:40.0 (1788814)|STATEMENT_EXECUTE|[17]
10:30:40.0 (1793854)|HEAP_ALLOCATE|[17]|Bytes:18
10:30:40.0 (1852905)|HEAP_ALLOCATE|[17]|Bytes:1
10:30:40.0 (1872006)|HEAP_ALLOCATE|[17]|Bytes:19
10:30:40.0 (1904447)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
10:30:40.0 (1919967)|STATEMENT_EXECUTE|[18]
10:30:40.0 (1941707)|HEAP_ALLOCATE|[18]|Bytes:4
10:30:40.0 (1999708)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x2acddf82
10:30:40.0 (2041810)|HEAP_ALLOCATE|[19]|Bytes:5
10:30:40.0 (2089861)|HEAP_ALLOCATE|[19]|Bytes:40
10:30:40.0 (2106351)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
10:30:40.0 (2259905)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001birwgQAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001birwgQAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000071y2vAAA","Opportunity":{"StageName":"Closed Lost","Id":"006e20000071y2vAAA"},"CreatedDate":"2025-10-13T12:40:23.000Z","Id":"801e20000094wBWAAY","RMD_ECC_Order_ID__c":"6691261277"}|0x2d419f07
10:30:40.0 (2270026)|STATEMENT_EXECUTE|[19]
10:30:40.0 (2272456)|STATEMENT_EXECUTE|[20]
10:30:40.0 (2303146)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:30:40.0 (2321347)|HEAP_ALLOCATE|[19]|Bytes:5
10:30:40.0 (2338047)|VARIABLE_ASSIGNMENT|[19]|obj|null|
10:30:40.0 (2342947)|STATEMENT_EXECUTE|[23]
10:30:40.0 (2346037)|HEAP_ALLOCATE|[23]|Bytes:13
10:30:40.0 (2374728)|HEAP_ALLOCATE|[23]|Bytes:1
10:30:40.0 (2389649)|HEAP_ALLOCATE|[23]|Bytes:14
10:30:40.0 (2402349)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
10:30:40.0 (2411558)|STATEMENT_EXECUTE|[24]
10:30:40.0 (2429270)|HEAP_ALLOCATE|[24]|Bytes:20
10:30:40.0 (2440610)|HEAP_ALLOCATE|[24]|Bytes:33
10:30:40.0 (2451970)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e20000094wBWAAY}
10:30:40.0 (2470031)|STATEMENT_EXECUTE|[25]
10:30:40.0 (2472200)|STATEMENT_EXECUTE|[26]
10:30:40.0 (2484821)|HEAP_ALLOCATE|[26]|Bytes:122
10:30:40.0 (2489920)|HEAP_ALLOCATE|[26]|Bytes:24
10:30:40.0 (2494280)|HEAP_ALLOCATE|[26]|Bytes:187
10:30:40.0 (2502061)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
10:30:40.0 (2506741)|STATEMENT_EXECUTE|[1]
10:30:40.0 (2510792)|STATEMENT_EXECUTE|[1]
10:30:40.0 (2516932)|HEAP_ALLOCATE|[26]|Bytes:5
10:30:40.0 (2521332)|STATEMENT_EXECUTE|[998]
10:30:40.0 (2523841)|STATEMENT_EXECUTE|[1015]
10:30:40.0 (2526112)|STATEMENT_EXECUTE|[1036]
10:30:40.0 (2538392)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
10:30:40.0 (2548881)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
10:30:40.0 (2557513)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
10:30:40.0 (2577133)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e20000094wBWAAY"]|0x496a793f
10:30:40.0 (2590463)|HEAP_ALLOCATE|[59]|Bytes:5
10:30:40.0 (2597254)|STATEMENT_EXECUTE|[57]
10:30:40.0 (2600394)|STATEMENT_EXECUTE|[59]
10:30:40.0 (2605224)|HEAP_ALLOCATE|[59]|Bytes:27
10:30:40.0 (2652475)|HEAP_ALLOCATE|[59]|Bytes:96
10:30:40.0 (2662105)|HEAP_ALLOCATE|[59]|Bytes:69
10:30:40.0 (2739497)|HEAP_ALLOCATE|[59]|Bytes:33
10:30:40.0 (2791078)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
10:30:40.0 (2797378)|STATEMENT_EXECUTE|[1]
10:30:40.0 (2807259)|SYSTEM_METHOD_EXIT|[1]|Type
10:30:40.0 (2816599)|HEAP_ALLOCATE|[59]|Bytes:8
10:30:40.0 (2835439)|HEAP_ALLOCATE|[59]|Bytes:8
10:30:40.0 (2841140)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
10:30:40.0 (2862750)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x2bbd4aa6
10:30:40.0 (2868689)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
10:30:40.0 (2933182)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x4aa9e0f9
10:30:40.0 (4007528)|HEAP_ALLOCATE|[59]|Bytes:8
10:30:40.0 (4029757)|HEAP_ALLOCATE|[59]|Bytes:24
10:30:40.0 (4040678)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
10:30:40.0 (4045069)|STATEMENT_EXECUTE|[1]
10:30:40.0 (4051429)|SYSTEM_METHOD_EXIT|[1]|JSON
10:30:40.0 (4060229)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
10:30:40.0 (4428338)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
10:30:40.0 (4440807)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
10:30:40.0 (4467759)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x489e9e24
10:30:40.0 (4473919)|HEAP_ALLOCATE|[60]|Bytes:9
10:30:40.0 (4496900)|STATEMENT_EXECUTE|[60]
10:30:40.0 (4500600)|STATEMENT_EXECUTE|[67]
10:30:40.0 (4502680)|STATEMENT_EXECUTE|[67]
10:30:40.0 (4504800)|STATEMENT_EXECUTE|[68]
10:30:40.0 (4549801)|HEAP_ALLOCATE|[68]|Bytes:4
10:30:40.0 (4602542)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
10:30:40.0 (4625753)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x9b705eb
10:30:40.0 (4631052)|STATEMENT_EXECUTE|[70]
10:30:40.0 (4642092)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
10:30:40.0 (4647273)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
10:30:40.0 (4654084)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
10:30:40.0 (4662304)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
10:30:40.0 (4667084)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
10:30:40.0 (4671844)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
10:30:40.0 (4681724)|HEAP_ALLOCATE|[70]|Bytes:150
10:30:40.0 (4687964)|HEAP_ALLOCATE|[70]|Bytes:51
10:30:40.0 (4692385)|HEAP_ALLOCATE|[70]|Bytes:13
10:30:40.0 (4701845)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
10:30:40.0 (4706685)|HEAP_ALLOCATE|[70]|Bytes:7
10:30:40.0 (4729235)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
10:30:40.0 (4755926)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
10:30:40.0 (4760975)|STATEMENT_EXECUTE|[6]
10:30:40.0 (4764655)|STATEMENT_EXECUTE|[6]
10:30:40.0 (5340700)|SYSTEM_MODE_ENTER|false
10:30:40.0 (5352941)|HEAP_ALLOCATE|[7]|Bytes:5
10:30:40.0 (5359051)|STATEMENT_EXECUTE|[7]
10:30:40.0 (5364390)|HEAP_ALLOCATE|[7]|Bytes:12
10:30:40.0 (5397831)|HEAP_ALLOCATE|[7]|Bytes:68
10:30:40.0 (5418271)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
10:30:40.0 (5422551)|STATEMENT_EXECUTE|[9]
10:30:40.0 (5427732)|HEAP_ALLOCATE|[9]|Bytes:5
10:30:40.0 (5438063)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
10:30:40.0 (5441903)|STATEMENT_EXECUTE|[12]
10:30:40.0 (5453563)|HEAP_ALLOCATE|[12]|Bytes:53
10:30:40.0 (5462163)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
10:30:40.0 (5467533)|STATEMENT_EXECUTE|[1]
