60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:33:00.0 (244007)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
10:33:00.0 (332529)|EXECUTION_STARTED
10:33:00.0 (343899)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
10:33:00.0 (1351305)|HEAP_ALLOCATE|[95]|Bytes:3
10:33:00.0 (1504469)|HEAP_ALLOCATE|[100]|Bytes:152
10:33:00.0 (1533020)|HEAP_ALLOCATE|[417]|Bytes:408
10:33:00.0 (1558321)|HEAP_ALLOCATE|[430]|Bytes:408
10:33:00.0 (1608072)|HEAP_ALLOCATE|[317]|Bytes:6
10:33:00.0 (1642403)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
10:33:00.0 (1649723)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
10:33:00.0 (1653063)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
10:33:00.0 (1665314)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
10:33:00.0 (1674174)|STATEMENT_EXECUTE|[1]
10:33:00.0 (1681814)|STATEMENT_EXECUTE|[1]
10:33:00.0 (1715065)|HEAP_ALLOCATE|[68]|Bytes:5
10:33:00.0 (1741876)|HEAP_ALLOCATE|[74]|Bytes:5
10:33:00.0 (1750706)|HEAP_ALLOCATE|[82]|Bytes:7
10:33:00.0 (1762496)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:33:00.0 (1774176)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
10:33:00.0 (1779567)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:33:00.0 (1787887)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
10:33:00.0 (1794107)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
10:33:00.0 (1798867)|STATEMENT_EXECUTE|[15]
10:33:00.0 (1809177)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
10:33:00.0 (1813287)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:33:00.0 (1865919)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:33:00.0 (1874529)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
10:33:00.0 (1950991)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x6e8a75e7"}|0x199da1ee
10:33:00.0 (1956641)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
10:33:00.0 (2110955)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pO1QZAA0","jobId":"707e200000pO9SeAAK"}|0x1984c5c3
10:33:00.0 (2118385)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
10:33:00.0 (2418873)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0012t00000Fw3JfAAJ","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000Fw3JfAAJ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000075YEjAAM","Opportunity":{"StageName":"Closed Lost","Id":"006e20000075YEjAAM"},"CreatedDate":"2025-10-14T06:54:13.000Z","Id":"801e200000983elAAA","RMD_ECC_Order_ID__c":"6691269605"}]|0x65eb1d61
