60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:30:26.0 (265367)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
10:30:26.0 (361289)|EXECUTION_STARTED
10:30:26.0 (376029)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
10:30:26.0 (946803)|HEAP_ALLOCATE|[95]|Bytes:3
10:30:26.0 (1086037)|HEAP_ALLOCATE|[100]|Bytes:152
10:30:26.0 (1112336)|HEAP_ALLOCATE|[417]|Bytes:408
10:30:26.0 (1127748)|HEAP_ALLOCATE|[430]|Bytes:408
10:30:26.0 (1152748)|HEAP_ALLOCATE|[317]|Bytes:6
10:30:26.0 (1177329)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
10:30:26.0 (1182489)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
10:30:26.0 (1186159)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
10:30:26.0 (1196839)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
10:30:26.0 (1203630)|STATEMENT_EXECUTE|[1]
10:30:26.0 (1209870)|STATEMENT_EXECUTE|[1]
10:30:26.0 (1242281)|HEAP_ALLOCATE|[68]|Bytes:5
10:30:26.0 (1269001)|HEAP_ALLOCATE|[74]|Bytes:5
10:30:26.0 (1277471)|HEAP_ALLOCATE|[82]|Bytes:7
10:30:26.0 (1288602)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:30:26.0 (1305392)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
10:30:26.0 (1311122)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:30:26.0 (1320682)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
10:30:26.0 (1327302)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
10:30:26.0 (1330733)|STATEMENT_EXECUTE|[15]
10:30:26.0 (1339773)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
10:30:26.0 (1345673)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:30:26.0 (1391394)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:30:26.0 (1404094)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
10:30:26.0 (1487166)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x642f4903"}|0x2acddf82
10:30:26.0 (1493577)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
10:30:26.0 (1674441)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pO1QZAA0","jobId":"707e200000pO9SeAAK"}|0x32c60f70
10:30:26.0 (1681241)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
10:30:26.0 (1999349)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0012t00000YT1u8AAD","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000YT1u8AAD","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000071jiEAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e20000071jiEAAQ"},"CreatedDate":"2025-10-13T12:18:49.000Z","Id":"801e20000094jasAAA","RMD_ECC_Order_ID__c":"6691263023"}]|0x6b928771
10:30:26.0 (2025430)|HEAP_ALLOCATE|[17]|Bytes:5
10:30:26.0 (2031510)|STATEMENT_EXECUTE|[16]
10:30:26.0 (2033999)|STATEMENT_EXECUTE|[17]
10:30:26.0 (2038300)|HEAP_ALLOCATE|[17]|Bytes:18
10:30:26.0 (2109321)|HEAP_ALLOCATE|[17]|Bytes:1
10:30:26.0 (2132432)|HEAP_ALLOCATE|[17]|Bytes:19
10:30:26.0 (2167933)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
10:30:26.0 (2179993)|STATEMENT_EXECUTE|[18]
10:30:26.0 (2201134)|HEAP_ALLOCATE|[18]|Bytes:4
10:30:26.0 (2263715)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x2acddf82
10:30:26.0 (2312206)|HEAP_ALLOCATE|[19]|Bytes:5
10:30:26.0 (2366338)|HEAP_ALLOCATE|[19]|Bytes:40
10:30:26.0 (2381348)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
10:30:26.0 (2509741)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"EXPIRED","Account":{"Id":"0012t00000YT1u8AAD","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000YT1u8AAD","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000071jiEAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e20000071jiEAAQ"},"CreatedDate":"2025-10-13T12:18:49.000Z","Id":"801e20000094jasAAA","RMD_ECC_Order_ID__c":"6691263023"}|0x2ac4d9b4
10:30:26.0 (2519222)|STATEMENT_EXECUTE|[19]
10:30:26.0 (2521611)|STATEMENT_EXECUTE|[20]
10:30:26.0 (2553451)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:30:26.0 (2571203)|HEAP_ALLOCATE|[19]|Bytes:5
10:30:26.0 (2585892)|VARIABLE_ASSIGNMENT|[19]|obj|null|
10:30:26.0 (2591683)|STATEMENT_EXECUTE|[23]
10:30:26.0 (2594993)|HEAP_ALLOCATE|[23]|Bytes:13
10:30:26.0 (2621394)|HEAP_ALLOCATE|[23]|Bytes:1
10:30:26.0 (2634184)|HEAP_ALLOCATE|[23]|Bytes:14
10:30:26.0 (2645115)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
10:30:26.0 (2653205)|STATEMENT_EXECUTE|[24]
10:30:26.0 (2676985)|HEAP_ALLOCATE|[24]|Bytes:20
10:30:26.0 (2695335)|HEAP_ALLOCATE|[24]|Bytes:33
10:30:26.0 (2710286)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e20000094jasAAA}
10:30:26.0 (2736696)|STATEMENT_EXECUTE|[25]
10:30:26.0 (2740067)|STATEMENT_EXECUTE|[26]
10:30:26.0 (2755347)|HEAP_ALLOCATE|[26]|Bytes:122
10:30:26.0 (2761416)|HEAP_ALLOCATE|[26]|Bytes:24
10:30:26.0 (2765158)|HEAP_ALLOCATE|[26]|Bytes:187
10:30:26.0 (2771998)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
10:30:26.0 (2776228)|STATEMENT_EXECUTE|[1]
10:30:26.0 (2821109)|STATEMENT_EXECUTE|[1]
10:30:26.0 (2828959)|HEAP_ALLOCATE|[26]|Bytes:5
10:30:26.0 (2834258)|STATEMENT_EXECUTE|[998]
10:30:26.0 (2836689)|STATEMENT_EXECUTE|[1015]
10:30:26.0 (2839119)|STATEMENT_EXECUTE|[1036]
10:30:26.0 (2849990)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
10:30:26.0 (2860270)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
10:30:26.0 (2866590)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
10:30:26.0 (2879270)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e20000094jasAAA"]|0x200f3593
10:30:26.0 (2889020)|HEAP_ALLOCATE|[59]|Bytes:5
10:30:26.0 (2893961)|STATEMENT_EXECUTE|[57]
10:30:26.0 (2896171)|STATEMENT_EXECUTE|[59]
10:30:26.0 (2900431)|HEAP_ALLOCATE|[59]|Bytes:27
10:30:26.0 (2936802)|HEAP_ALLOCATE|[59]|Bytes:96
10:30:26.0 (2943392)|HEAP_ALLOCATE|[59]|Bytes:69
10:30:26.0 (3008593)|HEAP_ALLOCATE|[59]|Bytes:33
10:30:26.0 (3017914)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
10:30:26.0 (3022314)|STATEMENT_EXECUTE|[1]
10:30:26.0 (3028694)|SYSTEM_METHOD_EXIT|[1]|Type
10:30:26.0 (3035554)|HEAP_ALLOCATE|[59]|Bytes:8
10:30:26.0 (3051815)|HEAP_ALLOCATE|[59]|Bytes:8
10:30:26.0 (3056645)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
10:30:26.0 (3075995)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x6ad74aae
10:30:26.0 (3080925)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
10:30:26.0 (3158077)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x4aa9e0f9
10:30:26.0 (5615366)|HEAP_ALLOCATE|[59]|Bytes:8
10:30:26.0 (5656988)|HEAP_ALLOCATE|[59]|Bytes:24
10:30:26.0 (5670447)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
10:30:26.0 (5676887)|STATEMENT_EXECUTE|[1]
10:30:26.0 (5688279)|SYSTEM_METHOD_EXIT|[1]|JSON
10:30:26.0 (5704408)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
10:30:26.0 (6200900)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
10:30:26.0 (6218082)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
10:30:26.0 (6267982)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x3f2825cd
10:30:26.0 (6279273)|HEAP_ALLOCATE|[60]|Bytes:9
10:30:26.0 (6318054)|STATEMENT_EXECUTE|[60]
10:30:26.0 (6322124)|STATEMENT_EXECUTE|[67]
10:30:26.0 (6324983)|STATEMENT_EXECUTE|[67]
10:30:26.0 (6328154)|STATEMENT_EXECUTE|[68]
10:30:26.0 (6381526)|HEAP_ALLOCATE|[68]|Bytes:4
10:30:26.0 (6426657)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
10:30:26.0 (6445826)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x25403e36
10:30:26.0 (6452847)|STATEMENT_EXECUTE|[70]
10:30:26.0 (6469018)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
10:30:26.0 (6475968)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
10:30:26.0 (6482088)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
10:30:26.0 (6489578)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
10:30:26.0 (6497128)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
10:30:26.0 (6504438)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
10:30:26.0 (6516569)|HEAP_ALLOCATE|[70]|Bytes:150
10:30:26.0 (6523428)|HEAP_ALLOCATE|[70]|Bytes:51
10:30:26.0 (6528899)|HEAP_ALLOCATE|[70]|Bytes:13
10:30:26.0 (6544319)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
10:30:26.0 (6551980)|HEAP_ALLOCATE|[70]|Bytes:7
10:30:26.0 (6561970)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
10:30:26.0 (6598611)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
10:30:26.0 (6605891)|STATEMENT_EXECUTE|[6]
10:30:26.0 (6612341)|STATEMENT_EXECUTE|[6]
10:30:26.0 (7359399)|SYSTEM_MODE_ENTER|false
10:30:26.0 (7373560)|HEAP_ALLOCATE|[7]|Bytes:5
10:30:26.0 (7380200)|STATEMENT_EXECUTE|[7]
10:30:26.0 (7384560)|HEAP_ALLOCATE|[7]|Bytes:12
10:30:26.0 (7424551)|HEAP_ALLOCATE|[7]|Bytes:68
10:30:26.0 (7446741)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
10:30:26.0 (7451131)|STATEMENT_EXECUTE|[9]
10:30:26.0 (7455752)|HEAP_ALLOCATE|[9]|Bytes:5
10:30:26.0 (7465931)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
10:30:26.0 (7470531)|STATEMENT_EXECUTE|[12]
10:30:26.0 (7483582)|HEAP_ALLOCATE|[12]|Bytes:53
10:30:26.0 (7492083)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
10:30:26.0 (7496383)|STATEMENT_EXECUTE|[1]
10:30:26.0 (7499823)|STATEMENT_EXECUTE|[1]
10:30:26.0 (7506343)|METHOD_EXIT|[1]|RMDSelectorUser
10:30:26.0 (7516852)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
10:30:26.0 (7523932)|STATEMENT_EXECUTE|[124]
10:30:26.0 (7526212)|STATEMENT_EXECUTE|[125]
10:30:26.0 (7529332)|HEAP_ALLOCATE|[125]|Bytes:99
10:30:26.0 (7547274)|HEAP_ALLOCATE|[125]|Bytes:4
10:30:26.0 (8158259)|SOQL_EXECUTE_BEGIN|[125]|Aggregations:0|SELECT id FROM User WHERE (name = 'Integration User' AND Profile.Name = 'Integration User') LIMIT 1
10:30:26.0 (15268692)|SOQL_EXECUTE_END|[125]|Rows:1
10:30:26.0 (15312362)|HEAP_ALLOCATE|[125]|Bytes:8
10:30:26.0 (15338693)|HEAP_ALLOCATE|[125]|Bytes:60
10:30:26.0 (15398975)|HEAP_ALLOCATE|[125]|Bytes:8
10:30:26.0 (15430924)|METHOD_EXIT|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
10:30:26.0 (15560259)|VARIABLE_ASSIGNMENT|[12]|RMDCommonHelper.integrationId|[{"ProfileId":"00e7F000000ZzhEQAS","Id":"0057F000004GzVlQAK"}]|0x4d3270af
10:30:26.0 (15576299)|SYSTEM_MODE_EXIT|false
10:30:26.0 (15597729)|METHOD_EXIT|[6]|RMDCommonHelper
10:30:26.0 (15611780)|METHOD_ENTRY|[70]|01p7F00000VLtZg|RMDCommonHelper.getOrgInstance()
10:30:26.0 (15629590)|SYSTEM_MODE_ENTER|false
10:30:26.0 (15644970)|HEAP_ALLOCATE|[446]|Bytes:5
10:30:26.0 (15651450)|STATEMENT_EXECUTE|[445]
10:30:26.0 (15653810)|STATEMENT_EXECUTE|[446]
10:30:26.0 (15678181)|HEAP_ALLOCATE|[446]|Bytes:16
10:30:26.0 (15688752)|METHOD_ENTRY|[1]|01p7F00000VLtaw|RMDSelectorCommon.RMDSelectorCommon()
10:30:26.0 (15694342)|STATEMENT_EXECUTE|[1]
10:30:26.0 (15698682)|STATEMENT_EXECUTE|[1]
10:30:26.0 (15702891)|METHOD_EXIT|[1]|RMDSelectorCommon
10:30:26.0 (15709922)|METHOD_ENTRY|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
10:30:26.0 (15715882)|VARIABLE_SCOPE_BEGIN|[3]|setOfAssignToName|Set<String>|true|false
10:30:26.0 (15725732)|VARIABLE_ASSIGNMENT|[3]|setOfAssignToName|null|
10:30:26.0 (15731083)|STATEMENT_EXECUTE|[3]
10:30:26.0 (15733343)|STATEMENT_EXECUTE|[4]
10:30:26.0 (15750433)|HEAP_ALLOCATE|[4]|Bytes:4
10:30:26.0 (15773093)|VARIABLE_SCOPE_BEGIN|[4]|listORG|List<Organization>|true|false
10:30:26.0 (15781644)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:30:26.0 (15794253)|VARIABLE_ASSIGNMENT|[4]|listORG|[]|0x4f46062f
10:30:26.0 (15801224)|STATEMENT_EXECUTE|[5]
10:30:26.0 (15806435)|HEAP_ALLOCATE|[5]|Bytes:42
10:30:26.0 (15824565)|HEAP_ALLOCATE|[5]|Bytes:4
10:30:26.0 (16102322)|SOQL_EXECUTE_BEGIN|[5]|Aggregations:0|SELECT IsSandbox FROM Organization LIMIT 1
10:30:26.0 (19778731)|SOQL_EXECUTE_END|[5]|Rows:1
10:30:26.0 (19828652)|HEAP_ALLOCATE|[5]|Bytes:8
10:30:26.0 (19857013)|HEAP_ALLOCATE|[5]|Bytes:46
10:30:26.0 (19943865)|HEAP_ALLOCATE|[5]|Bytes:8
10:30:26.0 (20085637)|VARIABLE_ASSIGNMENT|[5]|listORG|[{"IsSandbox":false,"Id":"00D7F000005CdiiUAC"}]|0x171b59bb
10:30:26.0 (20097449)|STATEMENT_EXECUTE|[7]
