60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:32:01.0 (158964)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
10:32:01.0 (253186)|EXECUTION_STARTED
10:32:01.0 (262777)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
10:32:01.0 (1009156)|HEAP_ALLOCATE|[95]|Bytes:3
10:32:01.0 (1090407)|HEAP_ALLOCATE|[100]|Bytes:152
10:32:01.0 (1182271)|HEAP_ALLOCATE|[417]|Bytes:408
10:32:01.0 (1202761)|HEAP_ALLOCATE|[430]|Bytes:408
10:32:01.0 (1229731)|HEAP_ALLOCATE|[317]|Bytes:6
10:32:01.0 (1252383)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
10:32:01.0 (1259393)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
10:32:01.0 (1262803)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
10:32:01.0 (1273183)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
10:32:01.0 (1278932)|STATEMENT_EXECUTE|[1]
10:32:01.0 (1284233)|STATEMENT_EXECUTE|[1]
10:32:01.0 (1314124)|HEAP_ALLOCATE|[68]|Bytes:5
10:32:01.0 (1339585)|HEAP_ALLOCATE|[74]|Bytes:5
10:32:01.0 (1349555)|HEAP_ALLOCATE|[82]|Bytes:7
10:32:01.0 (1360085)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:32:01.0 (1422277)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
10:32:01.0 (1430247)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:32:01.0 (1440307)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
10:32:01.0 (1446728)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
10:32:01.0 (1450568)|STATEMENT_EXECUTE|[15]
10:32:01.0 (1457628)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
10:32:01.0 (1461948)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:32:01.0 (1496069)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:32:01.0 (1502489)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
10:32:01.0 (1574700)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x6c7ab14f"}|0x199da1ee
10:32:01.0 (1580420)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
10:32:01.0 (1739464)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pO1QZAA0","jobId":"707e200000pO9SeAAK"}|0x1984c5c3
10:32:01.0 (1746525)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
10:32:01.0 (2040803)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001gBpgUQAS","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001gBpgUQAS","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000074wEJAAY","Opportunity":{"StageName":"Closed Lost","Id":"006e20000074wEJAAY"},"CreatedDate":"2025-10-14T06:51:56.000Z","Id":"801e20000097w0YAAQ","RMD_ECC_Order_ID__c":"6691269477"}]|0x3a809f80
10:32:01.0 (2063184)|HEAP_ALLOCATE|[17]|Bytes:5
10:32:01.0 (2068564)|STATEMENT_EXECUTE|[16]
10:32:01.0 (2070873)|STATEMENT_EXECUTE|[17]
10:32:01.0 (2074774)|HEAP_ALLOCATE|[17]|Bytes:18
10:32:01.0 (2130554)|HEAP_ALLOCATE|[17]|Bytes:1
10:32:01.0 (2148035)|HEAP_ALLOCATE|[17]|Bytes:19
10:32:01.0 (2173246)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
10:32:01.0 (2184196)|STATEMENT_EXECUTE|[18]
10:32:01.0 (2198356)|HEAP_ALLOCATE|[18]|Bytes:4
10:32:01.0 (2242757)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x199da1ee
10:32:01.0 (2277838)|HEAP_ALLOCATE|[19]|Bytes:5
10:32:01.0 (2315740)|HEAP_ALLOCATE|[19]|Bytes:40
10:32:01.0 (2328820)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
10:32:01.0 (2484064)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001gBpgUQAS","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001gBpgUQAS","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000074wEJAAY","Opportunity":{"StageName":"Closed Lost","Id":"006e20000074wEJAAY"},"CreatedDate":"2025-10-14T06:51:56.000Z","Id":"801e20000097w0YAAQ","RMD_ECC_Order_ID__c":"6691269477"}|0x4030b29c
10:32:01.0 (2495915)|STATEMENT_EXECUTE|[19]
10:32:01.0 (2498305)|STATEMENT_EXECUTE|[20]
10:32:01.0 (2526756)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:32:01.0 (2546896)|HEAP_ALLOCATE|[19]|Bytes:5
10:32:01.0 (2561885)|VARIABLE_ASSIGNMENT|[19]|obj|null|
10:32:01.0 (2566806)|STATEMENT_EXECUTE|[23]
10:32:01.0 (2569917)|HEAP_ALLOCATE|[23]|Bytes:13
10:32:01.0 (2595277)|HEAP_ALLOCATE|[23]|Bytes:1
10:32:01.0 (2607958)|HEAP_ALLOCATE|[23]|Bytes:14
10:32:01.0 (2618967)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
10:32:01.0 (2627038)|STATEMENT_EXECUTE|[24]
10:32:01.0 (2644309)|HEAP_ALLOCATE|[24]|Bytes:20
10:32:01.0 (2655829)|HEAP_ALLOCATE|[24]|Bytes:33
10:32:01.0 (2665399)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e20000097w0YAAQ}
10:32:01.0 (2683769)|STATEMENT_EXECUTE|[25]
10:32:01.0 (2686310)|STATEMENT_EXECUTE|[26]
10:32:01.0 (2697489)|HEAP_ALLOCATE|[26]|Bytes:122
10:32:01.0 (2702100)|HEAP_ALLOCATE|[26]|Bytes:24
10:32:01.0 (2705460)|HEAP_ALLOCATE|[26]|Bytes:187
10:32:01.0 (2712680)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
10:32:01.0 (2717360)|STATEMENT_EXECUTE|[1]
10:32:01.0 (2720941)|STATEMENT_EXECUTE|[1]
10:32:01.0 (2726561)|HEAP_ALLOCATE|[26]|Bytes:5
10:32:01.0 (2730581)|STATEMENT_EXECUTE|[998]
10:32:01.0 (2732961)|STATEMENT_EXECUTE|[1015]
10:32:01.0 (2735301)|STATEMENT_EXECUTE|[1036]
10:32:01.0 (2741591)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
10:32:01.0 (2749241)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
10:32:01.0 (2755231)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
10:32:01.0 (2766651)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e20000097w0YAAQ"]|0x3983c118
10:32:01.0 (2774762)|HEAP_ALLOCATE|[59]|Bytes:5
10:32:01.0 (2779851)|STATEMENT_EXECUTE|[57]
10:32:01.0 (2782171)|STATEMENT_EXECUTE|[59]
10:32:01.0 (2785792)|HEAP_ALLOCATE|[59]|Bytes:27
10:32:01.0 (2818163)|HEAP_ALLOCATE|[59]|Bytes:96
10:32:01.0 (2825412)|HEAP_ALLOCATE|[59]|Bytes:69
10:32:01.0 (2881705)|HEAP_ALLOCATE|[59]|Bytes:33
10:32:01.0 (2890185)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
10:32:01.0 (2894285)|STATEMENT_EXECUTE|[1]
10:32:01.0 (2901254)|SYSTEM_METHOD_EXIT|[1]|Type
10:32:01.0 (2906665)|HEAP_ALLOCATE|[59]|Bytes:8
10:32:01.0 (2920866)|HEAP_ALLOCATE|[59]|Bytes:8
10:32:01.0 (2925546)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
10:32:01.0 (2943346)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x4082f390
10:32:01.0 (2948095)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
