60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:32:08.0 (256236)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
10:32:08.0 (352199)|EXECUTION_STARTED
10:32:08.0 (363579)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
10:32:08.0 (1278273)|HEAP_ALLOCATE|[95]|Bytes:3
10:32:08.0 (1367615)|HEAP_ALLOCATE|[100]|Bytes:152
10:32:08.0 (1396166)|HEAP_ALLOCATE|[417]|Bytes:408
10:32:08.0 (1424847)|HEAP_ALLOCATE|[430]|Bytes:408
10:32:08.0 (1459247)|HEAP_ALLOCATE|[317]|Bytes:6
10:32:08.0 (1491368)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
10:32:08.0 (1497948)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
10:32:08.0 (1501609)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
10:32:08.0 (1531559)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
10:32:08.0 (1540100)|STATEMENT_EXECUTE|[1]
10:32:08.0 (1549390)|STATEMENT_EXECUTE|[1]
10:32:08.0 (1583991)|HEAP_ALLOCATE|[68]|Bytes:5
10:32:08.0 (1614801)|HEAP_ALLOCATE|[74]|Bytes:5
10:32:08.0 (1624852)|HEAP_ALLOCATE|[82]|Bytes:7
10:32:08.0 (1636452)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:32:08.0 (1653042)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
10:32:08.0 (1658403)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:32:08.0 (1667173)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
10:32:08.0 (1673953)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
10:32:08.0 (1677343)|STATEMENT_EXECUTE|[15]
10:32:08.0 (1686973)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
10:32:08.0 (1691143)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:32:08.0 (1727804)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:32:08.0 (1735835)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
10:32:08.0 (1846348)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x3983c118"}|0x199da1ee
10:32:08.0 (1852228)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
10:32:08.0 (2051923)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pO1QZAA0","jobId":"707e200000pO9SeAAK"}|0x1984c5c3
10:32:08.0 (2060363)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
10:32:08.0 (2390912)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0012t00000RD3QdAAL","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000RD3QdAAL","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000074o8iAAA","Opportunity":{"StageName":"Closed Lost","Id":"006e20000074o8iAAA"},"CreatedDate":"2025-10-14T06:56:59.000Z","Id":"801e20000097werAAA","RMD_ECC_Order_ID__c":"6691271085"}]|0x2bc15f24
10:32:08.0 (2412592)|HEAP_ALLOCATE|[17]|Bytes:5
10:32:08.0 (2418962)|STATEMENT_EXECUTE|[16]
10:32:08.0 (2421462)|STATEMENT_EXECUTE|[17]
10:32:08.0 (2425253)|HEAP_ALLOCATE|[17]|Bytes:18
10:32:08.0 (2483244)|HEAP_ALLOCATE|[17]|Bytes:1
10:32:08.0 (2501545)|HEAP_ALLOCATE|[17]|Bytes:19
10:32:08.0 (2527665)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
10:32:08.0 (2538906)|STATEMENT_EXECUTE|[18]
10:32:08.0 (2553306)|HEAP_ALLOCATE|[18]|Bytes:4
10:32:08.0 (2622028)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x199da1ee
10:32:08.0 (2662799)|HEAP_ALLOCATE|[19]|Bytes:5
10:32:08.0 (2715570)|HEAP_ALLOCATE|[19]|Bytes:40
10:32:08.0 (2729690)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
10:32:08.0 (2857564)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0012t00000RD3QdAAL","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000RD3QdAAL","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000074o8iAAA","Opportunity":{"StageName":"Closed Lost","Id":"006e20000074o8iAAA"},"CreatedDate":"2025-10-14T06:56:59.000Z","Id":"801e20000097werAAA","RMD_ECC_Order_ID__c":"6691271085"}|0x1dc95b97
10:32:08.0 (2868404)|STATEMENT_EXECUTE|[19]
10:32:08.0 (2870634)|STATEMENT_EXECUTE|[20]
10:32:08.0 (2911275)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:32:08.0 (2929626)|HEAP_ALLOCATE|[19]|Bytes:5
10:32:08.0 (2943406)|VARIABLE_ASSIGNMENT|[19]|obj|null|
10:32:08.0 (2949276)|STATEMENT_EXECUTE|[23]
10:32:08.0 (2952986)|HEAP_ALLOCATE|[23]|Bytes:13
10:32:08.0 (2981067)|HEAP_ALLOCATE|[23]|Bytes:1
10:32:08.0 (2994247)|HEAP_ALLOCATE|[23]|Bytes:14
10:32:08.0 (3005098)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
10:32:08.0 (3013758)|STATEMENT_EXECUTE|[24]
10:32:08.0 (3035898)|HEAP_ALLOCATE|[24]|Bytes:20
10:32:08.0 (3049269)|HEAP_ALLOCATE|[24]|Bytes:33
10:32:08.0 (3064949)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e20000097werAAA}
10:32:08.0 (3088470)|STATEMENT_EXECUTE|[25]
10:32:08.0 (3091270)|STATEMENT_EXECUTE|[26]
10:32:08.0 (3101660)|HEAP_ALLOCATE|[26]|Bytes:122
10:32:08.0 (3106560)|HEAP_ALLOCATE|[26]|Bytes:24
10:32:08.0 (3110070)|HEAP_ALLOCATE|[26]|Bytes:187
10:32:08.0 (3116981)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
10:32:08.0 (3121581)|STATEMENT_EXECUTE|[1]
10:32:08.0 (3124981)|STATEMENT_EXECUTE|[1]
10:32:08.0 (3131941)|HEAP_ALLOCATE|[26]|Bytes:5
10:32:08.0 (3136131)|STATEMENT_EXECUTE|[998]
10:32:08.0 (3138511)|STATEMENT_EXECUTE|[1015]
10:32:08.0 (3140741)|STATEMENT_EXECUTE|[1036]
10:32:08.0 (3147621)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
10:32:08.0 (3156002)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
10:32:08.0 (3162712)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
10:32:08.0 (3173452)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e20000097werAAA"]|0x5e1f27c3
10:32:08.0 (3182222)|HEAP_ALLOCATE|[59]|Bytes:5
10:32:08.0 (3187032)|STATEMENT_EXECUTE|[57]
10:32:08.0 (3189282)|STATEMENT_EXECUTE|[59]
10:32:08.0 (3193223)|HEAP_ALLOCATE|[59]|Bytes:27
10:32:08.0 (3230573)|HEAP_ALLOCATE|[59]|Bytes:96
10:32:08.0 (3237094)|HEAP_ALLOCATE|[59]|Bytes:69
10:32:08.0 (3332866)|HEAP_ALLOCATE|[59]|Bytes:33
10:32:08.0 (3342936)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
10:32:08.0 (3346887)|STATEMENT_EXECUTE|[1]
10:32:08.0 (3353367)|SYSTEM_METHOD_EXIT|[1]|Type
10:32:08.0 (3359557)|HEAP_ALLOCATE|[59]|Bytes:8
10:32:08.0 (3381077)|HEAP_ALLOCATE|[59]|Bytes:8
10:32:08.0 (3386498)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
10:32:08.0 (3406628)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x5452571f
10:32:08.0 (3411728)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
10:32:08.0 (3473550)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x7b29daee
10:32:08.0 (5192014)|HEAP_ALLOCATE|[59]|Bytes:8
10:32:08.0 (5209955)|HEAP_ALLOCATE|[59]|Bytes:24
10:32:08.0 (5218145)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
10:32:08.0 (5222205)|STATEMENT_EXECUTE|[1]
10:32:08.0 (5227465)|SYSTEM_METHOD_EXIT|[1]|JSON
10:32:08.0 (5236296)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
10:32:08.0 (5894003)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
10:32:08.0 (5913793)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
10:32:08.0 (5998395)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x1ea0aefa
10:32:08.0 (6013396)|HEAP_ALLOCATE|[60]|Bytes:9
10:32:08.0 (6053517)|STATEMENT_EXECUTE|[60]
10:32:08.0 (6056857)|STATEMENT_EXECUTE|[67]
10:32:08.0 (6059287)|STATEMENT_EXECUTE|[67]
10:32:08.0 (6062047)|STATEMENT_EXECUTE|[68]
10:32:08.0 (6121649)|HEAP_ALLOCATE|[68]|Bytes:4
10:32:08.0 (6179130)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
10:32:08.0 (6216111)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x183eccde
