60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:32:30.0 (224086)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
10:32:30.0 (316097)|EXECUTION_STARTED
10:32:30.0 (329569)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
10:32:30.0 (1173099)|HEAP_ALLOCATE|[95]|Bytes:3
10:32:30.0 (1282702)|HEAP_ALLOCATE|[100]|Bytes:152
10:32:30.0 (1318893)|HEAP_ALLOCATE|[417]|Bytes:408
10:32:30.0 (1350964)|HEAP_ALLOCATE|[430]|Bytes:408
10:32:30.0 (1388615)|HEAP_ALLOCATE|[317]|Bytes:6
10:32:30.0 (1415557)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
10:32:30.0 (1423416)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
10:32:30.0 (1428246)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
10:32:30.0 (1440926)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
10:32:30.0 (1448237)|STATEMENT_EXECUTE|[1]
10:32:30.0 (1456267)|STATEMENT_EXECUTE|[1]
10:32:30.0 (1494759)|HEAP_ALLOCATE|[68]|Bytes:5
10:32:30.0 (1525999)|HEAP_ALLOCATE|[74]|Bytes:5
10:32:30.0 (1538749)|HEAP_ALLOCATE|[82]|Bytes:7
10:32:30.0 (1553409)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:32:30.0 (1567860)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
10:32:30.0 (1574121)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:32:30.0 (1584650)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
10:32:30.0 (1593380)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
10:32:30.0 (1598180)|STATEMENT_EXECUTE|[15]
10:32:30.0 (1608482)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
10:32:30.0 (1614171)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:32:30.0 (1649912)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:32:30.0 (1658572)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
10:32:30.0 (1756544)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x172220ca"}|0x199da1ee
10:32:30.0 (1766006)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
10:32:30.0 (1966300)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pO1QZAA0","jobId":"707e200000pO9SeAAK"}|0x1984c5c3
10:32:30.0 (1975460)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
10:32:30.0 (2336929)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0012t00000A0ad2AAB","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000A0ad2AAB","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000074lxCAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e20000074lxCAAQ"},"CreatedDate":"2025-10-14T07:13:26.000Z","Coupon_Type__c":"P","Id":"801e20000097xr1AAA","RMD_ECC_Order_ID__c":"6691271513"}]|0x6277ee98
10:32:30.0 (2367010)|HEAP_ALLOCATE|[17]|Bytes:5
10:32:30.0 (2374680)|STATEMENT_EXECUTE|[16]
10:32:30.0 (2378022)|STATEMENT_EXECUTE|[17]
10:32:30.0 (2382451)|HEAP_ALLOCATE|[17]|Bytes:18
10:32:30.0 (2449082)|HEAP_ALLOCATE|[17]|Bytes:1
10:32:30.0 (2470824)|HEAP_ALLOCATE|[17]|Bytes:19
10:32:30.0 (2503674)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
10:32:30.0 (2517174)|STATEMENT_EXECUTE|[18]
10:32:30.0 (2535226)|HEAP_ALLOCATE|[18]|Bytes:4
10:32:30.0 (2636677)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x199da1ee
10:32:30.0 (2687299)|HEAP_ALLOCATE|[19]|Bytes:5
10:32:30.0 (2746500)|HEAP_ALLOCATE|[19]|Bytes:44
10:32:30.0 (2768272)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
10:32:30.0 (2952065)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"EXPIRED","Account":{"Id":"0012t00000A0ad2AAB","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000A0ad2AAB","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000074lxCAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e20000074lxCAAQ"},"CreatedDate":"2025-10-14T07:13:26.000Z","Coupon_Type__c":"P","Id":"801e20000097xr1AAA","RMD_ECC_Order_ID__c":"6691271513"}|0x21150e75
10:32:30.0 (2966256)|STATEMENT_EXECUTE|[19]
10:32:30.0 (2969366)|STATEMENT_EXECUTE|[20]
10:32:30.0 (3004817)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:32:30.0 (3027558)|HEAP_ALLOCATE|[19]|Bytes:5
10:32:30.0 (3046058)|VARIABLE_ASSIGNMENT|[19]|obj|null|
10:32:30.0 (3053559)|STATEMENT_EXECUTE|[23]
10:32:30.0 (3057588)|HEAP_ALLOCATE|[23]|Bytes:13
10:32:30.0 (3089069)|HEAP_ALLOCATE|[23]|Bytes:1
10:32:30.0 (3105249)|HEAP_ALLOCATE|[23]|Bytes:14
10:32:30.0 (3119170)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
10:32:30.0 (3130180)|STATEMENT_EXECUTE|[24]
10:32:30.0 (3151351)|HEAP_ALLOCATE|[24]|Bytes:20
10:32:30.0 (3166581)|HEAP_ALLOCATE|[24]|Bytes:33
10:32:30.0 (3179101)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e20000097xr1AAA}
10:32:30.0 (3203552)|STATEMENT_EXECUTE|[25]
10:32:30.0 (3206982)|STATEMENT_EXECUTE|[26]
10:32:30.0 (3220982)|HEAP_ALLOCATE|[26]|Bytes:122
10:32:30.0 (3227323)|HEAP_ALLOCATE|[26]|Bytes:24
10:32:30.0 (3232164)|HEAP_ALLOCATE|[26]|Bytes:187
10:32:30.0 (3242233)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
10:32:30.0 (3247764)|STATEMENT_EXECUTE|[1]
10:32:30.0 (3252463)|STATEMENT_EXECUTE|[1]
10:32:30.0 (3259724)|HEAP_ALLOCATE|[26]|Bytes:5
10:32:30.0 (3265213)|STATEMENT_EXECUTE|[998]
10:32:30.0 (3268744)|STATEMENT_EXECUTE|[1015]
10:32:30.0 (3272274)|STATEMENT_EXECUTE|[1036]
10:32:30.0 (3281374)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
10:32:30.0 (3291454)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
10:32:30.0 (3299514)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
10:32:30.0 (3313775)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e20000097xr1AAA"]|0x3f26b9f2
10:32:30.0 (3326155)|HEAP_ALLOCATE|[59]|Bytes:5
10:32:30.0 (3333545)|STATEMENT_EXECUTE|[57]
10:32:30.0 (3336635)|STATEMENT_EXECUTE|[59]
10:32:30.0 (3341775)|HEAP_ALLOCATE|[59]|Bytes:27
10:32:30.0 (3385587)|HEAP_ALLOCATE|[59]|Bytes:96
10:32:30.0 (3393997)|HEAP_ALLOCATE|[59]|Bytes:69
10:32:30.0 (3466709)|HEAP_ALLOCATE|[59]|Bytes:33
10:32:30.0 (3478279)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
10:32:30.0 (3483399)|STATEMENT_EXECUTE|[1]
10:32:30.0 (3491319)|SYSTEM_METHOD_EXIT|[1]|Type
10:32:30.0 (3498220)|HEAP_ALLOCATE|[59]|Bytes:8
10:32:30.0 (3515760)|HEAP_ALLOCATE|[59]|Bytes:8
10:32:30.0 (3521740)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
10:32:30.0 (3544001)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x26e72247
10:32:30.0 (3551071)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
10:32:30.0 (3609293)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x7b29daee
10:32:30.0 (6185099)|HEAP_ALLOCATE|[59]|Bytes:8
10:32:30.0 (6215721)|HEAP_ALLOCATE|[59]|Bytes:24
10:32:30.0 (6227361)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
10:32:30.0 (6232900)|STATEMENT_EXECUTE|[1]
10:32:30.0 (6240650)|SYSTEM_METHOD_EXIT|[1]|JSON
10:32:30.0 (6252471)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
10:32:30.0 (6751324)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
10:32:30.0 (6764554)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
10:32:30.0 (6808345)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x1665bae9
10:32:30.0 (6816965)|HEAP_ALLOCATE|[60]|Bytes:9
10:32:30.0 (6847937)|STATEMENT_EXECUTE|[60]
10:32:30.0 (6850916)|STATEMENT_EXECUTE|[67]
10:32:30.0 (6853457)|STATEMENT_EXECUTE|[67]
10:32:30.0 (6856017)|STATEMENT_EXECUTE|[68]
10:32:30.0 (6910148)|HEAP_ALLOCATE|[68]|Bytes:4
10:32:30.0 (6952060)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
10:32:30.0 (6967799)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x90f4778
10:32:30.0 (6973669)|STATEMENT_EXECUTE|[70]
10:32:30.0 (6990270)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
10:32:30.0 (6997050)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
10:32:30.0 (7003030)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
10:32:30.0 (7010750)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
10:32:30.0 (7017062)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
10:32:30.0 (7023161)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
10:32:30.0 (7034511)|HEAP_ALLOCATE|[70]|Bytes:150
10:32:30.0 (7040371)|HEAP_ALLOCATE|[70]|Bytes:51
10:32:30.0 (7045502)|HEAP_ALLOCATE|[70]|Bytes:13
10:32:30.0 (7058063)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
10:32:30.0 (7063432)|HEAP_ALLOCATE|[70]|Bytes:7
10:32:30.0 (7071322)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
10:32:30.0 (7120443)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
10:32:30.0 (7126363)|STATEMENT_EXECUTE|[6]
10:32:30.0 (7130473)|STATEMENT_EXECUTE|[6]
10:32:30.0 (8294384)|SYSTEM_MODE_ENTER|false
10:32:30.0 (8309415)|HEAP_ALLOCATE|[7]|Bytes:5
10:32:30.0 (8317284)|STATEMENT_EXECUTE|[7]
10:32:30.0 (8322644)|HEAP_ALLOCATE|[7]|Bytes:12
10:32:30.0 (8360595)|HEAP_ALLOCATE|[7]|Bytes:68
10:32:30.0 (8384466)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
10:32:30.0 (8389217)|STATEMENT_EXECUTE|[9]
10:32:30.0 (8395066)|HEAP_ALLOCATE|[9]|Bytes:5
10:32:30.0 (8403766)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
10:32:30.0 (8408307)|STATEMENT_EXECUTE|[12]
10:32:30.0 (8419747)|HEAP_ALLOCATE|[12]|Bytes:53
10:32:30.0 (8429327)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
10:32:30.0 (8434107)|STATEMENT_EXECUTE|[1]
10:32:30.0 (8438227)|STATEMENT_EXECUTE|[1]
10:32:30.0 (8443037)|METHOD_EXIT|[1]|RMDSelectorUser
10:32:30.0 (8451368)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
10:32:30.0 (8458078)|STATEMENT_EXECUTE|[124]
10:32:30.0 (8481848)|STATEMENT_EXECUTE|[125]
