60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:16:47.0 (154554)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:16:47.0 (177774)|EXECUTION_STARTED
16:16:47.0 (185335)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:16:47.0 (667918)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:16:47.0 (715100)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:16:47.0 (720389)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:16:47.0 (734470)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:16:47.0 (740200)|STATEMENT_EXECUTE|[1]
16:16:47.0 (747861)|STATEMENT_EXECUTE|[1]
16:16:47.0 (772131)|HEAP_ALLOCATE|[68]|Bytes:5
16:16:47.0 (811652)|HEAP_ALLOCATE|[74]|Bytes:5
16:16:47.0 (822663)|HEAP_ALLOCATE|[82]|Bytes:7
16:16:47.0 (993397)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:16:47.0 (1008297)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:16:47.0 (1014909)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:47.0 (1019088)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:16:47.0 (1040509)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:47.0 (1062079)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:16:47.0 (1125661)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x7e060395"}|0x6d2c5afd
16:16:47.0 (1131841)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:16:47.0 (1247734)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pSh8AAAS","jobId":"707e200000pSo4aAAC"}|0x3a4ca8d9
16:16:47.0 (1254704)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:16:47.0 (1990336)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0017F00001b8XIwQAM","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b8XIwQAM","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mVppAAE","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mVppAAE"},"CreatedDate":"2025-09-26T05:37:31.000Z","Coupon_Type__c":"P","Id":"801e2000007iwlzAAA","RMD_ECC_Order_ID__c":"6691193555"}]|0x4070d8b6
16:16:47.0 (2010555)|HEAP_ALLOCATE|[17]|Bytes:5
16:16:47.0 (2016465)|STATEMENT_EXECUTE|[16]
16:16:47.0 (2018936)|STATEMENT_EXECUTE|[17]
16:16:47.0 (2022326)|HEAP_ALLOCATE|[17]|Bytes:18
16:16:47.0 (2142129)|HEAP_ALLOCATE|[17]|Bytes:1
16:16:47.0 (2162249)|HEAP_ALLOCATE|[17]|Bytes:19
16:16:47.0 (2193930)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:16:47.0 (2203511)|STATEMENT_EXECUTE|[18]
16:16:47.0 (2214191)|HEAP_ALLOCATE|[18]|Bytes:4
16:16:47.0 (2308374)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x6d2c5afd
16:16:47.0 (2448308)|HEAP_ALLOCATE|[19]|Bytes:5
16:16:47.0 (2494059)|HEAP_ALLOCATE|[19]|Bytes:44
16:16:47.0 (2507550)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:16:47.0 (2637623)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"EXPIRED","Account":{"Id":"0017F00001b8XIwQAM","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b8XIwQAM","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mVppAAE","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mVppAAE"},"CreatedDate":"2025-09-26T05:37:31.000Z","Coupon_Type__c":"P","Id":"801e2000007iwlzAAA","RMD_ECC_Order_ID__c":"6691193555"}|0x5abf3a80
16:16:47.0 (2648714)|STATEMENT_EXECUTE|[19]
16:16:47.0 (2650983)|STATEMENT_EXECUTE|[20]
16:16:47.0 (2712215)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:16:47.0 (2731905)|HEAP_ALLOCATE|[19]|Bytes:5
16:16:47.0 (2747886)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:16:47.0 (2753966)|STATEMENT_EXECUTE|[23]
16:16:47.0 (2756886)|HEAP_ALLOCATE|[23]|Bytes:13
16:16:47.0 (2786198)|HEAP_ALLOCATE|[23]|Bytes:1
16:16:47.0 (2799438)|HEAP_ALLOCATE|[23]|Bytes:14
16:16:47.0 (2809647)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:16:47.0 (2817458)|STATEMENT_EXECUTE|[24]
16:16:47.0 (2862249)|HEAP_ALLOCATE|[24]|Bytes:20
16:16:47.0 (2876329)|HEAP_ALLOCATE|[24]|Bytes:33
16:16:47.0 (2885210)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007iwlzAAA}
16:16:47.0 (2909930)|STATEMENT_EXECUTE|[25]
16:16:47.0 (2912230)|STATEMENT_EXECUTE|[26]
16:16:47.0 (2989592)|HEAP_ALLOCATE|[26]|Bytes:122
16:16:47.0 (2995933)|HEAP_ALLOCATE|[26]|Bytes:24
16:16:47.0 (2999613)|HEAP_ALLOCATE|[26]|Bytes:187
16:16:47.0 (3007204)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:16:47.0 (3011644)|STATEMENT_EXECUTE|[1]
16:16:47.0 (3015644)|STATEMENT_EXECUTE|[1]
16:16:47.0 (3021633)|HEAP_ALLOCATE|[26]|Bytes:5
16:16:47.0 (3025943)|STATEMENT_EXECUTE|[998]
16:16:47.0 (3028205)|STATEMENT_EXECUTE|[1015]
16:16:47.0 (3030445)|STATEMENT_EXECUTE|[1036]
16:16:47.0 (3037134)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:16:47.0 (3051794)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:16:47.0 (3063485)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:16:47.0 (3074835)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007iwlzAAA"]|0x6745934e
16:16:47.0 (3083475)|HEAP_ALLOCATE|[59]|Bytes:5
16:16:47.0 (3088715)|STATEMENT_EXECUTE|[57]
16:16:47.0 (3091135)|STATEMENT_EXECUTE|[59]
16:16:47.0 (3094855)|HEAP_ALLOCATE|[59]|Bytes:27
16:16:47.0 (6824919)|HEAP_ALLOCATE|[59]|Bytes:96
16:16:47.0 (6846990)|HEAP_ALLOCATE|[59]|Bytes:69
16:16:47.0 (6983083)|HEAP_ALLOCATE|[59]|Bytes:33
16:16:47.0 (6997843)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:16:47.0 (7003144)|STATEMENT_EXECUTE|[1]
16:16:47.0 (7015684)|SYSTEM_METHOD_EXIT|[1]|Type
16:16:47.0 (7023744)|HEAP_ALLOCATE|[59]|Bytes:8
16:16:47.0 (7044685)|HEAP_ALLOCATE|[59]|Bytes:8
16:16:47.0 (7049785)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:16:47.0 (7081837)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x2219d6d1
16:16:47.0 (7088286)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:16:47.0 (7151898)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x43a0f88
16:16:47.0 (8838954)|HEAP_ALLOCATE|[59]|Bytes:8
16:16:47.0 (8885076)|HEAP_ALLOCATE|[59]|Bytes:24
16:16:47.0 (8893876)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:16:47.0 (8897896)|STATEMENT_EXECUTE|[1]
16:16:47.0 (8904336)|SYSTEM_METHOD_EXIT|[1]|JSON
16:16:47.0 (8917797)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:16:47.0 (9268676)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:16:47.0 (9279178)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:16:47.0 (9321268)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x935b0db
16:16:47.0 (9328488)|HEAP_ALLOCATE|[60]|Bytes:9
16:16:47.0 (9367849)|STATEMENT_EXECUTE|[60]
16:16:47.0 (9371149)|STATEMENT_EXECUTE|[67]
16:16:47.0 (9373199)|STATEMENT_EXECUTE|[67]
16:16:47.0 (9375389)|STATEMENT_EXECUTE|[68]
16:16:47.0 (9518544)|HEAP_ALLOCATE|[68]|Bytes:4
16:16:47.0 (9623566)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:16:47.0 (9638467)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x2606a906
16:16:47.0 (9644548)|STATEMENT_EXECUTE|[70]
16:16:47.0 (9769540)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:16:47.0 (9777640)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:16:47.0 (9783090)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:16:47.0 (9789291)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:16:47.0 (9794531)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:16:47.0 (9799701)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:16:47.0 (9809761)|HEAP_ALLOCATE|[70]|Bytes:150
16:16:47.0 (9816941)|HEAP_ALLOCATE|[70]|Bytes:51
16:16:47.0 (9821273)|HEAP_ALLOCATE|[70]|Bytes:13
16:16:47.0 (9842762)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:16:47.0 (9847722)|HEAP_ALLOCATE|[70]|Bytes:7
16:16:47.0 (9855092)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:16:47.0 (9923024)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
16:16:47.0 (9928405)|STATEMENT_EXECUTE|[6]
16:16:47.0 (9931985)|STATEMENT_EXECUTE|[6]
16:16:47.0 (10646895)|SYSTEM_MODE_ENTER|false
16:16:47.0 (10659765)|HEAP_ALLOCATE|[7]|Bytes:5
16:16:47.0 (10666096)|STATEMENT_EXECUTE|[7]
16:16:47.0 (10670155)|HEAP_ALLOCATE|[7]|Bytes:12
16:16:47.0 (10705666)|HEAP_ALLOCATE|[7]|Bytes:68
16:16:47.0 (10724738)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
16:16:47.0 (10730007)|STATEMENT_EXECUTE|[9]
16:16:47.0 (10734687)|HEAP_ALLOCATE|[9]|Bytes:5
16:16:47.0 (10743727)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
16:16:47.0 (10747858)|STATEMENT_EXECUTE|[12]
16:16:47.0 (10810220)|HEAP_ALLOCATE|[12]|Bytes:53
16:16:47.0 (10825860)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
16:16:47.0 (10829729)|STATEMENT_EXECUTE|[1]
16:16:47.0 (10833480)|STATEMENT_EXECUTE|[1]
16:16:47.0 (10838450)|METHOD_EXIT|[1]|RMDSelectorUser
16:16:47.0 (10847850)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:16:47.0 (10864110)|STATEMENT_EXECUTE|[124]
16:16:47.0 (10866470)|STATEMENT_EXECUTE|[125]
16:16:47.0 (10869342)|HEAP_ALLOCATE|[125]|Bytes:99
16:16:47.0 (10886351)|HEAP_ALLOCATE|[125]|Bytes:4
16:16:47.0 (14083111)|SOQL_EXECUTE_BEGIN|[125]|Aggregations:0|SELECT id FROM User WHERE (name = 'Integration User' AND Profile.Name = 'Integration User') LIMIT 1
16:16:47.0 (21419314)|SOQL_EXECUTE_END|[125]|Rows:1
16:16:47.0 (21466774)|HEAP_ALLOCATE|[125]|Bytes:8
16:16:47.0 (21487636)|HEAP_ALLOCATE|[125]|Bytes:60
16:16:47.0 (21545496)|HEAP_ALLOCATE|[125]|Bytes:8
16:16:47.0 (21569937)|METHOD_EXIT|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:16:47.0 (21738912)|VARIABLE_ASSIGNMENT|[12]|RMDCommonHelper.integrationId|[{"ProfileId":"00e7F000000ZzhEQAS","Id":"0057F000004GzVlQAK"}]|0xeafd41c
16:16:47.0 (21759352)|SYSTEM_MODE_EXIT|false
16:16:47.0 (21890976)|METHOD_EXIT|[6]|RMDCommonHelper
16:16:47.0 (21907306)|METHOD_ENTRY|[70]|01p7F00000VLtZg|RMDCommonHelper.getOrgInstance()
16:16:47.0 (21940237)|SYSTEM_MODE_ENTER|false
16:16:47.0 (21955889)|HEAP_ALLOCATE|[446]|Bytes:5
16:16:47.0 (21961308)|STATEMENT_EXECUTE|[445]
16:16:47.0 (21963828)|STATEMENT_EXECUTE|[446]
16:16:47.0 (22124262)|HEAP_ALLOCATE|[446]|Bytes:16
16:16:47.0 (22142403)|METHOD_ENTRY|[1]|01p7F00000VLtaw|RMDSelectorCommon.RMDSelectorCommon()
16:16:47.0 (22147054)|STATEMENT_EXECUTE|[1]
