44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:16:59.0 (170344)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:16:59.0 (215565)|EXECUTION_STARTED
16:16:59.0 (224325)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:16:59.0 (1541300)|HEAP_ALLOCATE|[95]|Bytes:3
16:16:59.0 (1648293)|HEAP_ALLOCATE|[100]|Bytes:152
16:16:59.0 (1664644)|HEAP_ALLOCATE|[417]|Bytes:408
16:16:59.0 (1680124)|HEAP_ALLOCATE|[430]|Bytes:408
16:16:59.0 (1704175)|HEAP_ALLOCATE|[317]|Bytes:6
16:16:59.0 (1729445)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:16:59.0 (1734655)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:16:59.0 (1738115)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:16:59.0 (1747646)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:16:59.0 (1752866)|STATEMENT_EXECUTE|[1]
16:16:59.0 (1758656)|STATEMENT_EXECUTE|[1]
16:16:59.0 (1784937)|HEAP_ALLOCATE|[68]|Bytes:5
16:16:59.0 (1811997)|HEAP_ALLOCATE|[74]|Bytes:5
16:16:59.0 (1824038)|HEAP_ALLOCATE|[82]|Bytes:7
16:16:59.0 (1835328)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:16:59.0 (1846658)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:16:59.0 (1852028)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:59.0 (1861499)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:16:59.0 (1867809)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:16:59.0 (1871189)|STATEMENT_EXECUTE|[15]
