60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:15:52.0 (193124)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:15:52.0 (229525)|EXECUTION_STARTED
16:15:52.0 (239505)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:15:52.0 (1059443)|HEAP_ALLOCATE|[95]|Bytes:3
16:15:52.0 (1160655)|HEAP_ALLOCATE|[100]|Bytes:152
16:15:52.0 (1180886)|HEAP_ALLOCATE|[417]|Bytes:408
16:15:52.0 (1201446)|HEAP_ALLOCATE|[430]|Bytes:408
16:15:52.0 (1252427)|HEAP_ALLOCATE|[317]|Bytes:6
16:15:52.0 (1283848)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:15:52.0 (1290339)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:15:52.0 (1293819)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:15:52.0 (1304819)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:15:52.0 (1311820)|STATEMENT_EXECUTE|[1]
16:15:52.0 (1317769)|STATEMENT_EXECUTE|[1]
16:15:52.0 (1351269)|HEAP_ALLOCATE|[68]|Bytes:5
16:15:52.0 (1398670)|HEAP_ALLOCATE|[74]|Bytes:5
16:15:52.0 (1442471)|HEAP_ALLOCATE|[82]|Bytes:7
16:15:52.0 (1462522)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:15:52.0 (1479042)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:15:52.0 (1486652)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:15:52.0 (1500424)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:15:52.0 (1508504)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:15:52.0 (1511873)|STATEMENT_EXECUTE|[15]
16:15:52.0 (1519253)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:15:52.0 (1523013)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:15:52.0 (1563665)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:15:52.0 (1570694)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:15:52.0 (1664036)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x3135a41d"}|0x7f2676de
16:15:52.0 (1673286)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:15:52.0 (1849700)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pSh8AAAS","jobId":"707e200000pSo4aAAC"}|0x316715b1
16:15:52.0 (1855860)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:15:52.0 (2186897)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001b8owjQAA","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b8owjQAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005m7FgAAI","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005m7FgAAI"},"CreatedDate":"2025-09-26T06:05:30.000Z","Id":"801e2000007ii4dAAA","RMD_ECC_Order_ID__c":"6691194095"}]|0x5e29457b
