44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:16:42.0 (192174)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:16:42.0 (255816)|EXECUTION_STARTED
16:16:42.0 (265086)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:16:42.0 (1461157)|HEAP_ALLOCATE|[95]|Bytes:3
16:16:42.0 (1545829)|HEAP_ALLOCATE|[100]|Bytes:152
16:16:42.0 (1560320)|HEAP_ALLOCATE|[417]|Bytes:408
16:16:42.0 (1574530)|HEAP_ALLOCATE|[430]|Bytes:408
16:16:42.0 (1595761)|HEAP_ALLOCATE|[317]|Bytes:6
16:16:42.0 (1619621)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:16:42.0 (1624681)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:16:42.0 (1628522)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:16:42.0 (1639292)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:16:42.0 (1644242)|STATEMENT_EXECUTE|[1]
16:16:42.0 (1649172)|STATEMENT_EXECUTE|[1]
16:16:42.0 (1672693)|HEAP_ALLOCATE|[68]|Bytes:5
16:16:42.0 (1696553)|HEAP_ALLOCATE|[74]|Bytes:5
16:16:42.0 (1707304)|HEAP_ALLOCATE|[82]|Bytes:7
16:16:42.0 (1717404)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:16:42.0 (1728144)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:16:42.0 (1733994)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:42.0 (1742975)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:16:42.0 (1750555)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:16:42.0 (1753885)|STATEMENT_EXECUTE|[15]
16:16:42.0 (1759805)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:16:42.0 (1763665)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:16:42.0 (1783146)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:42.0 (1788936)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:16:42.0 (1861138)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x54990863"}|0x3400399d
16:16:42.0 (1867948)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:16:42.0 (2031622)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000pRbviAAC","jobId":"707e200000pSHMtAAO"}|0x5239cac4
16:16:42.0 (2038872)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:16:42.0 (2567497)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-22T09:49:08.000Z","Account":{"Id":"001e200000PouruAAB","RMD_Sync_with_SAP__c":true},"Id":"801e200000PuSjRAAV","AccountId":"001e200000PouruAAB"}]|0x5ccc68e2
16:16:42.0 (2584766)|HEAP_ALLOCATE|[20]|Bytes:5
16:16:42.0 (2590006)|STATEMENT_EXECUTE|[19]
16:16:42.0 (2592297)|STATEMENT_EXECUTE|[20]
