60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:15:36.0 (266766)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:15:36.0 (312137)|EXECUTION_STARTED
16:15:36.0 (319957)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:15:36.0 (1062673)|HEAP_ALLOCATE|[95]|Bytes:3
16:15:36.0 (1145666)|HEAP_ALLOCATE|[100]|Bytes:152
16:15:36.0 (1163995)|HEAP_ALLOCATE|[417]|Bytes:408
16:15:36.0 (1186186)|HEAP_ALLOCATE|[430]|Bytes:408
16:15:36.0 (1211567)|HEAP_ALLOCATE|[317]|Bytes:6
16:15:36.0 (1234657)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:15:36.0 (1240988)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:15:36.0 (1244388)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:15:36.0 (1253237)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:15:36.0 (1258588)|STATEMENT_EXECUTE|[1]
16:15:36.0 (1263548)|STATEMENT_EXECUTE|[1]
16:15:36.0 (1296449)|HEAP_ALLOCATE|[68]|Bytes:5
16:15:36.0 (1322798)|HEAP_ALLOCATE|[74]|Bytes:5
16:15:36.0 (1332740)|HEAP_ALLOCATE|[82]|Bytes:7
16:15:36.0 (1343879)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:15:36.0 (1355490)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:15:36.0 (1360679)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:15:36.0 (1370039)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:15:36.0 (1376581)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:15:36.0 (1380101)|STATEMENT_EXECUTE|[15]
