60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:16:59.0 (202186)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:16:59.0 (263987)|EXECUTION_STARTED
16:16:59.0 (273897)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:16:59.0 (930096)|HEAP_ALLOCATE|[95]|Bytes:3
16:16:59.0 (1082040)|HEAP_ALLOCATE|[100]|Bytes:152
16:16:59.0 (1108951)|HEAP_ALLOCATE|[417]|Bytes:408
16:16:59.0 (1150842)|HEAP_ALLOCATE|[430]|Bytes:408
16:16:59.0 (1197103)|HEAP_ALLOCATE|[317]|Bytes:6
16:16:59.0 (1234044)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:16:59.0 (1242834)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:16:59.0 (1247794)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:16:59.0 (1260975)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:16:59.0 (1269165)|STATEMENT_EXECUTE|[1]
16:16:59.0 (1277965)|STATEMENT_EXECUTE|[1]
16:16:59.0 (1314026)|HEAP_ALLOCATE|[68]|Bytes:5
16:16:59.0 (1355997)|HEAP_ALLOCATE|[74]|Bytes:5
16:16:59.0 (1368488)|HEAP_ALLOCATE|[82]|Bytes:7
16:16:59.0 (1385968)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:16:59.0 (1403899)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:16:59.0 (1412969)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:59.0 (1426019)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:16:59.0 (1436310)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:16:59.0 (1441140)|STATEMENT_EXECUTE|[15]
16:16:59.0 (1451040)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:16:59.0 (1456610)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:16:59.0 (1504022)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:59.0 (1512922)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:16:59.0 (1615615)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x6745934e"}|0x6d2c5afd
16:16:59.0 (1623605)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:16:59.0 (1803510)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pSh8AAAS","jobId":"707e200000pSo4aAAC"}|0x3a4ca8d9
16:16:59.0 (1811140)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:16:59.0 (2082398)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"0017F00001b9JRTQA2","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b9JRTQA2","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mFzdAAE","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mFzdAAE"},"CreatedDate":"2025-09-26T05:41:50.000Z","Id":"801e2000007iwyzAAA","RMD_ECC_Order_ID__c":"6691193647"}]|0x51c953a8
16:16:59.0 (2107938)|HEAP_ALLOCATE|[17]|Bytes:5
16:16:59.0 (2113568)|STATEMENT_EXECUTE|[16]
16:16:59.0 (2115929)|STATEMENT_EXECUTE|[17]
16:16:59.0 (2119539)|HEAP_ALLOCATE|[17]|Bytes:18
16:16:59.0 (2195051)|HEAP_ALLOCATE|[17]|Bytes:1
16:16:59.0 (2218101)|HEAP_ALLOCATE|[17]|Bytes:19
16:16:59.0 (2251292)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:16:59.0 (2264383)|STATEMENT_EXECUTE|[18]
16:16:59.0 (2281873)|HEAP_ALLOCATE|[18]|Bytes:4
16:16:59.0 (2343265)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x6d2c5afd
16:16:59.0 (2392286)|HEAP_ALLOCATE|[19]|Bytes:5
16:16:59.0 (2445068)|HEAP_ALLOCATE|[19]|Bytes:40
16:16:59.0 (2462108)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:16:59.0 (2625183)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"0017F00001b9JRTQA2","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b9JRTQA2","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mFzdAAE","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mFzdAAE"},"CreatedDate":"2025-09-26T05:41:50.000Z","Id":"801e2000007iwyzAAA","RMD_ECC_Order_ID__c":"6691193647"}|0x508314de
16:16:59.0 (2637913)|STATEMENT_EXECUTE|[19]
16:16:59.0 (2640633)|STATEMENT_EXECUTE|[20]
16:16:59.0 (2672414)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:16:59.0 (2697275)|HEAP_ALLOCATE|[19]|Bytes:5
16:16:59.0 (2716415)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:16:59.0 (2723295)|STATEMENT_EXECUTE|[23]
16:16:59.0 (2727776)|HEAP_ALLOCATE|[23]|Bytes:13
16:16:59.0 (2760106)|HEAP_ALLOCATE|[23]|Bytes:1
16:16:59.0 (2777797)|HEAP_ALLOCATE|[23]|Bytes:14
16:16:59.0 (2793137)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:16:59.0 (2803588)|STATEMENT_EXECUTE|[24]
16:16:59.0 (2825918)|HEAP_ALLOCATE|[24]|Bytes:20
16:16:59.0 (2843139)|HEAP_ALLOCATE|[24]|Bytes:33
16:16:59.0 (2855769)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007iwyzAAA}
16:16:59.0 (2879410)|STATEMENT_EXECUTE|[25]
16:16:59.0 (2882370)|STATEMENT_EXECUTE|[26]
16:16:59.0 (2896600)|HEAP_ALLOCATE|[26]|Bytes:122
16:16:59.0 (2904340)|HEAP_ALLOCATE|[26]|Bytes:24
16:16:59.0 (2910331)|HEAP_ALLOCATE|[26]|Bytes:187
16:16:59.0 (2921991)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:16:59.0 (2928031)|STATEMENT_EXECUTE|[1]
16:16:59.0 (2933101)|STATEMENT_EXECUTE|[1]
16:16:59.0 (2941792)|HEAP_ALLOCATE|[26]|Bytes:5
16:16:59.0 (2948222)|STATEMENT_EXECUTE|[998]
16:16:59.0 (2951992)|STATEMENT_EXECUTE|[1015]
16:16:59.0 (2955562)|STATEMENT_EXECUTE|[1036]
16:16:59.0 (2965982)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:16:59.0 (2978613)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:16:59.0 (2995113)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:16:59.0 (3012723)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007iwyzAAA"]|0x7080bfe7
16:16:59.0 (3025384)|HEAP_ALLOCATE|[59]|Bytes:5
16:16:59.0 (3032144)|STATEMENT_EXECUTE|[57]
16:16:59.0 (3035334)|STATEMENT_EXECUTE|[59]
16:16:59.0 (3040094)|HEAP_ALLOCATE|[59]|Bytes:27
16:16:59.0 (3086516)|HEAP_ALLOCATE|[59]|Bytes:96
16:16:59.0 (3096696)|HEAP_ALLOCATE|[59]|Bytes:69
16:16:59.0 (3202739)|HEAP_ALLOCATE|[59]|Bytes:33
16:16:59.0 (3215859)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:16:59.0 (3219639)|STATEMENT_EXECUTE|[1]
16:16:59.0 (3227399)|SYSTEM_METHOD_EXIT|[1]|Type
16:16:59.0 (3233950)|HEAP_ALLOCATE|[59]|Bytes:8
16:16:59.0 (3250560)|HEAP_ALLOCATE|[59]|Bytes:8
16:16:59.0 (3255350)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:16:59.0 (3283631)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x467d7d28
16:16:59.0 (3291881)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:16:59.0 (3367843)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x43a0f88
16:16:59.0 (4677750)|HEAP_ALLOCATE|[59]|Bytes:8
16:16:59.0 (4701220)|HEAP_ALLOCATE|[59]|Bytes:24
16:16:59.0 (4712031)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:16:59.0 (4717911)|STATEMENT_EXECUTE|[1]
16:16:59.0 (4726281)|SYSTEM_METHOD_EXIT|[1]|JSON
16:16:59.0 (4739981)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:16:59.0 (5298127)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:16:59.0 (5316567)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:16:59.0 (5354868)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x37edf030
16:16:59.0 (5362409)|HEAP_ALLOCATE|[60]|Bytes:9
16:16:59.0 (5391900)|STATEMENT_EXECUTE|[60]
16:16:59.0 (5394830)|STATEMENT_EXECUTE|[67]
16:16:59.0 (5396880)|STATEMENT_EXECUTE|[67]
16:16:59.0 (5398960)|STATEMENT_EXECUTE|[68]
16:16:59.0 (5442021)|HEAP_ALLOCATE|[68]|Bytes:4
16:16:59.0 (5480172)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:16:59.0 (5493122)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x1ad45fd8
16:16:59.0 (5497832)|STATEMENT_EXECUTE|[70]
16:16:59.0 (5517233)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:16:59.0 (5523663)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:16:59.0 (5530053)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:16:59.0 (5536764)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:16:59.0 (5548484)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:16:59.0 (5553984)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:16:59.0 (5563034)|HEAP_ALLOCATE|[70]|Bytes:150
16:16:59.0 (5569104)|HEAP_ALLOCATE|[70]|Bytes:51
16:16:59.0 (5573295)|HEAP_ALLOCATE|[70]|Bytes:13
16:16:59.0 (5583055)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:16:59.0 (5588025)|HEAP_ALLOCATE|[70]|Bytes:7
16:16:59.0 (5595075)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:16:59.0 (5641016)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
16:16:59.0 (5647257)|STATEMENT_EXECUTE|[6]
16:16:59.0 (5651087)|STATEMENT_EXECUTE|[6]
16:16:59.0 (6345256)|SYSTEM_MODE_ENTER|false
16:16:59.0 (6364566)|HEAP_ALLOCATE|[7]|Bytes:5
16:16:59.0 (6375097)|STATEMENT_EXECUTE|[7]
16:16:59.0 (6381777)|HEAP_ALLOCATE|[7]|Bytes:12
16:16:59.0 (6490810)|HEAP_ALLOCATE|[7]|Bytes:68
16:16:59.0 (6524081)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
16:16:59.0 (6532501)|STATEMENT_EXECUTE|[9]
16:16:59.0 (6540811)|HEAP_ALLOCATE|[9]|Bytes:5
16:16:59.0 (6555592)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
16:16:59.0 (6562162)|STATEMENT_EXECUTE|[12]
16:16:59.0 (6579352)|HEAP_ALLOCATE|[12]|Bytes:53
16:16:59.0 (6593233)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
16:16:59.0 (6600143)|STATEMENT_EXECUTE|[1]
16:16:59.0 (6605403)|STATEMENT_EXECUTE|[1]
16:16:59.0 (6614003)|METHOD_EXIT|[1]|RMDSelectorUser
16:16:59.0 (6627954)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:16:59.0 (6639234)|STATEMENT_EXECUTE|[124]
16:16:59.0 (6642794)|STATEMENT_EXECUTE|[125]
16:16:59.0 (6647804)|HEAP_ALLOCATE|[125]|Bytes:99
16:16:59.0 (6676735)|HEAP_ALLOCATE|[125]|Bytes:4
16:16:59.0 (7471707)|SOQL_EXECUTE_BEGIN|[125]|Aggregations:0|SELECT id FROM User WHERE (name = 'Integration User' AND Profile.Name = 'Integration User') LIMIT 1
16:16:59.0 (14856132)|SOQL_EXECUTE_END|[125]|Rows:1
16:16:59.0 (14895083)|HEAP_ALLOCATE|[125]|Bytes:8
16:16:59.0 (14918143)|HEAP_ALLOCATE|[125]|Bytes:60
16:16:59.0 (14977935)|HEAP_ALLOCATE|[125]|Bytes:8
16:16:59.0 (15008056)|METHOD_EXIT|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:16:59.0 (15120929)|VARIABLE_ASSIGNMENT|[12]|RMDCommonHelper.integrationId|[{"ProfileId":"00e7F000000ZzhEQAS","Id":"0057F000004GzVlQAK"}]|0x5c6f600b
16:16:59.0 (15133369)|SYSTEM_MODE_EXIT|false
16:16:59.0 (15152250)|METHOD_EXIT|[6]|RMDCommonHelper
16:16:59.0 (15165640)|METHOD_ENTRY|[70]|01p7F00000VLtZg|RMDCommonHelper.getOrgInstance()
16:16:59.0 (15211192)|SYSTEM_MODE_ENTER|false
16:16:59.0 (15227532)|HEAP_ALLOCATE|[446]|Bytes:5
16:16:59.0 (15232662)|STATEMENT_EXECUTE|[445]
16:16:59.0 (15235172)|STATEMENT_EXECUTE|[446]
16:16:59.0 (15261643)|HEAP_ALLOCATE|[446]|Bytes:16
16:16:59.0 (15272993)|METHOD_ENTRY|[1]|01p7F00000VLtaw|RMDSelectorCommon.RMDSelectorCommon()
16:16:59.0 (15277453)|STATEMENT_EXECUTE|[1]
16:16:59.0 (15281573)|STATEMENT_EXECUTE|[1]
16:16:59.0 (15285554)|METHOD_EXIT|[1]|RMDSelectorCommon
16:16:59.0 (15293534)|METHOD_ENTRY|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
16:16:59.0 (15299104)|VARIABLE_SCOPE_BEGIN|[3]|setOfAssignToName|Set<String>|true|false
16:16:59.0 (15309914)|VARIABLE_ASSIGNMENT|[3]|setOfAssignToName|null|
16:16:59.0 (15314434)|STATEMENT_EXECUTE|[3]
16:16:59.0 (15316694)|STATEMENT_EXECUTE|[4]
16:16:59.0 (15332975)|HEAP_ALLOCATE|[4]|Bytes:4
16:16:59.0 (15353865)|VARIABLE_SCOPE_BEGIN|[4]|listORG|List<Organization>|true|false
16:16:59.0 (15364286)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:16:59.0 (15373046)|VARIABLE_ASSIGNMENT|[4]|listORG|[]|0x642c9a9a
16:16:59.0 (15377716)|STATEMENT_EXECUTE|[5]
16:16:59.0 (15381946)|HEAP_ALLOCATE|[5]|Bytes:42
16:16:59.0 (15396417)|HEAP_ALLOCATE|[5]|Bytes:4
16:16:59.0 (15591362)|SOQL_EXECUTE_BEGIN|[5]|Aggregations:0|SELECT IsSandbox FROM Organization LIMIT 1
16:16:59.0 (18073621)|SOQL_EXECUTE_END|[5]|Rows:1
16:16:59.0 (18106892)|HEAP_ALLOCATE|[5]|Bytes:8
16:16:59.0 (18126562)|HEAP_ALLOCATE|[5]|Bytes:46
16:16:59.0 (18176114)|HEAP_ALLOCATE|[5]|Bytes:8
16:16:59.0 (18259716)|VARIABLE_ASSIGNMENT|[5]|listORG|[{"IsSandbox":false,"Id":"00D7F000005CdiiUAC"}]|0x3506c6bb
16:16:59.0 (18267196)|STATEMENT_EXECUTE|[7]
16:16:59.0 (18281277)|METHOD_EXIT|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
16:16:59.0 (18293027)|VARIABLE_SCOPE_BEGIN|[446]|listOfOrg|List<Organization>|true|false
16:16:59.0 (18335918)|VARIABLE_ASSIGNMENT|[446]|listOfOrg|[{"IsSandbox":false,"Id":"00D7F000005CdiiUAC"}]|0x3506c6bb
16:16:59.0 (18345178)|STATEMENT_EXECUTE|[450]
16:16:59.0 (18355379)|VARIABLE_SCOPE_BEGIN|[450]|IsSandbox|Boolean|false|false
16:16:59.0 (18377529)|HEAP_ALLOCATE|[450]|Bytes:5
16:16:59.0 (18386560)|VARIABLE_ASSIGNMENT|[450]|IsSandbox|false
16:16:59.0 (18431521)|STATEMENT_EXECUTE|[451]
16:16:59.0 (18433891)|STATEMENT_EXECUTE|[452]
16:16:59.0 (18478102)|HEAP_ALLOCATE|[452]|Bytes:12
16:16:59.0 (18502823)|VARIABLE_ASSIGNMENT|[452]|IsSandbox|false
16:16:59.0 (18507873)|STATEMENT_EXECUTE|[454]
16:16:59.0 (18515103)|SYSTEM_MODE_EXIT|false
16:16:59.0 (18526733)|METHOD_EXIT|[70]|01p7F00000VLtZg|RMDCommonHelper.getOrgInstance()
16:16:59.0 (18533924)|VARIABLE_SCOPE_BEGIN|[70]|IsSandbox|Boolean|false|false
16:16:59.0 (18542024)|VARIABLE_ASSIGNMENT|[70]|IsSandbox|false
16:16:59.0 (18547424)|STATEMENT_EXECUTE|[74]
16:16:59.0 (18549874)|STATEMENT_EXECUTE|[75]
16:16:59.0 (18555574)|HEAP_ALLOCATE|[75]|Bytes:9
16:16:59.0 (18560794)|HEAP_ALLOCATE|[75]|Bytes:10
16:16:59.0 (18564844)|HEAP_ALLOCATE|[75]|Bytes:9
16:16:59.0 (18577965)|METHOD_ENTRY|[75]|01p7F00000VLtZg|RMDCommonHelper.getIntegrationConfig(String, String, String)
16:16:59.0 (18585615)|VARIABLE_SCOPE_BEGIN|[461]|vendor|String|false|false
16:16:59.0 (18594215)|VARIABLE_ASSIGNMENT|[461]|vendor|"SFDCTOSAP"
16:16:59.0 (18597525)|VARIABLE_SCOPE_BEGIN|[461]|instance|String|false|false
16:16:59.0 (18604306)|VARIABLE_ASSIGNMENT|[461]|instance|"PRODUCTION"
16:16:59.0 (18607846)|VARIABLE_SCOPE_BEGIN|[461]|requestType|String|false|false
16:16:59.0 (18615836)|VARIABLE_ASSIGNMENT|[461]|requestType|"ORDERSYNC"
16:16:59.0 (18627256)|SYSTEM_MODE_ENTER|false
16:16:59.0 (18633046)|HEAP_ALLOCATE|[462]|Bytes:5
16:16:59.0 (18637366)|STATEMENT_EXECUTE|[461]
16:16:59.0 (18639717)|STATEMENT_EXECUTE|[462]
16:16:59.0 (18642677)|HEAP_ALLOCATE|[462]|Bytes:1
