44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:16:14.0 (176595)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:16:14.0 (218836)|EXECUTION_STARTED
16:16:14.0 (228316)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:16:14.0 (1561872)|HEAP_ALLOCATE|[95]|Bytes:3
16:16:14.0 (1651923)|HEAP_ALLOCATE|[100]|Bytes:152
16:16:14.0 (1668984)|HEAP_ALLOCATE|[417]|Bytes:408
16:16:14.0 (1684315)|HEAP_ALLOCATE|[430]|Bytes:408
16:16:14.0 (1708565)|HEAP_ALLOCATE|[317]|Bytes:6
16:16:14.0 (1733326)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:16:14.0 (1738456)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:16:14.0 (1741856)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:16:14.0 (1750167)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:16:14.0 (1756137)|STATEMENT_EXECUTE|[1]
16:16:14.0 (1761517)|STATEMENT_EXECUTE|[1]
16:16:14.0 (1790888)|HEAP_ALLOCATE|[68]|Bytes:5
16:16:14.0 (1817888)|HEAP_ALLOCATE|[74]|Bytes:5
16:16:14.0 (1827949)|HEAP_ALLOCATE|[82]|Bytes:7
16:16:14.0 (1840869)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:16:14.0 (1852339)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:16:14.0 (1857989)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:14.0 (1866070)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:16:14.0 (1872060)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:16:14.0 (1875160)|STATEMENT_EXECUTE|[15]
16:16:14.0 (1882930)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:16:14.0 (1886940)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:16:14.0 (1916311)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:14.0 (1922961)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:16:14.0 (1987063)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x2a64ee80"}|0x3400399d
16:16:14.0 (1993723)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:16:14.0 (2135836)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000pRbviAAC","jobId":"707e200000pSHMtAAO"}|0x5239cac4
16:16:14.0 (2144327)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:16:14.0 (2531617)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-22T09:58:27.000Z","Account":{"Id":"0012t00000P32fsAAB","RMD_Sync_with_SAP__c":true},"Id":"801e200000PtrN7AAJ","AccountId":"0012t00000P32fsAAB"}]|0x1c0ee4
16:16:14.0 (2551807)|HEAP_ALLOCATE|[20]|Bytes:5
16:16:14.0 (2556897)|STATEMENT_EXECUTE|[19]
16:16:14.0 (2559047)|STATEMENT_EXECUTE|[20]
16:16:14.0 (2562327)|HEAP_ALLOCATE|[20]|Bytes:18
16:16:14.0 (2616289)|HEAP_ALLOCATE|[20]|Bytes:1
16:16:14.0 (2633709)|HEAP_ALLOCATE|[20]|Bytes:19
16:16:14.0 (2658530)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:16:14.0 (2668900)|STATEMENT_EXECUTE|[21]
16:16:14.0 (2684061)|HEAP_ALLOCATE|[21]|Bytes:4
16:16:14.0 (2743702)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x3400399d
16:16:14.0 (2779573)|HEAP_ALLOCATE|[22]|Bytes:5
16:16:14.0 (2821574)|HEAP_ALLOCATE|[22]|Bytes:20
16:16:14.0 (2835244)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:16:14.0 (2902976)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-22T09:58:27.000Z","Account":{"Id":"0012t00000P32fsAAB","RMD_Sync_with_SAP__c":true},"Id":"801e200000PtrN7AAJ","AccountId":"0012t00000P32fsAAB"}|0x360e514b
16:16:14.0 (2910287)|STATEMENT_EXECUTE|[22]
16:16:14.0 (2912527)|STATEMENT_EXECUTE|[23]
16:16:14.0 (2938477)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:16:14.0 (2956218)|HEAP_ALLOCATE|[22]|Bytes:5
16:16:14.0 (2969138)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:16:14.0 (2975038)|STATEMENT_EXECUTE|[26]
