44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:16:00.0 (194515)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:16:00.0 (244606)|EXECUTION_STARTED
16:16:00.0 (257338)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:16:00.0 (1466809)|HEAP_ALLOCATE|[95]|Bytes:3
16:16:00.0 (1562781)|HEAP_ALLOCATE|[100]|Bytes:152
16:16:00.0 (1580292)|HEAP_ALLOCATE|[417]|Bytes:408
16:16:00.0 (1596072)|HEAP_ALLOCATE|[430]|Bytes:408
16:16:00.0 (1653213)|HEAP_ALLOCATE|[317]|Bytes:6
16:16:00.0 (1690574)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:16:00.0 (1695684)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:16:00.0 (1698975)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:16:00.0 (1709075)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:16:00.0 (1714524)|STATEMENT_EXECUTE|[1]
16:16:00.0 (1721415)|STATEMENT_EXECUTE|[1]
16:16:00.0 (1754416)|HEAP_ALLOCATE|[68]|Bytes:5
16:16:00.0 (1781677)|HEAP_ALLOCATE|[74]|Bytes:5
16:16:00.0 (1792657)|HEAP_ALLOCATE|[82]|Bytes:7
16:16:00.0 (1804647)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:16:00.0 (1816458)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:16:00.0 (1823688)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:00.0 (1832888)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:16:00.0 (1839368)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:16:00.0 (1843018)|STATEMENT_EXECUTE|[15]
16:16:00.0 (1848789)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:16:00.0 (1852509)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:16:00.0 (1885659)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:00.0 (1891390)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:16:00.0 (1957691)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x4fb691da"}|0x3400399d
16:16:00.0 (1964281)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:16:00.0 (2130016)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000pRbviAAC","jobId":"707e200000pSHMtAAO"}|0x5239cac4
16:16:00.0 (2137356)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:16:00.0 (2705021)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-22T09:53:39.000Z","Account":{"Id":"0012t00000Eqh4sAAB","RMD_Sync_with_SAP__c":true},"Id":"801e200000Ptgd3AAB","AccountId":"0012t00000Eqh4sAAB"}]|0x2eeef557
16:16:00.0 (2730831)|HEAP_ALLOCATE|[20]|Bytes:5
16:16:00.0 (2761552)|STATEMENT_EXECUTE|[19]
16:16:00.0 (2764872)|STATEMENT_EXECUTE|[20]
16:16:00.0 (2768482)|HEAP_ALLOCATE|[20]|Bytes:18
16:16:00.0 (2851784)|HEAP_ALLOCATE|[20]|Bytes:1
16:16:00.0 (2871275)|HEAP_ALLOCATE|[20]|Bytes:19
16:16:00.0 (2896155)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:16:00.0 (2905866)|STATEMENT_EXECUTE|[21]
16:16:00.0 (2922156)|HEAP_ALLOCATE|[21]|Bytes:4
16:16:00.0 (2980929)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x3400399d
16:16:00.0 (3016199)|HEAP_ALLOCATE|[22]|Bytes:5
16:16:00.0 (3062230)|HEAP_ALLOCATE|[22]|Bytes:20
16:16:00.0 (3074931)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:16:00.0 (3165773)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-22T09:53:39.000Z","Account":{"Id":"0012t00000Eqh4sAAB","RMD_Sync_with_SAP__c":true},"Id":"801e200000Ptgd3AAB","AccountId":"0012t00000Eqh4sAAB"}|0x5ecdacbd
16:16:00.0 (3173803)|STATEMENT_EXECUTE|[22]
16:16:00.0 (3176283)|STATEMENT_EXECUTE|[23]
16:16:00.0 (3201513)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:16:00.0 (3220364)|HEAP_ALLOCATE|[22]|Bytes:5
16:16:00.0 (3233844)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:16:00.0 (3239624)|STATEMENT_EXECUTE|[26]
16:16:00.0 (3242695)|HEAP_ALLOCATE|[26]|Bytes:13
16:16:00.0 (3264395)|HEAP_ALLOCATE|[26]|Bytes:1
16:16:00.0 (3276475)|HEAP_ALLOCATE|[26]|Bytes:14
16:16:00.0 (3288026)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
16:16:00.0 (3297486)|STATEMENT_EXECUTE|[27]
16:16:00.0 (3322606)|HEAP_ALLOCATE|[27]|Bytes:20
16:16:00.0 (3334397)|HEAP_ALLOCATE|[27]|Bytes:33
16:16:00.0 (3343618)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000Ptgd3AAB}
16:16:00.0 (3361138)|STATEMENT_EXECUTE|[28]
16:16:00.0 (3363459)|STATEMENT_EXECUTE|[29]
16:16:00.0 (3431489)|HEAP_ALLOCATE|[29]|Bytes:122
16:16:00.0 (3438209)|HEAP_ALLOCATE|[29]|Bytes:24
16:16:00.0 (3441800)|HEAP_ALLOCATE|[29]|Bytes:187
16:16:00.0 (3458520)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:16:00.0 (3463200)|STATEMENT_EXECUTE|[1]
16:16:00.0 (3466631)|STATEMENT_EXECUTE|[1]
16:16:00.0 (3473911)|HEAP_ALLOCATE|[29]|Bytes:5
16:16:00.0 (3478360)|STATEMENT_EXECUTE|[998]
16:16:00.0 (3480552)|STATEMENT_EXECUTE|[1015]
16:16:00.0 (3482622)|STATEMENT_EXECUTE|[1036]
16:16:00.0 (3490432)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:16:00.0 (3498401)|METHOD_ENTRY|[29]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:16:00.0 (3503792)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:16:00.0 (3517302)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000Ptgd3AAB"]|0x2a64ee80
16:16:00.0 (3526172)|HEAP_ALLOCATE|[59]|Bytes:5
16:16:00.0 (3530732)|STATEMENT_EXECUTE|[57]
16:16:00.0 (3532922)|STATEMENT_EXECUTE|[59]
16:16:00.0 (3536553)|HEAP_ALLOCATE|[59]|Bytes:27
16:16:00.0 (3571434)|HEAP_ALLOCATE|[59]|Bytes:96
16:16:00.0 (3578034)|HEAP_ALLOCATE|[59]|Bytes:69
16:16:00.0 (3638335)|HEAP_ALLOCATE|[59]|Bytes:33
16:16:00.0 (3657055)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:16:00.0 (3660685)|STATEMENT_EXECUTE|[1]
16:16:00.0 (3666786)|SYSTEM_METHOD_EXIT|[1]|Type
16:16:00.0 (3672306)|HEAP_ALLOCATE|[59]|Bytes:8
16:16:00.0 (3692827)|HEAP_ALLOCATE|[59]|Bytes:8
16:16:00.0 (3697336)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:16:00.0 (3715817)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x3b077c01
16:16:00.0 (3720647)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:16:00.0 (3779848)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x381c2d11
16:16:00.0 (6000986)|HEAP_ALLOCATE|[59]|Bytes:8
16:16:00.0 (6040357)|HEAP_ALLOCATE|[59]|Bytes:24
16:16:00.0 (6048988)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:16:00.0 (6052809)|STATEMENT_EXECUTE|[1]
16:16:00.0 (6057958)|SYSTEM_METHOD_EXIT|[1]|JSON
16:16:00.0 (6067508)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:16:00.0 (6439118)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:16:00.0 (6449968)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:16:00.0 (6484159)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x58168e5
16:16:00.0 (6490540)|HEAP_ALLOCATE|[60]|Bytes:9
16:16:00.0 (6516591)|STATEMENT_EXECUTE|[60]
16:16:00.0 (6519341)|STATEMENT_EXECUTE|[67]
16:16:00.0 (6521301)|STATEMENT_EXECUTE|[67]
16:16:00.0 (6523311)|STATEMENT_EXECUTE|[68]
16:16:00.0 (6562872)|HEAP_ALLOCATE|[68]|Bytes:4
16:16:00.0 (6600873)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:16:00.0 (6615463)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x34609134
16:16:00.0 (6620313)|STATEMENT_EXECUTE|[70]
16:16:00.0 (6630413)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:16:00.0 (6635644)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:16:00.0 (6640154)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:16:00.0 (6645164)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:16:00.0 (6649874)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:16:00.0 (6654564)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:16:00.0 (6662844)|HEAP_ALLOCATE|[70]|Bytes:150
16:16:00.0 (6667635)|HEAP_ALLOCATE|[70]|Bytes:51
16:16:00.0 (6671734)|HEAP_ALLOCATE|[70]|Bytes:13
16:16:00.0 (6682454)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:16:00.0 (6687405)|HEAP_ALLOCATE|[70]|Bytes:7
16:16:00.0 (6708626)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:16:00.0 (6745327)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
16:16:00.0 (6750507)|STATEMENT_EXECUTE|[6]
16:16:00.0 (6754317)|STATEMENT_EXECUTE|[6]
16:16:00.0 (8122922)|SYSTEM_MODE_ENTER|false
16:16:00.0 (8138423)|HEAP_ALLOCATE|[7]|Bytes:5
16:16:00.0 (8144953)|STATEMENT_EXECUTE|[7]
16:16:00.0 (8150043)|HEAP_ALLOCATE|[7]|Bytes:12
16:16:00.0 (8235626)|HEAP_ALLOCATE|[7]|Bytes:68
16:16:00.0 (8274736)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
16:16:00.0 (8281366)|STATEMENT_EXECUTE|[9]
16:16:00.0 (8288707)|HEAP_ALLOCATE|[9]|Bytes:5
16:16:00.0 (8301687)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
16:16:00.0 (8307477)|STATEMENT_EXECUTE|[12]
16:16:00.0 (8323337)|HEAP_ALLOCATE|[12]|Bytes:53
16:16:00.0 (8335328)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
16:16:00.0 (8341998)|STATEMENT_EXECUTE|[1]
16:16:00.0 (8346298)|STATEMENT_EXECUTE|[1]
16:16:00.0 (8351909)|METHOD_EXIT|[1]|RMDSelectorUser
16:16:00.0 (8361938)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:16:00.0 (8383899)|STATEMENT_EXECUTE|[124]
16:16:00.0 (8387119)|STATEMENT_EXECUTE|[125]
16:16:00.0 (8391519)|HEAP_ALLOCATE|[125]|Bytes:99
16:16:00.0 (8411600)|HEAP_ALLOCATE|[125]|Bytes:4
16:16:00.0 (9084237)|SOQL_EXECUTE_BEGIN|[125]|Aggregations:0|SELECT id FROM User WHERE (name = 'Integration User' AND Profile.Name = 'Integration User') LIMIT 1
16:16:00.0 (17596911)|SOQL_EXECUTE_END|[125]|Rows:1
16:16:00.0 (17633781)|HEAP_ALLOCATE|[125]|Bytes:8
16:16:00.0 (17654792)|HEAP_ALLOCATE|[125]|Bytes:60
16:16:00.0 (17704304)|HEAP_ALLOCATE|[125]|Bytes:8
16:16:00.0 (17728704)|METHOD_EXIT|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:16:00.0 (17851707)|VARIABLE_ASSIGNMENT|[12]|RMDCommonHelper.integrationId|[{"ProfileId":"00e7F000000ZzhEQAS","Id":"0057F000004GzVlQAK"}]|0x71c90792
16:16:00.0 (17873258)|SYSTEM_MODE_EXIT|false
16:16:00.0 (17891388)|METHOD_EXIT|[6]|RMDCommonHelper
16:16:00.0 (17903589)|METHOD_ENTRY|[70]|01p7F00000VLtZg|RMDCommonHelper.getOrgInstance()
16:16:00.0 (17918509)|SYSTEM_MODE_ENTER|false
16:16:00.0 (17934369)|HEAP_ALLOCATE|[446]|Bytes:5
16:16:00.0 (17940540)|STATEMENT_EXECUTE|[445]
16:16:00.0 (17942930)|STATEMENT_EXECUTE|[446]
16:16:00.0 (17966540)|HEAP_ALLOCATE|[446]|Bytes:16
16:16:00.0 (17974971)|METHOD_ENTRY|[1]|01p7F00000VLtaw|RMDSelectorCommon.RMDSelectorCommon()
16:16:00.0 (17978951)|STATEMENT_EXECUTE|[1]
16:16:00.0 (17982761)|STATEMENT_EXECUTE|[1]
16:16:00.0 (17986751)|METHOD_EXIT|[1]|RMDSelectorCommon
16:16:00.0 (17993941)|METHOD_ENTRY|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
16:16:00.0 (17999401)|VARIABLE_SCOPE_BEGIN|[3]|setOfAssignToName|Set<String>|true|false
16:16:00.0 (18053723)|VARIABLE_ASSIGNMENT|[3]|setOfAssignToName|null|
16:16:00.0 (18061033)|STATEMENT_EXECUTE|[3]
16:16:00.0 (18063323)|STATEMENT_EXECUTE|[4]
16:16:00.0 (18106124)|HEAP_ALLOCATE|[4]|Bytes:4
16:16:00.0 (18129905)|VARIABLE_SCOPE_BEGIN|[4]|listORG|List<Organization>|true|false
16:16:00.0 (18139615)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:16:00.0 (18148275)|VARIABLE_ASSIGNMENT|[4]|listORG|[]|0x4955e884
16:16:00.0 (18152865)|STATEMENT_EXECUTE|[5]
16:16:00.0 (18156615)|HEAP_ALLOCATE|[5]|Bytes:42
16:16:00.0 (18169156)|HEAP_ALLOCATE|[5]|Bytes:4
16:16:00.0 (18432952)|SOQL_EXECUTE_BEGIN|[5]|Aggregations:0|SELECT IsSandbox FROM Organization LIMIT 1
16:16:00.0 (21891153)|SOQL_EXECUTE_END|[5]|Rows:1
16:16:00.0 (21932714)|HEAP_ALLOCATE|[5]|Bytes:8
16:16:00.0 (21950854)|HEAP_ALLOCATE|[5]|Bytes:46
16:16:00.0 (21981485)|HEAP_ALLOCATE|[5]|Bytes:8
16:16:00.0 (22077508)|VARIABLE_ASSIGNMENT|[5]|listORG|[{"IsSandbox":false,"Id":"00D7F000005CdiiUAC"}]|0x787b39bf
16:16:00.0 (22085599)|STATEMENT_EXECUTE|[7]
16:16:00.0 (22096159)|METHOD_EXIT|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
