44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:36:52.0 (133913)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
17:36:52.0 (180104)|EXECUTION_STARTED
17:36:52.0 (193835)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
17:36:52.0 (1378854)|HEAP_ALLOCATE|[95]|Bytes:3
17:36:52.0 (1452996)|HEAP_ALLOCATE|[100]|Bytes:152
17:36:52.0 (1469456)|HEAP_ALLOCATE|[417]|Bytes:408
17:36:52.0 (1484306)|HEAP_ALLOCATE|[430]|Bytes:408
17:36:52.0 (1508286)|HEAP_ALLOCATE|[317]|Bytes:6
17:36:52.0 (1532566)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:36:52.0 (1537668)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
17:36:52.0 (1541108)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:36:52.0 (1549778)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
17:36:52.0 (1555207)|STATEMENT_EXECUTE|[1]
17:36:52.0 (1561188)|STATEMENT_EXECUTE|[1]
17:36:52.0 (1590699)|HEAP_ALLOCATE|[68]|Bytes:5
17:36:52.0 (1615519)|HEAP_ALLOCATE|[74]|Bytes:5
17:36:52.0 (1625230)|HEAP_ALLOCATE|[82]|Bytes:7
17:36:52.0 (1635640)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:36:52.0 (1647320)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
17:36:52.0 (1652480)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:36:52.0 (1661740)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:36:52.0 (1667301)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:36:52.0 (1670471)|STATEMENT_EXECUTE|[15]
17:36:52.0 (1677621)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:36:52.0 (1681810)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:36:52.0 (1714352)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:36:52.0 (1720542)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
17:36:52.0 (1784623)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x209afa6"}|0xe858536
17:36:52.0 (1790153)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
17:36:52.0 (1920127)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000pTUcxAAG","jobId":"707e200000pUCrSAAW"}|0x34330144
17:36:52.0 (1926527)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
17:36:52.0 (2331916)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-22T10:11:24.000Z","Account":{"Id":"0017F00001bjUKcQAM","RMD_Sync_with_SAP__c":true},"Id":"801e200000PulKWAAZ","AccountId":"0017F00001bjUKcQAM"}]|0x5027eae2
17:36:52.0 (2367457)|HEAP_ALLOCATE|[20]|Bytes:5
17:36:52.0 (2373327)|STATEMENT_EXECUTE|[19]
17:36:52.0 (2375887)|STATEMENT_EXECUTE|[20]
17:36:52.0 (2380197)|HEAP_ALLOCATE|[20]|Bytes:18
17:36:52.0 (2434559)|HEAP_ALLOCATE|[20]|Bytes:1
17:36:52.0 (2450499)|HEAP_ALLOCATE|[20]|Bytes:19
17:36:52.0 (2475270)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
17:36:52.0 (2484100)|STATEMENT_EXECUTE|[21]
17:36:52.0 (2496900)|HEAP_ALLOCATE|[21]|Bytes:4
17:36:52.0 (2542991)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0xe858536
17:36:52.0 (2579832)|HEAP_ALLOCATE|[22]|Bytes:5
17:36:52.0 (2619503)|HEAP_ALLOCATE|[22]|Bytes:20
17:36:52.0 (2632123)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
17:36:52.0 (2721085)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-22T10:11:24.000Z","Account":{"Id":"0017F00001bjUKcQAM","RMD_Sync_with_SAP__c":true},"Id":"801e200000PulKWAAZ","AccountId":"0017F00001bjUKcQAM"}|0x616f1715
17:36:52.0 (2729376)|STATEMENT_EXECUTE|[22]
17:36:52.0 (2731786)|STATEMENT_EXECUTE|[23]
17:36:52.0 (2754906)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:36:52.0 (2771687)|HEAP_ALLOCATE|[22]|Bytes:5
17:36:52.0 (2785257)|VARIABLE_ASSIGNMENT|[22]|obj|null|
17:36:52.0 (2790417)|STATEMENT_EXECUTE|[26]
17:36:52.0 (2793617)|HEAP_ALLOCATE|[26]|Bytes:13
17:36:52.0 (2818338)|HEAP_ALLOCATE|[26]|Bytes:1
17:36:52.0 (2830468)|HEAP_ALLOCATE|[26]|Bytes:14
17:36:52.0 (2842468)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
17:36:52.0 (2850018)|STATEMENT_EXECUTE|[27]
17:36:52.0 (2865519)|HEAP_ALLOCATE|[27]|Bytes:20
17:36:52.0 (2877119)|HEAP_ALLOCATE|[27]|Bytes:33
17:36:52.0 (2885570)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000PulKWAAZ}
17:36:52.0 (2903150)|STATEMENT_EXECUTE|[28]
17:36:52.0 (2905280)|STATEMENT_EXECUTE|[29]
17:36:52.0 (2915640)|HEAP_ALLOCATE|[29]|Bytes:122
17:36:52.0 (2920680)|HEAP_ALLOCATE|[29]|Bytes:24
17:36:52.0 (2924091)|HEAP_ALLOCATE|[29]|Bytes:187
17:36:52.0 (2930460)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:36:52.0 (2934750)|STATEMENT_EXECUTE|[1]
17:36:52.0 (2937841)|STATEMENT_EXECUTE|[1]
17:36:52.0 (2943911)|HEAP_ALLOCATE|[29]|Bytes:5
17:36:52.0 (2948301)|STATEMENT_EXECUTE|[998]
17:36:52.0 (2950501)|STATEMENT_EXECUTE|[1015]
17:36:52.0 (2952751)|STATEMENT_EXECUTE|[1036]
17:36:52.0 (2958951)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:36:52.0 (2967852)|METHOD_ENTRY|[29]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:36:52.0 (2974231)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:36:52.0 (2987152)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000PulKWAAZ"]|0x3a622967
17:36:52.0 (2996072)|HEAP_ALLOCATE|[59]|Bytes:5
17:36:52.0 (3000992)|STATEMENT_EXECUTE|[57]
17:36:52.0 (3003482)|STATEMENT_EXECUTE|[59]
17:36:52.0 (3006853)|HEAP_ALLOCATE|[59]|Bytes:27
17:36:52.0 (3040523)|HEAP_ALLOCATE|[59]|Bytes:96
17:36:52.0 (3046694)|HEAP_ALLOCATE|[59]|Bytes:69
17:36:52.0 (3099284)|HEAP_ALLOCATE|[59]|Bytes:33
17:36:52.0 (3106805)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:36:52.0 (3110105)|STATEMENT_EXECUTE|[1]
17:36:52.0 (3115565)|SYSTEM_METHOD_EXIT|[1]|Type
17:36:52.0 (3121635)|HEAP_ALLOCATE|[59]|Bytes:8
17:36:52.0 (3133915)|HEAP_ALLOCATE|[59]|Bytes:8
17:36:52.0 (3138745)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
17:36:52.0 (3154726)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x3e447870
17:36:52.0 (3159636)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
17:36:52.0 (3216967)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x394eab9b
17:36:52.0 (6091476)|HEAP_ALLOCATE|[59]|Bytes:8
17:36:52.0 (6109097)|HEAP_ALLOCATE|[59]|Bytes:24
17:36:52.0 (6116987)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
17:36:52.0 (6121637)|STATEMENT_EXECUTE|[1]
17:36:52.0 (6127277)|SYSTEM_METHOD_EXIT|[1]|JSON
17:36:52.0 (6136877)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
17:36:52.0 (6489685)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
17:36:52.0 (6500947)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
17:36:52.0 (6531366)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0xc883b85
17:36:52.0 (6538807)|HEAP_ALLOCATE|[60]|Bytes:9
17:36:52.0 (6563698)|STATEMENT_EXECUTE|[60]
17:36:52.0 (6566838)|STATEMENT_EXECUTE|[67]
17:36:52.0 (6569338)|STATEMENT_EXECUTE|[67]
17:36:52.0 (6571967)|STATEMENT_EXECUTE|[68]
17:36:52.0 (6607088)|HEAP_ALLOCATE|[68]|Bytes:4
17:36:52.0 (6641710)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
17:36:52.0 (6656080)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x21f5327
17:36:52.0 (6661980)|STATEMENT_EXECUTE|[70]
17:36:52.0 (6673201)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
17:36:52.0 (6679730)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
17:36:52.0 (6685661)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
17:36:52.0 (6692031)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
17:36:52.0 (6698031)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
17:36:52.0 (6703810)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
17:36:52.0 (6713531)|HEAP_ALLOCATE|[70]|Bytes:150
17:36:52.0 (6719512)|HEAP_ALLOCATE|[70]|Bytes:51
