44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:17:24.0 (142275)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:17:24.0 (184326)|EXECUTION_STARTED
16:17:24.0 (192886)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:17:24.0 (1418198)|HEAP_ALLOCATE|[95]|Bytes:3
16:17:24.0 (1499360)|HEAP_ALLOCATE|[100]|Bytes:152
16:17:24.0 (1516971)|HEAP_ALLOCATE|[417]|Bytes:408
16:17:24.0 (1531612)|HEAP_ALLOCATE|[430]|Bytes:408
16:17:24.0 (1555111)|HEAP_ALLOCATE|[317]|Bytes:6
16:17:24.0 (1578533)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:17:24.0 (1583613)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:17:24.0 (1587002)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:17:24.0 (1595402)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:17:24.0 (1600294)|STATEMENT_EXECUTE|[1]
16:17:24.0 (1605614)|STATEMENT_EXECUTE|[1]
16:17:24.0 (1633683)|HEAP_ALLOCATE|[68]|Bytes:5
16:17:24.0 (1660724)|HEAP_ALLOCATE|[74]|Bytes:5
16:17:24.0 (1670634)|HEAP_ALLOCATE|[82]|Bytes:7
16:17:24.0 (1682385)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:17:24.0 (1694205)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:17:24.0 (1699515)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:17:24.0 (1708525)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:17:24.0 (1714155)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:17:24.0 (1717337)|STATEMENT_EXECUTE|[15]
16:17:24.0 (1723246)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:17:24.0 (1727126)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:17:24.0 (1751417)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:17:24.0 (1757298)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:17:24.0 (1848870)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x6c75817f"}|0x3400399d
16:17:24.0 (1857870)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:17:24.0 (2079405)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000pRbviAAC","jobId":"707e200000pSHMtAAO"}|0x5239cac4
16:17:24.0 (2087276)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:17:24.0 (2455496)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-22T09:56:47.000Z","Account":{"Id":"0017F00001b97aEQAQ","RMD_Sync_with_SAP__c":true},"Id":"801e200000PuIqWAAV","AccountId":"0017F00001b97aEQAQ"}]|0x74edfd19
16:17:24.0 (2476686)|HEAP_ALLOCATE|[20]|Bytes:5
16:17:24.0 (2482016)|STATEMENT_EXECUTE|[19]
16:17:24.0 (2484216)|STATEMENT_EXECUTE|[20]
16:17:24.0 (2487616)|HEAP_ALLOCATE|[20]|Bytes:18
16:17:24.0 (2540768)|HEAP_ALLOCATE|[20]|Bytes:1
16:17:24.0 (2558498)|HEAP_ALLOCATE|[20]|Bytes:19
16:17:24.0 (2581969)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:17:24.0 (2591388)|STATEMENT_EXECUTE|[21]
16:17:24.0 (2605640)|HEAP_ALLOCATE|[21]|Bytes:4
16:17:24.0 (2647141)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x3400399d
16:17:24.0 (2681761)|HEAP_ALLOCATE|[22]|Bytes:5
16:17:24.0 (2721603)|HEAP_ALLOCATE|[22]|Bytes:20
16:17:24.0 (2734043)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:17:24.0 (2802155)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-22T09:56:47.000Z","Account":{"Id":"0017F00001b97aEQAQ","RMD_Sync_with_SAP__c":true},"Id":"801e200000PuIqWAAV","AccountId":"0017F00001b97aEQAQ"}|0x11059c54
16:17:24.0 (2812965)|STATEMENT_EXECUTE|[22]
16:17:24.0 (2816035)|STATEMENT_EXECUTE|[23]
16:17:24.0 (2844386)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:17:24.0 (2863816)|HEAP_ALLOCATE|[22]|Bytes:5
16:17:24.0 (2879657)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:17:24.0 (2887367)|STATEMENT_EXECUTE|[26]
16:17:24.0 (2892077)|HEAP_ALLOCATE|[26]|Bytes:13
16:17:24.0 (2923748)|HEAP_ALLOCATE|[26]|Bytes:1
16:17:24.0 (2941248)|HEAP_ALLOCATE|[26]|Bytes:14
16:17:24.0 (2957019)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
16:17:24.0 (2967769)|STATEMENT_EXECUTE|[27]
16:17:24.0 (2988759)|HEAP_ALLOCATE|[27]|Bytes:20
16:17:24.0 (3007010)|HEAP_ALLOCATE|[27]|Bytes:33
16:17:24.0 (3021650)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000PuIqWAAV}
16:17:24.0 (3042661)|STATEMENT_EXECUTE|[28]
16:17:24.0 (3046561)|STATEMENT_EXECUTE|[29]
16:17:24.0 (3061571)|HEAP_ALLOCATE|[29]|Bytes:122
16:17:24.0 (3070132)|HEAP_ALLOCATE|[29]|Bytes:24
16:17:24.0 (3075292)|HEAP_ALLOCATE|[29]|Bytes:187
16:17:24.0 (3082102)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:17:24.0 (3086082)|STATEMENT_EXECUTE|[1]
16:17:24.0 (3089432)|STATEMENT_EXECUTE|[1]
16:17:24.0 (3095982)|HEAP_ALLOCATE|[29]|Bytes:5
16:17:24.0 (3101112)|STATEMENT_EXECUTE|[998]
16:17:24.0 (3103362)|STATEMENT_EXECUTE|[1015]
16:17:24.0 (3105312)|STATEMENT_EXECUTE|[1036]
16:17:24.0 (3111363)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:17:24.0 (3119083)|METHOD_ENTRY|[29]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:17:24.0 (3124283)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:17:24.0 (3137183)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000PuIqWAAV"]|0x6be8ce4a
16:17:24.0 (3146974)|HEAP_ALLOCATE|[59]|Bytes:5
16:17:24.0 (3151894)|STATEMENT_EXECUTE|[57]
16:17:24.0 (3154164)|STATEMENT_EXECUTE|[59]
16:17:24.0 (3158224)|HEAP_ALLOCATE|[59]|Bytes:27
16:17:24.0 (3195455)|HEAP_ALLOCATE|[59]|Bytes:96
16:17:24.0 (3203305)|HEAP_ALLOCATE|[59]|Bytes:69
16:17:24.0 (3262587)|HEAP_ALLOCATE|[59]|Bytes:33
16:17:24.0 (3271407)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:17:24.0 (3274607)|STATEMENT_EXECUTE|[1]
16:17:24.0 (3280237)|SYSTEM_METHOD_EXIT|[1]|Type
