44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:15:36.0 (131594)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:15:36.0 (161575)|EXECUTION_STARTED
16:15:36.0 (170224)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:15:36.0 (1489819)|HEAP_ALLOCATE|[95]|Bytes:3
16:15:36.0 (1590621)|HEAP_ALLOCATE|[100]|Bytes:152
16:15:36.0 (1609673)|HEAP_ALLOCATE|[417]|Bytes:408
16:15:36.0 (1626522)|HEAP_ALLOCATE|[430]|Bytes:408
16:15:36.0 (1655943)|HEAP_ALLOCATE|[317]|Bytes:6
16:15:36.0 (1683094)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:15:36.0 (1689275)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:15:36.0 (1693555)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:15:36.0 (1704624)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:15:36.0 (1711515)|STATEMENT_EXECUTE|[1]
16:15:36.0 (1718305)|STATEMENT_EXECUTE|[1]
16:15:36.0 (1750576)|HEAP_ALLOCATE|[68]|Bytes:5
16:15:36.0 (1779426)|HEAP_ALLOCATE|[74]|Bytes:5
16:15:36.0 (1789927)|HEAP_ALLOCATE|[82]|Bytes:7
16:15:36.0 (1802947)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:15:36.0 (1816038)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:15:36.0 (1822767)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:15:36.0 (1832868)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:15:36.0 (1840338)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:15:36.0 (1844378)|STATEMENT_EXECUTE|[15]
16:15:36.0 (1851748)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:15:36.0 (1856468)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:15:36.0 (1889819)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:15:36.0 (1897040)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:15:36.0 (1971242)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x6210846e"}|0x3400399d
16:15:36.0 (1978181)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:15:36.0 (2160057)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000pRbviAAC","jobId":"707e200000pSHMtAAO"}|0x5239cac4
16:15:36.0 (2168687)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:15:36.0 (2571238)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-22T09:51:07.000Z","Account":{"Id":"001e200000PojLQAAZ","RMD_Sync_with_SAP__c":true},"Id":"801e200000PuG3lAAF","AccountId":"001e200000PojLQAAZ"}]|0x2f551ba2
16:15:36.0 (2593118)|HEAP_ALLOCATE|[20]|Bytes:5
16:15:36.0 (2599308)|STATEMENT_EXECUTE|[19]
16:15:36.0 (2601998)|STATEMENT_EXECUTE|[20]
16:15:36.0 (2606119)|HEAP_ALLOCATE|[20]|Bytes:18
16:15:36.0 (2665449)|HEAP_ALLOCATE|[20]|Bytes:1
16:15:36.0 (2683761)|HEAP_ALLOCATE|[20]|Bytes:19
16:15:36.0 (2712071)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:15:36.0 (2724722)|STATEMENT_EXECUTE|[21]
16:15:36.0 (2742632)|HEAP_ALLOCATE|[21]|Bytes:4
16:15:36.0 (2793403)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x3400399d
16:15:36.0 (2838574)|HEAP_ALLOCATE|[22]|Bytes:5
16:15:36.0 (2885766)|HEAP_ALLOCATE|[22]|Bytes:20
16:15:36.0 (2901135)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:15:36.0 (2981598)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-22T09:51:07.000Z","Account":{"Id":"001e200000PojLQAAZ","RMD_Sync_with_SAP__c":true},"Id":"801e200000PuG3lAAF","AccountId":"001e200000PojLQAAZ"}|0x18401251
16:15:36.0 (2991358)|STATEMENT_EXECUTE|[22]
16:15:36.0 (2993889)|STATEMENT_EXECUTE|[23]
16:15:36.0 (3023679)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:15:36.0 (3043570)|HEAP_ALLOCATE|[22]|Bytes:5
16:15:36.0 (3059610)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:15:36.0 (3065610)|STATEMENT_EXECUTE|[26]
16:15:36.0 (3069010)|HEAP_ALLOCATE|[26]|Bytes:13
16:15:36.0 (3094181)|HEAP_ALLOCATE|[26]|Bytes:1
16:15:36.0 (3107901)|HEAP_ALLOCATE|[26]|Bytes:14
16:15:36.0 (3120162)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
16:15:36.0 (3130072)|STATEMENT_EXECUTE|[27]
16:15:36.0 (3147392)|HEAP_ALLOCATE|[27]|Bytes:20
16:15:36.0 (3160773)|HEAP_ALLOCATE|[27]|Bytes:33
16:15:36.0 (3171803)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000PuG3lAAF}
16:15:36.0 (3193474)|STATEMENT_EXECUTE|[28]
16:15:36.0 (3196524)|STATEMENT_EXECUTE|[29]
16:15:36.0 (3208324)|HEAP_ALLOCATE|[29]|Bytes:122
16:15:36.0 (3214274)|HEAP_ALLOCATE|[29]|Bytes:24
16:15:36.0 (3218874)|HEAP_ALLOCATE|[29]|Bytes:187
16:15:36.0 (3227695)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:15:36.0 (3233245)|STATEMENT_EXECUTE|[1]
16:15:36.0 (3237565)|STATEMENT_EXECUTE|[1]
16:15:36.0 (3244225)|HEAP_ALLOCATE|[29]|Bytes:5
16:15:36.0 (3248565)|STATEMENT_EXECUTE|[998]
16:15:36.0 (3252115)|STATEMENT_EXECUTE|[1015]
16:15:36.0 (3254965)|STATEMENT_EXECUTE|[1036]
16:15:36.0 (3262935)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:15:36.0 (3272916)|METHOD_ENTRY|[29]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:15:36.0 (3280636)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:15:36.0 (3294726)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000PuG3lAAF"]|0x7555cae7
16:15:36.0 (3304867)|HEAP_ALLOCATE|[59]|Bytes:5
16:15:36.0 (3309737)|STATEMENT_EXECUTE|[57]
16:15:36.0 (3311947)|STATEMENT_EXECUTE|[59]
16:15:36.0 (3315767)|HEAP_ALLOCATE|[59]|Bytes:27
16:15:36.0 (3350138)|HEAP_ALLOCATE|[59]|Bytes:96
16:15:36.0 (3357008)|HEAP_ALLOCATE|[59]|Bytes:69
16:15:36.0 (3414069)|HEAP_ALLOCATE|[59]|Bytes:33
16:15:36.0 (3423070)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:15:36.0 (3426350)|STATEMENT_EXECUTE|[1]
16:15:36.0 (3432580)|SYSTEM_METHOD_EXIT|[1]|Type
16:15:36.0 (3438120)|HEAP_ALLOCATE|[59]|Bytes:8
16:15:36.0 (3453220)|HEAP_ALLOCATE|[59]|Bytes:8
16:15:36.0 (3457490)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:15:36.0 (3474721)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x62f3c5a7
16:15:36.0 (3480601)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:15:36.0 (3553653)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x381c2d11
16:15:36.0 (6321775)|HEAP_ALLOCATE|[59]|Bytes:8
16:15:36.0 (6342086)|HEAP_ALLOCATE|[59]|Bytes:24
16:15:36.0 (6350516)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:15:36.0 (6354316)|STATEMENT_EXECUTE|[1]
16:15:36.0 (6359296)|SYSTEM_METHOD_EXIT|[1]|JSON
16:15:36.0 (6367037)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:15:36.0 (7547068)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:15:36.0 (7572448)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:15:36.0 (7622459)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x264e01bf
16:15:36.0 (7632339)|HEAP_ALLOCATE|[60]|Bytes:9
16:15:36.0 (7671180)|STATEMENT_EXECUTE|[60]
16:15:36.0 (7674930)|STATEMENT_EXECUTE|[67]
16:15:36.0 (7677530)|STATEMENT_EXECUTE|[67]
16:15:36.0 (7680501)|STATEMENT_EXECUTE|[68]
16:15:36.0 (7734662)|HEAP_ALLOCATE|[68]|Bytes:4
16:15:36.0 (7799205)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:15:36.0 (7817685)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x5a6c262c
16:15:36.0 (7823445)|STATEMENT_EXECUTE|[70]
16:15:36.0 (7839556)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:15:36.0 (7846446)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
