44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:15:48.0 (146584)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:15:48.0 (190085)|EXECUTION_STARTED
16:15:48.0 (198145)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:15:48.0 (1497760)|HEAP_ALLOCATE|[95]|Bytes:3
16:15:48.0 (1582462)|HEAP_ALLOCATE|[100]|Bytes:152
16:15:48.0 (1598842)|HEAP_ALLOCATE|[417]|Bytes:408
16:15:48.0 (1611943)|HEAP_ALLOCATE|[430]|Bytes:408
16:15:48.0 (1633943)|HEAP_ALLOCATE|[317]|Bytes:6
16:15:48.0 (1657414)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:15:48.0 (1662404)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:15:48.0 (1665874)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:15:48.0 (1674604)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:15:48.0 (1679794)|STATEMENT_EXECUTE|[1]
16:15:48.0 (1684835)|STATEMENT_EXECUTE|[1]
16:15:48.0 (1713835)|HEAP_ALLOCATE|[68]|Bytes:5
16:15:48.0 (1740036)|HEAP_ALLOCATE|[74]|Bytes:5
16:15:48.0 (1751586)|HEAP_ALLOCATE|[82]|Bytes:7
16:15:48.0 (1763017)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:15:48.0 (1775307)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:15:48.0 (1780507)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:15:48.0 (1789097)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:15:48.0 (1795307)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:15:48.0 (1798577)|STATEMENT_EXECUTE|[15]
16:15:48.0 (1805528)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:15:48.0 (1809488)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:15:48.0 (1835578)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:15:48.0 (1841319)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:15:48.0 (1905410)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x7555cae7"}|0x3400399d
16:15:48.0 (1910640)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:15:48.0 (2044914)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000pRbviAAC","jobId":"707e200000pSHMtAAO"}|0x5239cac4
16:15:48.0 (2051674)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:15:48.0 (2220738)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-22T09:49:08.000Z","Account":{"Id":"001e200000Pmlz9AAB","RMD_Sync_with_SAP__c":true},"Id":"801e200000PuSjTAAV","AccountId":"001e200000Pmlz9AAB"}]|0x42f8f86e
16:15:48.0 (2237989)|HEAP_ALLOCATE|[20]|Bytes:5
16:15:48.0 (2244389)|STATEMENT_EXECUTE|[19]
16:15:48.0 (2246659)|STATEMENT_EXECUTE|[20]
16:15:48.0 (2250129)|HEAP_ALLOCATE|[20]|Bytes:18
16:15:48.0 (2302050)|HEAP_ALLOCATE|[20]|Bytes:1
16:15:48.0 (2318231)|HEAP_ALLOCATE|[20]|Bytes:19
