60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:16:39.0 (177844)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:16:39.0 (231745)|EXECUTION_STARTED
16:16:39.0 (242775)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:16:39.0 (1077003)|HEAP_ALLOCATE|[95]|Bytes:3
16:16:39.0 (1177295)|HEAP_ALLOCATE|[100]|Bytes:152
16:16:39.0 (1199086)|HEAP_ALLOCATE|[417]|Bytes:408
16:16:39.0 (1217216)|HEAP_ALLOCATE|[430]|Bytes:408
16:16:39.0 (1247737)|HEAP_ALLOCATE|[317]|Bytes:6
16:16:39.0 (1276308)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:16:39.0 (1282857)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:16:39.0 (1287229)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:16:39.0 (1297958)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:16:39.0 (1304618)|STATEMENT_EXECUTE|[1]
16:16:39.0 (1311029)|STATEMENT_EXECUTE|[1]
16:16:39.0 (1346419)|HEAP_ALLOCATE|[68]|Bytes:5
16:16:39.0 (1374699)|HEAP_ALLOCATE|[74]|Bytes:5
16:16:39.0 (1384761)|HEAP_ALLOCATE|[82]|Bytes:7
16:16:39.0 (1396601)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:16:39.0 (1408850)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:16:39.0 (1415250)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:39.0 (1425682)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:16:39.0 (1433442)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:16:39.0 (1437592)|STATEMENT_EXECUTE|[15]
16:16:39.0 (1444472)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:16:39.0 (1449501)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:16:39.0 (1484563)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:39.0 (1491323)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:16:39.0 (1572584)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x124a3fc"}|0x7f2676de
16:16:39.0 (1582325)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:16:39.0 (1769778)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pSh8AAAS","jobId":"707e200000pSo4aAAC"}|0x316715b1
16:16:39.0 (1784348)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:16:39.0 (2098635)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001b8WhEQAU","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b8WhEQAU","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mB3BAAU","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mB3BAAU"},"CreatedDate":"2025-09-26T05:38:44.000Z","Id":"801e2000007itxkAAA","RMD_ECC_Order_ID__c":"6691193581"}]|0x69bae116
16:16:39.0 (2125356)|HEAP_ALLOCATE|[17]|Bytes:5
16:16:39.0 (2131767)|STATEMENT_EXECUTE|[16]
16:16:39.0 (2134527)|STATEMENT_EXECUTE|[17]
16:16:39.0 (2138636)|HEAP_ALLOCATE|[17]|Bytes:18
16:16:39.0 (2223318)|HEAP_ALLOCATE|[17]|Bytes:1
16:16:39.0 (2243739)|HEAP_ALLOCATE|[17]|Bytes:19
16:16:39.0 (2273870)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:16:39.0 (2285690)|STATEMENT_EXECUTE|[18]
16:16:39.0 (2304531)|HEAP_ALLOCATE|[18]|Bytes:4
16:16:39.0 (2355532)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x7f2676de
16:16:39.0 (2398223)|HEAP_ALLOCATE|[19]|Bytes:5
16:16:39.0 (2442823)|HEAP_ALLOCATE|[19]|Bytes:40
16:16:39.0 (2456864)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:16:39.0 (2609257)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001b8WhEQAU","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001b8WhEQAU","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mB3BAAU","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mB3BAAU"},"CreatedDate":"2025-09-26T05:38:44.000Z","Id":"801e2000007itxkAAA","RMD_ECC_Order_ID__c":"6691193581"}|0x149b85b0
16:16:39.0 (2621307)|STATEMENT_EXECUTE|[19]
16:16:39.0 (2624187)|STATEMENT_EXECUTE|[20]
16:16:39.0 (2654938)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:16:39.0 (2675028)|HEAP_ALLOCATE|[19]|Bytes:5
16:16:39.0 (2690169)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:16:39.0 (2696759)|STATEMENT_EXECUTE|[23]
16:16:39.0 (2700289)|HEAP_ALLOCATE|[23]|Bytes:13
16:16:39.0 (2725120)|HEAP_ALLOCATE|[23]|Bytes:1
16:16:39.0 (2738690)|HEAP_ALLOCATE|[23]|Bytes:14
16:16:39.0 (2750430)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:16:39.0 (2759570)|STATEMENT_EXECUTE|[24]
16:16:39.0 (2776291)|HEAP_ALLOCATE|[24]|Bytes:20
16:16:39.0 (2788581)|HEAP_ALLOCATE|[24]|Bytes:33
16:16:39.0 (2797861)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007itxkAAA}
16:16:39.0 (2817482)|STATEMENT_EXECUTE|[25]
16:16:39.0 (2820262)|STATEMENT_EXECUTE|[26]
16:16:39.0 (2833652)|HEAP_ALLOCATE|[26]|Bytes:122
16:16:39.0 (2839482)|HEAP_ALLOCATE|[26]|Bytes:24
16:16:39.0 (2843952)|HEAP_ALLOCATE|[26]|Bytes:187
16:16:39.0 (2854432)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:16:39.0 (2859632)|STATEMENT_EXECUTE|[1]
16:16:39.0 (2863823)|STATEMENT_EXECUTE|[1]
16:16:39.0 (2870113)|HEAP_ALLOCATE|[26]|Bytes:5
16:16:39.0 (2874883)|STATEMENT_EXECUTE|[998]
16:16:39.0 (2877423)|STATEMENT_EXECUTE|[1015]
16:16:39.0 (2880033)|STATEMENT_EXECUTE|[1036]
16:16:39.0 (2888183)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:16:39.0 (2897573)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:16:39.0 (2904553)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:16:39.0 (2918204)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007itxkAAA"]|0x1dd2fffa
16:16:39.0 (2928524)|HEAP_ALLOCATE|[59]|Bytes:5
16:16:39.0 (2934424)|STATEMENT_EXECUTE|[57]
16:16:39.0 (2937144)|STATEMENT_EXECUTE|[59]
16:16:39.0 (2941564)|HEAP_ALLOCATE|[59]|Bytes:27
16:16:39.0 (2982335)|HEAP_ALLOCATE|[59]|Bytes:96
16:16:39.0 (2989335)|HEAP_ALLOCATE|[59]|Bytes:69
16:16:39.0 (3057927)|HEAP_ALLOCATE|[59]|Bytes:33
16:16:39.0 (3068317)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:16:39.0 (3072967)|STATEMENT_EXECUTE|[1]
16:16:39.0 (3079477)|SYSTEM_METHOD_EXIT|[1]|Type
16:16:39.0 (3086647)|HEAP_ALLOCATE|[59]|Bytes:8
16:16:39.0 (3104218)|HEAP_ALLOCATE|[59]|Bytes:8
16:16:39.0 (3109538)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:16:39.0 (3130588)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x62d84b9b
16:16:39.0 (3137148)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:16:39.0 (3217330)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x2e961978
16:16:39.0 (4995890)|HEAP_ALLOCATE|[59]|Bytes:8
16:16:39.0 (5025590)|HEAP_ALLOCATE|[59]|Bytes:24
16:16:39.0 (5037230)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:16:39.0 (5043631)|STATEMENT_EXECUTE|[1]
16:16:39.0 (5050721)|SYSTEM_METHOD_EXIT|[1]|JSON
16:16:39.0 (5064001)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:16:39.0 (5471400)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:16:39.0 (5483860)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:16:39.0 (5519451)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x2001f3e4
16:16:39.0 (5529371)|HEAP_ALLOCATE|[60]|Bytes:9
16:16:39.0 (5558282)|STATEMENT_EXECUTE|[60]
