60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:16:21.0 (160664)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:16:21.0 (193854)|EXECUTION_STARTED
16:16:21.0 (202724)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:16:21.0 (922180)|HEAP_ALLOCATE|[95]|Bytes:3
16:16:21.0 (1000461)|HEAP_ALLOCATE|[100]|Bytes:152
16:16:21.0 (1018743)|HEAP_ALLOCATE|[417]|Bytes:408
16:16:21.0 (1035533)|HEAP_ALLOCATE|[430]|Bytes:408
16:16:21.0 (1062204)|HEAP_ALLOCATE|[317]|Bytes:6
16:16:21.0 (1085833)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:16:21.0 (1091424)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:16:21.0 (1094784)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:16:21.0 (1103473)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:16:21.0 (1109325)|STATEMENT_EXECUTE|[1]
16:16:21.0 (1114535)|STATEMENT_EXECUTE|[1]
16:16:21.0 (1145005)|HEAP_ALLOCATE|[68]|Bytes:5
16:16:21.0 (1170216)|HEAP_ALLOCATE|[74]|Bytes:5
16:16:21.0 (1178816)|HEAP_ALLOCATE|[82]|Bytes:7
16:16:21.0 (1190056)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:16:21.0 (1202417)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:16:21.0 (1207747)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:21.0 (1217867)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:16:21.0 (1224977)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:16:21.0 (1228247)|STATEMENT_EXECUTE|[15]
16:16:21.0 (1234057)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:16:21.0 (1238017)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:16:21.0 (1265728)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:21.0 (1271757)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:16:21.0 (1342319)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x1eecc7fd"}|0x7f2676de
16:16:21.0 (1349959)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:16:21.0 (1499953)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pSh8AAAS","jobId":"707e200000pSo4aAAC"}|0x316715b1
16:16:21.0 (1507393)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:16:21.0 (1829990)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001bjCPCQA2","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001bjCPCQA2","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005lv6RAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005lv6RAAQ"},"CreatedDate":"2025-09-26T06:04:52.000Z","Id":"801e2000007iotCAAQ","RMD_ECC_Order_ID__c":"6691194081"}]|0x1087138c
16:16:21.0 (1849291)|HEAP_ALLOCATE|[17]|Bytes:5
