60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:38:06.0 (228776)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:38:06.0 (282068)|EXECUTION_STARTED
17:38:06.0 (296988)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:38:06.0 (1601343)|HEAP_ALLOCATE|[95]|Bytes:3
17:38:06.0 (1701434)|HEAP_ALLOCATE|[100]|Bytes:152
17:38:06.0 (1726475)|HEAP_ALLOCATE|[417]|Bytes:408
17:38:06.0 (1743456)|HEAP_ALLOCATE|[430]|Bytes:408
17:38:06.0 (1771667)|HEAP_ALLOCATE|[317]|Bytes:6
17:38:06.0 (1797108)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:38:06.0 (1803448)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:38:06.0 (1806688)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:38:06.0 (1819218)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:38:06.0 (1826539)|STATEMENT_EXECUTE|[1]
17:38:06.0 (1832638)|STATEMENT_EXECUTE|[1]
17:38:06.0 (1867380)|HEAP_ALLOCATE|[68]|Bytes:5
17:38:06.0 (1894580)|HEAP_ALLOCATE|[74]|Bytes:5
17:38:06.0 (1904821)|HEAP_ALLOCATE|[82]|Bytes:7
17:38:06.0 (1915051)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:38:06.0 (1928491)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:38:06.0 (1933800)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:38:06.0 (1943342)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:38:06.0 (1949942)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:38:06.0 (1953502)|STATEMENT_EXECUTE|[15]
17:38:06.0 (1960542)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:38:06.0 (1964441)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:38:06.0 (2001762)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:38:06.0 (2008713)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:38:06.0 (2085465)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x6019ef60"}|0x4edc70de
17:38:06.0 (2092195)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:38:06.0 (2350562)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pSyWXAA0","jobId":"707e200000pU6RRAA0"}|0x718563a
17:38:06.0 (2357992)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:38:06.0 (3016939)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"0017F00001kyARTQA2","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001kyARTQA2","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003dmVXIAY","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003dmVXIAY"},"CreatedDate":"2025-05-12T06:18:59.000Z","Coupon_Type__c":"P","Id":"801Ie000001JiULIA0","RMD_ECC_Order_ID__c":"Akhil1842"}]|0x6b89c368
17:38:06.0 (3052090)|HEAP_ALLOCATE|[17]|Bytes:5
17:38:06.0 (3059500)|STATEMENT_EXECUTE|[16]
17:38:06.0 (3062480)|STATEMENT_EXECUTE|[17]
17:38:06.0 (3066961)|HEAP_ALLOCATE|[17]|Bytes:18
17:38:06.0 (3139662)|HEAP_ALLOCATE|[17]|Bytes:1
17:38:06.0 (3160493)|HEAP_ALLOCATE|[17]|Bytes:19
17:38:06.0 (3189614)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:38:06.0 (3200374)|STATEMENT_EXECUTE|[18]
17:38:06.0 (3218984)|HEAP_ALLOCATE|[18]|Bytes:4
17:38:06.0 (3282036)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x4edc70de
17:38:06.0 (3329128)|HEAP_ALLOCATE|[19]|Bytes:5
17:38:06.0 (3382930)|HEAP_ALLOCATE|[19]|Bytes:44
17:38:06.0 (3397629)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:38:06.0 (3572834)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"0017F00001kyARTQA2","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001kyARTQA2","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003dmVXIAY","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003dmVXIAY"},"CreatedDate":"2025-05-12T06:18:59.000Z","Coupon_Type__c":"P","Id":"801Ie000001JiULIA0","RMD_ECC_Order_ID__c":"Akhil1842"}|0x44534ad
17:38:06.0 (3585655)|STATEMENT_EXECUTE|[19]
17:38:06.0 (3588474)|STATEMENT_EXECUTE|[20]
17:38:06.0 (3624795)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:38:06.0 (3648836)|HEAP_ALLOCATE|[19]|Bytes:5
17:38:06.0 (3666646)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:38:06.0 (3673086)|STATEMENT_EXECUTE|[23]
17:38:06.0 (3676926)|HEAP_ALLOCATE|[23]|Bytes:13
17:38:06.0 (3707247)|HEAP_ALLOCATE|[23]|Bytes:1
17:38:06.0 (3721677)|HEAP_ALLOCATE|[23]|Bytes:14
17:38:06.0 (3736838)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:38:06.0 (3746299)|STATEMENT_EXECUTE|[24]
17:38:06.0 (3765159)|HEAP_ALLOCATE|[24]|Bytes:20
17:38:06.0 (3779100)|HEAP_ALLOCATE|[24]|Bytes:33
17:38:06.0 (3789129)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001JiULIA0}
17:38:06.0 (3810301)|STATEMENT_EXECUTE|[25]
17:38:06.0 (3813280)|STATEMENT_EXECUTE|[26]
17:38:06.0 (3828301)|HEAP_ALLOCATE|[26]|Bytes:122
17:38:06.0 (3834191)|HEAP_ALLOCATE|[26]|Bytes:24
17:38:06.0 (3838671)|HEAP_ALLOCATE|[26]|Bytes:187
