60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:37:08.0 (157294)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:37:08.0 (190515)|EXECUTION_STARTED
17:37:08.0 (204065)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:37:08.0 (1393617)|HEAP_ALLOCATE|[95]|Bytes:3
17:37:08.0 (1484468)|HEAP_ALLOCATE|[100]|Bytes:152
17:37:08.0 (1505519)|HEAP_ALLOCATE|[417]|Bytes:408
17:37:08.0 (1521580)|HEAP_ALLOCATE|[430]|Bytes:408
17:37:08.0 (1547781)|HEAP_ALLOCATE|[317]|Bytes:6
17:37:08.0 (1572141)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:37:08.0 (1577630)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:37:08.0 (1580902)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:37:08.0 (1592721)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:37:08.0 (1599561)|STATEMENT_EXECUTE|[1]
17:37:08.0 (1605542)|STATEMENT_EXECUTE|[1]
17:37:08.0 (1636442)|HEAP_ALLOCATE|[68]|Bytes:5
17:37:08.0 (1660923)|HEAP_ALLOCATE|[74]|Bytes:5
17:37:08.0 (1670664)|HEAP_ALLOCATE|[82]|Bytes:7
17:37:08.0 (1680984)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:37:08.0 (1692913)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:37:08.0 (1698214)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:37:08.0 (1706594)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:37:08.0 (1712644)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:37:08.0 (1716214)|STATEMENT_EXECUTE|[15]
17:37:08.0 (1723444)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:37:08.0 (1727214)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:37:08.0 (1761626)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:37:08.0 (1768316)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:37:08.0 (1841158)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x394cb3b8"}|0x4edc70de
17:37:08.0 (1847537)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:37:08.0 (1981771)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pSyWXAA0","jobId":"707e200000pU6RRAA0"}|0x718563a
17:37:08.0 (1989021)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:37:08.0 (2404823)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie0000094zgaIAA","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie0000094zgaIAA","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003dn7GIAQ","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003dn7GIAQ"},"CreatedDate":"2025-05-12T06:03:58.000Z","Coupon_Type__c":"P","Id":"801Ie000001JiPhIAK","RMD_ECC_Order_ID__c":"Akhil1833"}]|0x3e99f640
17:37:08.0 (2520426)|HEAP_ALLOCATE|[17]|Bytes:5
17:37:08.0 (2529086)|STATEMENT_EXECUTE|[16]
17:37:08.0 (2532206)|STATEMENT_EXECUTE|[17]
17:37:08.0 (2536526)|HEAP_ALLOCATE|[17]|Bytes:18
17:37:08.0 (2605368)|HEAP_ALLOCATE|[17]|Bytes:1
17:37:08.0 (2625957)|HEAP_ALLOCATE|[17]|Bytes:19
17:37:08.0 (2650249)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:37:08.0 (2659089)|STATEMENT_EXECUTE|[18]
17:37:08.0 (2673730)|HEAP_ALLOCATE|[18]|Bytes:4
17:37:08.0 (2721591)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x4edc70de
