60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:37:23.0 (190516)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:37:23.0 (232887)|EXECUTION_STARTED
17:37:23.0 (248647)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:37:23.0 (1564471)|HEAP_ALLOCATE|[95]|Bytes:3
17:37:23.0 (1654983)|HEAP_ALLOCATE|[100]|Bytes:152
17:37:23.0 (1674914)|HEAP_ALLOCATE|[417]|Bytes:408
17:37:23.0 (1691534)|HEAP_ALLOCATE|[430]|Bytes:408
17:37:23.0 (1719885)|HEAP_ALLOCATE|[317]|Bytes:6
17:37:23.0 (1743827)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:37:23.0 (1749056)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:37:23.0 (1752526)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:37:23.0 (1763086)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:37:23.0 (1769496)|STATEMENT_EXECUTE|[1]
17:37:23.0 (1776607)|STATEMENT_EXECUTE|[1]
17:37:23.0 (1810897)|HEAP_ALLOCATE|[68]|Bytes:5
17:37:23.0 (1839029)|HEAP_ALLOCATE|[74]|Bytes:5
17:37:23.0 (1848898)|HEAP_ALLOCATE|[82]|Bytes:7
17:37:23.0 (1861099)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:37:23.0 (1873049)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:37:23.0 (1879129)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:37:23.0 (1888539)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:37:23.0 (1896650)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:37:23.0 (1901450)|STATEMENT_EXECUTE|[15]
17:37:23.0 (1909520)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:37:23.0 (1914820)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:37:23.0 (1949681)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:37:23.0 (1957361)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:37:23.0 (2036783)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x4f2a50ae"}|0x4edc70de
17:37:23.0 (2044583)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:37:23.0 (2262059)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pSyWXAA0","jobId":"707e200000pU6RRAA0"}|0x718563a
17:37:23.0 (2271410)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:37:23.0 (2827564)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie0000094zgWIAQ","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie0000094zgWIAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003dmgGIAQ","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003dmgGIAQ"},"CreatedDate":"2025-05-12T06:03:21.000Z","Coupon_Type__c":"P","Id":"801Ie000001JiRRIA0","RMD_ECC_Order_ID__c":"Akhil1831"}]|0x233a32a4
17:37:23.0 (2858484)|HEAP_ALLOCATE|[17]|Bytes:5
17:37:23.0 (2866365)|STATEMENT_EXECUTE|[16]
17:37:23.0 (2869845)|STATEMENT_EXECUTE|[17]
17:37:23.0 (2874485)|HEAP_ALLOCATE|[17]|Bytes:18
17:37:23.0 (2946838)|HEAP_ALLOCATE|[17]|Bytes:1
17:37:23.0 (2970348)|HEAP_ALLOCATE|[17]|Bytes:19
17:37:23.0 (3004599)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:37:23.0 (3018400)|STATEMENT_EXECUTE|[18]
17:37:23.0 (3036409)|HEAP_ALLOCATE|[18]|Bytes:4
17:37:23.0 (3096922)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x4edc70de
17:37:23.0 (3145732)|HEAP_ALLOCATE|[19]|Bytes:5
17:37:23.0 (3196024)|HEAP_ALLOCATE|[19]|Bytes:44
17:37:23.0 (3211374)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:37:23.0 (3356578)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"001Ie0000094zgWIAQ","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie0000094zgWIAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003dmgGIAQ","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003dmgGIAQ"},"CreatedDate":"2025-05-12T06:03:21.000Z","Coupon_Type__c":"P","Id":"801Ie000001JiRRIA0","RMD_ECC_Order_ID__c":"Akhil1831"}|0x2aa5a35e
17:37:23.0 (3371069)|STATEMENT_EXECUTE|[19]
17:37:23.0 (3374379)|STATEMENT_EXECUTE|[20]
17:37:23.0 (3408740)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:37:23.0 (3431660)|HEAP_ALLOCATE|[19]|Bytes:5
17:37:23.0 (3450441)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:37:23.0 (3458671)|STATEMENT_EXECUTE|[23]
17:37:23.0 (3463001)|HEAP_ALLOCATE|[23]|Bytes:13
17:37:23.0 (3491762)|HEAP_ALLOCATE|[23]|Bytes:1
17:37:23.0 (3505892)|HEAP_ALLOCATE|[23]|Bytes:14
17:37:23.0 (3518132)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:37:23.0 (3527293)|STATEMENT_EXECUTE|[24]
17:37:23.0 (3546383)|HEAP_ALLOCATE|[24]|Bytes:20
17:37:23.0 (3560913)|HEAP_ALLOCATE|[24]|Bytes:33
17:37:23.0 (3571964)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001JiRRIA0}
17:37:23.0 (3593204)|STATEMENT_EXECUTE|[25]
17:37:23.0 (3596384)|STATEMENT_EXECUTE|[26]
17:37:23.0 (3609825)|HEAP_ALLOCATE|[26]|Bytes:122
17:37:23.0 (3675496)|HEAP_ALLOCATE|[26]|Bytes:24
