44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:37:44.0 (123503)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
17:37:44.0 (165484)|EXECUTION_STARTED
17:37:44.0 (177734)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
17:37:44.0 (1409113)|HEAP_ALLOCATE|[95]|Bytes:3
17:37:44.0 (1486595)|HEAP_ALLOCATE|[100]|Bytes:152
17:37:44.0 (1503706)|HEAP_ALLOCATE|[417]|Bytes:408
17:37:44.0 (1517947)|HEAP_ALLOCATE|[430]|Bytes:408
17:37:44.0 (1542957)|HEAP_ALLOCATE|[317]|Bytes:6
17:37:44.0 (1566087)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:37:44.0 (1571958)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
17:37:44.0 (1575247)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:37:44.0 (1584617)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
17:37:44.0 (1590257)|STATEMENT_EXECUTE|[1]
17:37:44.0 (1596519)|STATEMENT_EXECUTE|[1]
17:37:44.0 (1623538)|HEAP_ALLOCATE|[68]|Bytes:5
17:37:44.0 (1647979)|HEAP_ALLOCATE|[74]|Bytes:5
17:37:44.0 (1657019)|HEAP_ALLOCATE|[82]|Bytes:7
17:37:44.0 (1668179)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:37:44.0 (1679930)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
17:37:44.0 (1684721)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:37:44.0 (1693241)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:37:44.0 (1699130)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:37:44.0 (1702481)|STATEMENT_EXECUTE|[15]
