44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:37:02.0 (131123)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
17:37:02.0 (174465)|EXECUTION_STARTED
17:37:02.0 (186945)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
17:37:02.0 (1449975)|HEAP_ALLOCATE|[95]|Bytes:3
17:37:02.0 (1527447)|HEAP_ALLOCATE|[100]|Bytes:152
17:37:02.0 (1544607)|HEAP_ALLOCATE|[417]|Bytes:408
17:37:02.0 (1559688)|HEAP_ALLOCATE|[430]|Bytes:408
17:37:02.0 (1582948)|HEAP_ALLOCATE|[317]|Bytes:6
17:37:02.0 (1605139)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:37:02.0 (1610259)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
17:37:02.0 (1613679)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:37:02.0 (1623099)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
17:37:02.0 (1628169)|STATEMENT_EXECUTE|[1]
17:37:02.0 (1634789)|STATEMENT_EXECUTE|[1]
17:37:02.0 (1664010)|HEAP_ALLOCATE|[68]|Bytes:5
17:37:02.0 (1688181)|HEAP_ALLOCATE|[74]|Bytes:5
17:37:02.0 (1698831)|HEAP_ALLOCATE|[82]|Bytes:7
17:37:02.0 (1709811)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:37:02.0 (1721861)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
17:37:02.0 (1726712)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:37:02.0 (1846834)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:37:02.0 (1856315)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:37:02.0 (1859895)|STATEMENT_EXECUTE|[15]
17:37:02.0 (1866565)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:37:02.0 (1870895)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:37:02.0 (1900126)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:37:02.0 (1930747)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
17:37:02.0 (1995568)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x3a622967"}|0xe858536
17:37:02.0 (2001429)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
17:37:02.0 (2167262)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000pTUcxAAG","jobId":"707e200000pUCrSAAW"}|0x34330144
17:37:02.0 (2173913)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
