44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:37:55.0 (176924)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
17:37:55.0 (237776)|EXECUTION_STARTED
17:37:55.0 (252446)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
17:37:55.0 (1491175)|HEAP_ALLOCATE|[95]|Bytes:3
17:37:55.0 (1562428)|HEAP_ALLOCATE|[100]|Bytes:152
17:37:55.0 (1580348)|HEAP_ALLOCATE|[417]|Bytes:408
17:37:55.0 (1596218)|HEAP_ALLOCATE|[430]|Bytes:408
17:37:55.0 (1620078)|HEAP_ALLOCATE|[317]|Bytes:6
17:37:55.0 (1642430)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:37:55.0 (1647590)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
17:37:55.0 (1650879)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:37:55.0 (1661329)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
17:37:55.0 (1666579)|STATEMENT_EXECUTE|[1]
17:37:55.0 (1673219)|STATEMENT_EXECUTE|[1]
17:37:55.0 (1701391)|HEAP_ALLOCATE|[68]|Bytes:5
17:37:55.0 (1731181)|HEAP_ALLOCATE|[74]|Bytes:5
17:37:55.0 (1769142)|HEAP_ALLOCATE|[82]|Bytes:7
17:37:55.0 (1781012)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:37:55.0 (1792572)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
17:37:55.0 (1797553)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:37:55.0 (1806274)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:37:55.0 (1812554)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:37:55.0 (1815834)|STATEMENT_EXECUTE|[15]
17:37:55.0 (1822443)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:37:55.0 (1826503)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:37:55.0 (1854984)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:37:55.0 (1861574)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
17:37:55.0 (1932047)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x41640663"}|0xe858536
17:37:55.0 (1937776)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
17:37:55.0 (2078080)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000pTUcxAAG","jobId":"707e200000pUCrSAAW"}|0x34330144
17:37:55.0 (2084829)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
